config_group,original_variant,new_variant,lineage_seed,resume_generations,initial_state_file
resume_add_4_to8,102,1,101,4,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=102/seed=101/generation=4/agent_id=0000/daughter_state_1.json
resume_add_5_to8,76,64,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=76/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,76,64,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=76/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,106,91,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=106/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,106,91,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=106/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,231,196,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=231/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,231,196,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=231/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,75,63,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=75/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,75,63,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=75/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,253,208,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=253/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,253,208,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=253/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,192,163,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=192/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,192,163,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=192/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,268,220,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=268/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,268,220,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=268/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,46,39,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=46/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,46,39,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=46/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,188,159,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=188/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,188,159,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=188/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,20,18,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=20/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,20,18,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=20/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,229,194,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=229/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,229,194,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=229/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,45,38,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=45/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,45,38,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=45/seed=100/generation=3/agent_id=000/daughter_state_1.json
