cistron_id,num_tus,tu_ids,num_operons,operon_ids
EG10001_RNA,1,TU0-14120[c],1,1185
EG10002_RNA,1,TU0-14276[c],1,1297
EG10003_RNA,1,TU0-13622[c],1,767
EG10004_RNA,1,TU0-14356[c],1,1346
EG10006_RNA,1,TU0-4562[c],1,1740
EG10007_RNA,2,TU0-14415[c];TU0-3581[c],1,1369
EG10008_RNA,1,TU783[c],1,2516
EG10011_RNA,1,TU0-12788[c],1,65
EG10012_RNA,1,TU00254[c],1,2378
EG10013_RNA,1,TU0-14369[c],1,1355
EG10014_RNA,1,TU0-14793[c],1,1476
EG10015_RNA,1,TU0-14347[c],1,1339
EG10016_RNA,1,EG10016_RNA[c],1,2528
EG10017_RNA,1,TU0-13885[c],1,988
EG10018_RNA,1,TU0-13904[c],1,1006
EG10020_RNA,1,TU0-3[c],1,1572
EG10021_RNA,1,TU0-14208[c],1,1256
EG10022_RNA,2,TU00001[c];aceBA[c],1,1400
EG10023_RNA,2,TU00001[c];aceBA[c],1,1400
EG10024_RNA,2,TU0-45222[c];TU0-45254[c],1,1719
EG10025_RNA,2,TU0-45222[c];TU0-45254[c],1,1719
EG10026_RNA,2,TU0-14503[c];TU00001[c],1,1400
EG10027_RNA,2,TU0-8301[c];TU00385[c],1,1902
EG10028_RNA,1,TU0-13083[c],1,309
EG10029_RNA,1,TU0-45248[c],1,1727
EG10030_RNA,1,TU0-13350[c],1,530
EG10031_RNA,1,TU0-45181[c],1,1712
EG10032_RNA,1,TU0-6481[c],1,1796
EG10033_RNA,1,TU0-7401[c],1,1854
EG10034_RNA,1,TU0-6441[c],1,1794
EG10035_RNA,1,TU102[c],1,2476
EG10036_RNA,2,TU0-13210[c];TU0-13211[c],1,413
EG10037_RNA,2,TU0-45248[c];TU00073[c],1,1727
EG10039_RNA,1,TU0-6422[c],1,1791
EG10040_RNA,1,TU243[c],1,2484
EG10041_RNA,1,TU00237[c],1,2372
EG10042_RNA,1,TU00237[c],1,2372
EG10043_RNA,1,TU0-14162[c],1,1223
EG10044_RNA,1,TU0-45283[c],1,1738
EG10045_RNA,1,TU00238[c],1,2373
EG10046_RNA,1,TU0-6569[c],1,1817
EG10047_RNA,4,TU0-5186[c];TU0-5201[c];TU0-5202[c];TU00362[c],1,1683
EG10048_RNA,4,TU0-5186[c];TU0-5201[c];TU0-5202[c];TU00362[c],1,1683
EG10049_RNA,2,TU0-45265[c];TU00461[c],1,1734
EG10050_RNA,1,TU0-42454[c],1,1632
EG10051_RNA,1,TU0-12947[c],1,196
EG10052_RNA,1,TU00214[c],1,2361
EG10053_RNA,1,TU00214[c],1,2361
EG10054_RNA,1,TU00003[c],1,2256
EG10055_RNA,1,TU00214[c],1,2361
EG10056_RNA,2,TU0-42571[c];TU00076[c],1,875
EG10057_RNA,1,TU0-42451[c],1,1630
EG10058_RNA,1,TU0-42451[c],1,1630
EG10059_RNA,1,TU0-42451[c],1,1630
EG10060_RNA,1,TU00099[c],1,2296
EG10061_RNA,1,TU344[c],1,2488
EG10062_RNA,1,TU0-5621[c],1,1773
EG10063_RNA,1,TU0-8472[c],1,1929
EG10064_RNA,1,TU00004[c],1,1679
EG10065_RNA,1,TU00004[c],1,1679
EG10066_RNA,1,TU00111[c],1,2300
EG10067_RNA,2,TU0-198702[c];TU00005[c],1,132
EG10068_RNA,1,TU0-5501[c],1,1770
EG10069_RNA,1,TU00006[c],1,2257
EG10070_RNA,1,TU0-3501[c],1,1594
EG10071_RNA,1,TU0-13444[c],1,619
EG10072_RNA,2,TU0-3581[c];argT-hisJ[c],1,1369
EG10073_RNA,1,TU00357[c],1,1664
EG10074_RNA,2,TU872[c];aroKB-damX[c],1,2248
EG10075_RNA,1,TU0-13593[c],1,744
EG10076_RNA,2,TU0-13373[c];TU0-42694[c],1,552
EG10077_RNA,1,TU0-7281[c],1,1848
EG10078_RNA,1,TU00008[c],1,2258
EG10079_RNA,1,TU00009[c],1,2259
EG10080_RNA,1,TU0-14254[c],1,1291
EG10081_RNA,2,TU872[c];aroKB-damX[c],1,2248
EG10082_RNA,1,TU0-42568[c],1,1422
EG10083_RNA,3,TU0-14546[c];TU0-42568[c];TU0-44218[c],1,1422
EG10084_RNA,1,TU00012[c],1,2260
EG10085_RNA,2,TU0-42599[c];TU00241[c],1,1668
EG10086_RNA,1,TU00241[c],1,1668
EG10087_RNA,1,TU00242[c],1,2375
EG10088_RNA,1,TU0-13935[c],1,1033
EG10089_RNA,1,TU0-8769[c],1,2184
EG10090_RNA,1,TU0-8863[c],1,2249
EG10091_RNA,1,TU00112[c],1,2301
EG10092_RNA,1,TU0-4929[c],1,1751
EG10093_RNA,3,TU0-14262[c];TU0-14263[c];TU00113[c],1,1113
EG10094_RNA,1,TU0-13093[c],1,318
EG10095_RNA,2,TU0-6021[c];TU00160[c],1,1780
EG10096_RNA,1,TU0-6482[c],1,1797
EG10097_RNA,1,TU0-14634[c],1,1440
EG10098_RNA,2,TU0-6635[c];TU00243[c],1,1827
EG10099_RNA,2,TU0-6635[c];TU00243[c],1,1827
EG10100_RNA,2,TU0-6635[c];TU00243[c],1,1827
EG10101_RNA,2,TU0-6635[c];TU00243[c],1,1827
EG10102_RNA,2,TU0-6635[c];TU00243[c],1,1827
EG10103_RNA,2,TU0-6635[c];TU00243[c],1,1827
EG10104_RNA,2,TU0-6635[c];TU00243[c],1,1827
EG10105_RNA,2,TU0-6635[c];TU00243[c],1,1827
EG10106_RNA,1,TU00243[c],1,1827
EG10107_RNA,1,TU0-13984[c],1,1071
EG10108_RNA,1,TU0-6483[c],1,1798
EG10109_RNA,1,TU00115[c],1,2303
EG10110_RNA,1,TU00115[c],1,2303
EG10111_RNA,1,TU00115[c],1,2303
EG10112_RNA,1,TU00116[c],1,2304
EG10113_RNA,1,TU0-13914[c],1,1015
EG10114_RNA,1,TU0-4802[c],1,1652
EG10115_RNA,1,TU0-4802[c],1,1652
EG10116_RNA,2,TU0-42515[c];TU0-4802[c],1,1652
EG10117_RNA,1,TU00013[c],1,2261
EG10118_RNA,1,TU00117[c],1,2305
EG10119_RNA,1,TU00117[c],1,2305
EG10120_RNA,1,TU00117[c],1,2305
EG10121_RNA,1,TU00117[c],1,2305
EG10122_RNA,1,TU0-8772[c],1,2185
