Constituent gene names,Mean protein copy numbers,"p (mRNA, without operons)","p (mRNA, with operons)","p (protein, without operons)","p (protein, with operons)"
"ahpC, ahpF",36881.7,0.804,0.686,1.000,1.000
"gapA, yeaD",35744.4,0.551,0.451,1.000,1.000
"rplK, rplA, rplJ, rplL, rpoB, rpoC",35077.0,1.000,0.988,1.000,1.000
"tufA, fusA, rpsG, rpsL",31552.6,1.000,1.000,1.000,1.000
"rpsQ, rpmC, rplP, rpsC, rplV, rpsS, rplB, rplW, rplD, rplC, rpsJ",30605.8,1.000,1.000,1.000,1.000
"rpsI, rplM",29424.6,1.000,1.000,1.000,1.000
"rpmJ, secY, rplO, rpmD, rpsE, rplR, rplF, rpsH, rpsN, rplE, rplX, rplN",28469.6,1.000,0.974,1.000,1.000
"rplQ, rpoA, rpsD, rpsK, rpsM",26741.6,1.000,1.000,1.000,1.000
"rpsF, priB, rpsR, rplI",26467.0,1.000,1.000,1.000,1.000
"rpsU, dnaG, rpoD",25287.8,0.616,0.604,1.000,0.985
"cspC, yobF",22574.9,1.000,1.000,1.000,1.000
"pnp, rpsO",21485.3,0.997,0.977,1.000,1.000
"ompT, envY",20526.4,0.046,0.044,0.797,0.778
"obgE, yhbE, rpmA, rplU",19903.7,0.101,0.293,0.989,0.951
"mutM, rpmG, rpmB, yicR",16442.6,0.005,0.041,0.140,0.131
"rpmH, rnpA",16201.1,0.989,0.970,1.000,1.000
"rplS, trmD, rimM, rpsP",15284.9,1.000,1.000,1.000,1.000
"eno, pyrG",12520.6,0.946,0.925,1.000,1.000
"yceD, rpmF, plsX, fabH, fabD, fabG, acpP, fabF",11767.7,0.627,0.596,1.000,0.979
"cmk, rpsA, ihfB",11749.9,0.537,0.468,1.000,0.992
"ptsH, ptsI, crr",10331.9,1.000,0.999,1.000,1.000
"pyrI, pyrB, pyrL",8568.5,0.985,1.000,1.000,1.000
"groS, groL",6897.6,0.983,0.967,1.000,1.000
"tolB, pal, cpoB",6758.0,0.921,0.873,1.000,1.000
"tyrA, aroF",6649.1,0.999,1.000,1.000,1.000
"gatD, gatB, gatA, gatZ, gatY",6547.2,0.582,0.467,1.000,1.000
"dusB, fis",6472.3,0.996,1.000,1.000,0.995
"yeiB, folE",6309.0,0.491,0.382,1.000,0.994
"fbaA, pgk, epd",6243.7,0.826,0.726,1.000,1.000
"dapD, glnD, map",5810.9,0.272,0.383,1.000,0.990
"glpX, glpK, glpF",5769.8,0.369,1.000,1.000,1.000
"lpxH, ppiB",5065.0,0.393,0.327,1.000,0.980
"serC, aroA",4593.3,0.966,0.928,1.000,1.000
"pdhR, aceE, aceF, lpd",4467.8,0.693,0.594,1.000,1.000
"aceB, aceA, aceK",4413.5,0.843,0.761,1.000,0.976
"tcyJ, fliZ, fliA",4379.9,0.991,1.000,1.000,1.000
"exbD, exbB",4215.6,0.999,0.999,1.000,1.000
"ybaB, recR",3849.8,0.919,1.000,1.000,1.000
"atpC, atpD, atpG, atpA, atpH, atpF, atpE, atpB, atpI",3775.1,0.959,0.865,1.000,1.000
"flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ",3523.7,0.587,1.000,1.000,1.000
"yhgH, nfuA",3515.0,0.264,0.227,0.603,0.628
"fimA, fimI, fimC, fimD, fimF, fimG, fimH",3417.4,0.007,0.451,0.999,0.990
"oppA, oppB, oppC, oppD, oppF",3052.6,0.709,0.779,1.000,1.000
"dnaK, dnaJ",2994.9,0.696,0.627,1.000,1.000
"pflB, focA",2928.3,0.370,0.285,0.996,0.995
"guaA, guaB",2910.0,0.900,1.000,1.000,1.000
"sucA, sucB",2868.4,0.959,1.000,1.000,1.000
"metQ, metI, metN",2625.7,0.624,0.637,1.000,1.000
"sra, bdm",2601.0,0.185,0.129,0.998,0.988
"entD, fepA",2429.7,0.728,1.000,1.000,1.000
"fliD, fliS, fliT",2418.4,0.950,1.000,1.000,1.000
"ymcE, gnsA",2415.0,0.037,0.031,0.095,0.091
"dppF, dppD, dppC, dppB, dppA",2414.7,0.022,1.000,0.999,1.000
"carA, carB",2356.5,0.967,1.000,1.000,1.000
"entC, entE, entB, entA, entH",2264.1,0.921,1.000,1.000,0.990
"purM, purN",2249.6,0.957,1.000,1.000,1.000
"bepA, yfgD",2220.2,0.461,0.413,1.000,0.988
"pntB, pntA",2175.9,0.990,1.000,1.000,1.000
"flgN, flgM, flgA",2170.2,0.916,0.887,1.000,0.986
"thiH, thiG, thiS, thiF, thiE, thiC",2022.2,0.800,1.000,1.000,0.990
"panC, panB",1987.9,0.794,1.000,1.000,1.000
"aroL, yaiA, aroM",1962.0,0.589,1.000,1.000,1.000
"prc, proQ",1931.5,0.870,1.000,1.000,1.000
"yejL, lapC",1912.2,0.488,0.462,1.000,0.995
"glnG, glnL, glnA",1900.2,0.101,0.245,0.998,0.961
"uraA, upp",1888.5,0.299,0.254,1.000,1.000
"bamA, skp, lpxD, fabZ, lpxA, lpxB, rnhB, dnaE",1881.9,0.309,0.993,1.000,1.000
"ynfB, speG",1834.3,0.708,1.000,1.000,1.000
"efeO, efeB",1811.5,0.730,1.000,1.000,1.000
"gpsA, secB, grxC, yibN",1790.4,0.545,0.819,1.000,1.000
"gluQ, dksA, sfsA",1767.2,0.090,0.055,0.990,0.953
"ampG, yajG",1759.3,0.333,0.312,1.000,1.000
"gltB, gltD, gltF",1695.1,0.282,0.214,0.997,0.993
"flhC, flhD",1687.8,0.945,1.000,1.000,1.000
"iscA, iscU, iscS, iscR",1652.6,0.886,1.000,1.000,0.977
"glyS, glyQ",1614.6,0.864,1.000,1.000,1.000
"nnr, tsaE, amiB, mutL, miaA, hfq, hflX, hflK, hflC",1606.0,0.007,0.891,1.000,0.990
"murA, ibaG",1591.7,0.766,0.869,1.000,1.000
"secE, nusG",1579.5,0.950,1.000,1.000,1.000
"hisP, hisM, hisQ, hisJ, argT",1568.8,0.161,0.504,1.000,1.000
"lipB, ybeD",1536.3,0.482,0.513,1.000,1.000
"rcsD, rcsB",1523.7,0.473,0.437,1.000,1.000
"clpP, clpX, lon",1517.0,0.769,0.714,1.000,0.990
"cyoE, cyoD, cyoC, cyoB, cyoA",1504.1,0.887,1.000,1.000,1.000
"manX, manY, manZ",1481.1,0.904,1.000,1.000,1.000
"tolC, ygiB, ygiC",1458.9,0.545,1.000,1.000,0.981
"hxpA, yfbU",1452.4,0.706,1.000,1.000,1.000
"purB, hflD",1450.2,0.756,1.000,1.000,1.000
"prs, ispE, lolB",1444.5,0.339,0.531,1.000,0.995
"glnQ, glnP, glnH",1438.8,0.459,1.000,1.000,1.000
"hha, tomB",1432.6,0.443,0.399,0.967,0.941
"accB, accC",1365.2,0.974,1.000,1.000,0.977
"yebY, yebZ, yobA",1362.0,0.403,1.000,1.000,1.000
"rhoL, rho",1341.1,0.627,1.000,1.000,1.000
"infB, nusA, rimP",1339.4,0.894,0.949,1.000,1.000
"nemR, nemA, gloA",1332.7,0.028,0.097,0.992,0.944
"tsuB, tsuA",1322.9,0.727,0.627,1.000,1.000
"bamC, dapA",1315.8,0.913,1.000,1.000,1.000
"speD, speE, yacC",1303.1,0.712,0.721,1.000,0.995
"deoC, deoA, deoB, deoD",1291.5,0.052,0.269,0.996,0.989
"purU, ychJ",1281.7,0.547,0.564,1.000,1.000
"tgt, yajC, secD, secF",1198.9,0.437,0.461,1.000,1.000
"sdhD, sdhA, sdhB",1168.1,0.747,1.000,1.000,1.000
"bfr, bfd",1165.7,0.595,1.000,0.998,1.000
"fes, ybdZ, entF, fepE",1159.7,0.083,1.000,0.957,1.000
"purD, purH",1156.1,0.678,1.000,1.000,1.000
"lysS, prfB, recJ, dsbC, xerD",1143.6,0.108,0.174,1.000,0.995
"tatA, tatB, tatC, tatD",1138.3,0.107,0.160,0.996,0.980
"seqA, pgm",1109.2,0.784,1.000,1.000,1.000
"ackA, pta",1100.2,0.577,0.974,1.000,1.000
"minE, minD, minC",1080.3,0.727,1.000,1.000,1.000
"nrdH, nrdI, nrdE, nrdF",1078.7,0.848,1.000,1.000,1.000
"cheZ, cheY, cheB, cheR, tap, tar",1063.6,0.213,1.000,1.000,1.000
"recX, recA",1040.7,0.037,0.046,0.807,0.626
"ydiH, menI, ydiJ",1039.1,0.298,1.000,1.000,1.000
"ycaR, kdsB",1013.5,0.564,1.000,1.000,1.000
"mepK, gloC",1005.5,0.778,1.000,1.000,1.000
"cysC, cysN, cysD",980.9,0.488,1.000,1.000,1.000
"mprA, emrA, emrB",979.4,0.073,0.272,0.996,0.988
"sspB, sspA",969.6,0.861,1.000,1.000,0.997
"livF, livG, livM, livH, livK",960.1,0.384,1.000,1.000,1.000
"ycdX, ycdY",957.6,0.602,1.000,1.000,0.995
"def, fmt",956.8,0.745,1.000,1.000,1.000
"glnB, glrR",946.5,0.225,0.247,0.997,0.997
"gpmM, envC, yibQ",944.4,0.490,1.000,1.000,1.000
"ybcJ, folD",939.1,0.451,1.000,1.000,1.000
"ilvI, ilvH",934.0,0.848,1.000,1.000,1.000
"ychF, pth",927.9,0.368,0.502,1.000,1.000
"pdxY, tyrS, pdxH",910.3,0.257,0.770,1.000,1.000
"speB, speA",906.3,0.371,1.000,1.000,1.000
"hslU, hslV",904.5,0.527,1.000,1.000,1.000
"cysH, cysI, cysJ",894.0,0.681,0.966,1.000,1.000
"yciT, yciZ",891.9,0.617,1.000,1.000,1.000
"narL, narX",873.5,0.197,1.000,0.951,1.000
"sufE, sufS, sufD, sufC, sufB, sufA",863.8,0.551,1.000,1.000,1.000
"trpS, gph, rpe, dam, damX, aroB, aroK",836.0,0.209,0.465,1.000,0.983
"yqjC, yqjD, yqjE, yqjK",833.2,0.507,1.000,1.000,0.995
"purK, purE",832.0,0.715,1.000,1.000,1.000
"ychQ, ychA, kdsA",830.6,0.190,0.456,0.988,1.000
"yggL, trmB",820.4,0.582,1.000,1.000,1.000
"srkA, dsbA",816.0,0.413,0.520,1.000,0.995
"trmO, rcsF",815.4,0.298,1.000,1.000,1.000
"fliL, fliM, fliN, fliO, fliP, fliQ, fliR",813.6,0.065,1.000,1.000,0.980
"codB, codA",809.7,0.612,1.000,1.000,1.000
"glmS, glmU",807.1,0.767,1.000,1.000,1.000
"ruvC, yebC, nudB",804.3,0.423,0.809,1.000,1.000
"fliF, fliG, fliH, fliI, fliJ, fliK",802.7,0.282,1.000,1.000,1.000
"yccJ, wrbA",788.7,0.679,1.000,1.000,0.996
"iscX, fdx, hscA, hscB",782.8,0.394,1.000,1.000,0.983
"kbp, yqaE",764.5,0.469,0.674,1.000,1.000
"rpoZ, spoT, trmH, recG",764.4,0.131,0.562,1.000,0.988
"dut, slmA",762.9,0.630,1.000,1.000,1.000
"cysM, cysA, cysW, cysU, cysP",761.0,0.273,1.000,1.000,1.000
"valS, holC",749.5,0.632,0.719,1.000,1.000
"opgG, opgH",747.6,0.610,1.000,1.000,1.000
"eda, edd",724.4,0.222,0.383,0.993,0.993
"rof, yaeP",711.0,0.720,1.000,1.000,1.000
