Gene ID (EcoCyc)	Gene locus ID	Gene name	RNA type	Category	Macklin et al. (2020)	Latest version (20220602)	Description	Belongs in metabolism	proposed category	reaction flux in sim?	enzyme present in sim?	general enzyme	Activity expected	Imported_Category
G0-16636	b4759	3'ETS-<i>leuZ</i>	miscRNA	Uncategorized	False	False								
G0-16718	b4634	aaaD	pseudo	Uncategorized	False	False								
G0-16720	b4693	aaaE	pseudo	Uncategorized	False	False								
G7686	b3241	aaeA	mRNA	Unclear/under-characterized	False	True								
G7685	b3240	aaeB	mRNA	Unclear/under-characterized	False	True								
G7688	b3243	aaeR	mRNA	Transcription regulation	False	False								
G7687	b3242	aaeX	mRNA	Unknown function	False	False								
EG11679	b2836	aas	mRNA	Metabolism	True	True								
EG11112	b0885	aat	mRNA	Protein maturation peptide addition	True	True								Protein maturation peptide addition
G6670	b1338	abgA	mRNA	Unknown function	False	True								
G6669	b1337	abgB	mRNA	Unknown function	False	True								
G6671	b1339	abgR	mRNA	Transcription regulation	False	False								
EG12853	b1336	abgT	mRNA	Uncategorized	False	True								
G7363	b2628	abpA	mRNA	Unknown function	False	False								
G7362	b2627	abpB	mRNA	Unknown function	False	False								
G6384	b0715	abrB	mRNA	Unknown function	False	False								
EG11647	b0185	accA	mRNA	Metabolism	True	True								Metabolism
EG10275	b3255	accB	mRNA	Metabolism	False	False								
EG10276	b3256	accC	mRNA	Metabolism	True	True								
EG10217	b2316	accD	mRNA	Metabolism	True	True								
EG10022	b4015	aceA	mRNA	Metabolism	False	True	glyoxylate cycle	y					y	Metabolism
EG10023	b4014	aceB	mRNA	Metabolism	False	True	glyoxylate cycle	y					y	Metabolism
EG10024	b0114	aceE	mRNA	Metabolism	True	True								Metabolism
EG10025	b0115	aceF	mRNA	Metabolism	True	True								Metabolism
EG10026	b4016	aceK	mRNA	Phosphorylation regulation	False	True								
G0-17105	b4830	aceK-int	miscRNA	Uncategorized	False	False								
EG10027	b2296	ackA	mRNA	Metabolism	True	True								Metabolism
G14		ackB	phantom	Uncategorized	False	False								
EG11325	b1276	acnA	mRNA	Metabolism	True	True								
EG12316	b0118	acnB	mRNA	Uncategorized	True	True								
EG11095	b0404	acpH	mRNA	Metabolism	True	True								
EG50003	b1094	acpP	mRNA	Uncategorized	False	False								
EG10247	b2563	acpS	mRNA	Metabolism	True	True								
EG12221	b3475	acpT	mRNA	Metabolism	True	True								
EG11703	b0463	acrA	mRNA	Metabolism	True	True								
EG11704	b0462	acrB	mRNA	Metabolism	True	True								
EG10014	b2470	acrD	mRNA	Metabolism	False	True	antibiotic pump	m					n	
EG10266	b3265	acrE	mRNA	Metabolism	False	True	antibiotic pump	m					n	
EG10267	b3266	acrF	mRNA	Metabolism	False	True	antibiotic pump	m					n	
EG12116	b0464	acrR	mRNA	Uncategorized	False	False								
G6396	b0762	acrZ	mRNA	Stress response	False	False								
EG11448	b4069	acs	mRNA	Metabolism	True	True								
EG11942	b4067	actP	mRNA	Metabolism	False	True	acetate transport	y					c	
G7484	b2865	actS	mRNA	Unclear/under-characterized	False	False								
EG10029	b2213	ada	mRNA	Transcription regulation	False	True								
EG10030	b1623	add	mRNA	Metabolism	True	True								Metabolism
EG11692	b3665	adeD	mRNA	Metabolism	True	True								Metabolism
EG11724	b3714	adeP	mRNA	Metabolism	False	True	adenine transport	y					c	
EG11691	b3664	adeQ	mRNA	Unknown function	False	True								
EG10031	b1241	adhE	mRNA	Metabolism	True	True								Metabolism
G6775	b1478	adhP	mRNA	Metabolism	True	True								Metabolism
EG11501	b4117	adiA	mRNA	Metabolism	True	True								
EG12462	b4115	adiC	mRNA	Metabolism	False	True	transport, acid resistance	y					y	
EG11966	b4116	adiY	mRNA	Transcription regulation	False	False								
EG10032	b0474	adk	mRNA	Metabolism	True	True								Metabolism
EG12409	b2468	aegA	mRNA	Unclear/under-characterized	False	False								
G7595	b3072	aer	mRNA	Transcription regulation	False	False								
EG11101	b0476	aes	mRNA	Metabolism	False	True	general fatty acid degradation	m	generic reactions will have to be tackled in a smart way			x	y	
G6137	b0263	afuB	pseudo	Uncategorized	False	False								
EG12340	b0262	afuC	mRNA	Uncategorized	False	False								
EG12766	b3135	agaA	pseudo	Uncategorized	False	False								
EG12769	b3138	agaB	mRNA	Unclear/under-characterized	False	False								
EG12770	b3139	agaC	mRNA	Unclear/under-characterized	False	False								
G7635	b3140	agaD	mRNA	Unclear/under-characterized	False	False								
G7636	b3141	agaI	mRNA	Metabolism	False	False								
G7630	b3131	agaR	mRNA	Transcription regulation	False	False								
G7634	b3136	agaS	mRNA	Metabolism	False	True	enzyme, only in some strains	m					y	
G7632	b3133	agaV	mRNA	Metabolism	False	False								
G7633	b3134	agaW	pseudo	Uncategorized	False	False								
EG10033	b1002	agp	mRNA	Metabolism	False	True	phosphatase	y					y	
G0-10751	b4712	agrA	miscRNA	Uncategorized	False	False								
G0-10752	b4713	agrB	miscRNA	Uncategorized	False	False								
EG11384	b0605	ahpC	mRNA	Metabolism	False	True	general peroxidase	m	generic reactions will have to be tackled in a smart way			x	n	
EG11385	b0606	ahpF	mRNA	Metabolism	False	True	antibiotic pump	n	Antibiotics			x	n	
EG11436	b4269	ahr	mRNA	Unknown function	True	True								
EG11811	b4187	aidB	mRNA	Unclear/under-characterized	True	True								
G7165	b2252	ais	mRNA	Unknown function	False	False								
G7184	b2290	alaA	mRNA	Metabolism	True	True								
G0-9281		alaB	mRNA	Uncategorized	False	False								
G7242	b2379	alaC	mRNA	Metabolism	True	True								
G7399	b2670	alaE	mRNA	Metabolism	True	True								Metabolism
EG10034	b2697	alaS	mRNA	tRNA synthetase	True	True								tRNA synthetase
EG30008	b3853	alaT	tRNA	tRNA	False	True								
EG30009	b3276	alaU	tRNA	tRNA	False	True								
EG30010	b0203	alaV	tRNA	tRNA	False	True								
EG30011	b2397	alaW	tRNA	tRNA	False	True								
EG30012	b2396	alaX	tRNA	tRNA	False	True								
EG10035	b1415	aldA	mRNA	Metabolism	True	True								Metabolism
EG12292	b3588	aldB	mRNA	Metabolism	True	True								
EG11222	b2068	alkA	mRNA	DNA Repair	False	False								
EG10037	b2212	alkB	mRNA	DNA Repair	False	True								
G6275	b0505	allA	mRNA	Metabolism	False	True	purine utilization	y					c	
G6281	b0512	allB	mRNA	Metabolism	True	True								
G6285	b0516	allC	mRNA	Metabolism	True	True								
G6286	b0517	allD	mRNA	Metabolism	False	True	purine utilization	y					c	
G6284	b0515	allE	mRNA	Metabolism	True	True								
G6276	b0506	allR	mRNA	Transcription regulation	False	False								
G6274	b0504	allS	mRNA	Transcription regulation	False	False								
G0-17106	b4831	allZ	miscRNA	Uncategorized	False	False								
EG12112	b2624	alpA	mRNA	Transcription regulation	False	False								
EG10001	b4053	alr	mRNA	Metabolism	True	True								Metabolism
EG11959	b4087	alsA	mRNA	Metabolism	True	True								
EG12458	b4088	alsB	mRNA	Metabolism	True	True								
EG11958	b4086	alsC	mRNA	Metabolism	True	True								
EG11957	b4085	alsE	mRNA	Metabolism	True	True								Metabolism
EG11956	b4084	alsK	mRNA	Metabolism	True	True								
G7821	b4089	alsR	mRNA	Transcription regulation	False	False								
G7607	b3088	alx	mRNA	Unknown function	False	False								
EG11823	b2435	amiA	mRNA	Metabolism	False	False								
EG11363	b4169	amiB	mRNA	Metabolism	False	False								
G7458	b2817	amiC	mRNA	Metabolism	False	False								
G6452	b0867	amiD	mRNA	Cell structure membrane	False	True								
EG10039	b1982	amn	mRNA	Metabolism	True	True								Metabolism
EG10040	b4150	ampC	mRNA	Antibiotic resistance	False	True								
EG10041	b0110	ampD	mRNA	Metabolism	False	True	cell wall recycling	y					y	
EG10042	b0111	ampE	mRNA	Unclear/under-characterized	False	False								
EG12183	b0433	ampG	mRNA	Uncategorized	False	True								
EG12867	b0376	ampH	mRNA	Uncategorized	False	True								
EG11821	b0451	amtB	mRNA	Metabolism	True	True								
EG11387	b1927	amyA	mRNA	Metabolism	False	False								
G6880	b1640	anmK	mRNA	Metabolism	False	True	cell wall recycling	y					y	
EG10045	b1767	ansA	mRNA	Metabolism	True	True								Metabolism
EG10046	b2957	ansB	mRNA	Metabolism	True	True								Metabolism
G6764	b1453	ansP	mRNA	Metabolism	True	True								
EG10047	b0050	apaG	mRNA	Unknown function	False	False								
EG10048	b0049	apaH	mRNA	Metabolism	True	True								Metabolism
EG11934	b4055	aphA	mRNA	Metabolism	True	True								Metabolism
EG10049	b0980	appA	mRNA	Metabolism	True	True								Metabolism
EG11379	b0979	appB	mRNA	Metabolism	True	True								Metabolism
EG11380	b0978	appC	mRNA	Metabolism	True	True								
G0-10588	b4592	appX	mRNA	Unknown function	False	True								
EG10050	b0564	appY	mRNA	Transcription regulation	False	False								
EG10051	b0469	apt	mRNA	Metabolism	True	True								Metabolism
EG13270	b0875	aqpZ	mRNA	Uncategorized	True	True								
EG10052	b0062	araA	mRNA	Metabolism	True	True								Metabolism
EG10053	b0063	araB	mRNA	Metabolism	True	True								Metabolism
EG10054	b0064	araC	mRNA	Transcription regulation	True	True								Transcription regulation
EG10055	b0061	araD	mRNA	Metabolism	True	True								Metabolism
EG10056	b2841	araE	mRNA	Metabolism	True	True								Metabolism
EG10057	b1901	araF	mRNA	Metabolism	True	True								Metabolism
EG10058	b1900	araG	mRNA	Metabolism	True	True								Metabolism
EG10059	b1898	araH	mRNA	Metabolism	True	True								Metabolism
EG10060	b0396	araJ	mRNA	Unclear/under-characterized	False	False								
EG10061	b4401	arcA	mRNA	Transcription regulation	True	True								Transcription regulation
EG10062	b3210	arcB	mRNA	Phosphorylation regulation	False	False								
G0-8871	b4450	arcZ	miscRNA	Uncategorized	False	False								
G0-10465	b4550	arfA	mRNA	Translation	False	False								
EG12354	b0191	arfB	mRNA	Uncategorized	False	True								
EG10063	b2818	argA	mRNA	Metabolism	True	True								Metabolism
EG10064	b3959	argB	mRNA	Metabolism	True	True								Metabolism
EG10065	b3958	argC	mRNA	Metabolism	True	True								Metabolism
EG10066	b3359	argD	mRNA	Metabolism	True	True								Metabolism
EG11286	b3957	argE	mRNA	Metabolism	True	True								Metabolism
EG10067	b0273	argF	mRNA	Metabolism	True	True								
EG10068	b3172	argG	mRNA	Metabolism	True	True								Metabolism
EG11223	b3960	argH	mRNA	Metabolism	True	True								Metabolism
EG10069	b4254	argI	mRNA	Metabolism	True	True								Metabolism
EG11445	b2918	argK	mRNA	Unclear/under-characterized	False	True								
G0-17012	b4766	argL	mRNA	Uncategorized	False	False								
EG11159	b2923	argO	mRNA	Metabolism	False	True	arg transport	y					n	
EG10490	b2916	argP	mRNA	Transcription regulation	True	True								
EG30013	b2691	argQ	tRNA	tRNA	False	True								
EG10070	b3237	argR	mRNA	Transcription regulation	True	True								Transcription regulation
EG10071	b1876	argS	mRNA	tRNA synthetase	True	True								tRNA synthetase
EG10072	b2310	argT	mRNA	Metabolism	True	True								Metabolism
EG30014	b0536	argU	tRNA	tRNA	False	True								
EG30015	b2694	argV	tRNA	tRNA	False	True								
EG30016	b2348	argW	tRNA	tRNA	False	True								
