Gene ID (EcoCyc)	Category	operon_gene_count	has_external_operon_genes	external_operon_gene_count	external_operon_genes
EG11112	Protein maturation peptide addition	1	False	0	
EG11647	Metabolism	1	False	0	
EG10022	Metabolism	3	True	1	EG10026
EG10023	Metabolism	3	True	1	EG10026
EG10024	Metabolism	4	True	2	EG10543,EG11088
EG10025	Metabolism	4	True	2	EG10543,EG11088
EG10027	Metabolism	2	True	1	EG20173
EG10030	Metabolism	1	False	0	
EG11692	Metabolism	1	False	0	
EG10031	Metabolism	1	False	0	
G6775	Metabolism	1	False	0	
EG10032	Metabolism	1	False	0	
G7399	Metabolism	1	False	0	
EG10034	tRNA synthetase	1	False	0	
EG10035	Metabolism	1	False	0	
EG10001	Metabolism	1	False	0	
EG11957	Metabolism	4	True	3	EG11958,EG11959,EG12458
EG10039	Metabolism	1	False	0	
EG10045	Metabolism	2	True	1	EG11135
EG10046	Metabolism	1	False	0	
EG10048	Metabolism	3	True	2	EG10047,EG10523
EG11934	Metabolism	1	False	0	
EG10049	Metabolism	4	True	2	EG11380,G0-10588
EG11379	Metabolism	4	True	2	EG11380,G0-10588
EG10051	Metabolism	1	False	0	
EG10052	Metabolism	3	False	0	
EG10053	Metabolism	3	False	0	
EG10054	Transcription regulation	1	False	0	
EG10055	Metabolism	3	False	0	
EG10056	Metabolism	2	True	1	EG11157
EG10057	Metabolism	3	False	0	
EG10058	Metabolism	3	False	0	
EG10059	Metabolism	3	False	0	
EG10061	Transcription regulation	1	False	0	
EG10063	Metabolism	1	False	0	
EG10064	Metabolism	3	False	0	
EG10065	Metabolism	3	False	0	
EG10066	Metabolism	1	False	0	
EG11286	Metabolism	1	False	0	
EG10068	Metabolism	1	False	0	
EG11223	Metabolism	1	False	0	
EG10069	Metabolism	1	False	0	
EG10070	Transcription regulation	1	False	0	
EG10071	tRNA synthetase	1	False	0	
EG10072	Metabolism	5	True	3	EG10452,EG12124,EG12125
EG10073	Metabolism	2	False	0	
EG10074	Metabolism	7	True	3	EG10204,EG11183,EG11871
EG10075	Metabolism	6	True	5	EG10580,EG11144,EG12449,G7200,G7201
EG10076	Metabolism	3	True	2	EG11234,G6917
EG10077	Metabolism	4	True	3	G7697,G7698,G7699
EG10078	Metabolism	2	False	0	
EG10079	Metabolism	1	False	0	
EG10080	Metabolism	1	False	0	
EG10081	Metabolism	7	True	3	EG10204,EG11183,EG11871
EG10082	Metabolism	3	True	2	EG10083,EG11093
EG10084	Metabolism	1	False	0	
EG10088	Metabolism	1	False	0	
EG10091	Metabolism	1	False	0	
EG10092	Metabolism	1	False	0	
EG10094	tRNA synthetase	1	False	0	
EG10095	Metabolism	2	True	1	EG11225
EG10096	Metabolism	1	False	0	
EG10097	tRNA synthetase	1	False	0	
G6943	Metabolism	5	True	3	G6940,G6942,G6944
G6941	Metabolism	5	True	3	G6940,G6942,G6944
EG10098	Metabolism	8	False	0	
EG10099	Metabolism	8	False	0	
EG10100	Metabolism	8	False	0	
EG10101	Metabolism	8	False	0	
EG10102	Metabolism	8	False	0	
EG10103	Metabolism	8	False	0	
EG10104	Metabolism	8	False	0	
EG10105	Metabolism	8	False	0	
EG10107	Metabolism	1	False	0	
G6731	Stress response	1	False	0	
EG10109	Metabolism	3	True	1	EG10111
EG10110	Metabolism	3	True	1	EG10111
EG10112	Metabolism	1	False	0	
EG10115	Metabolism	3	True	2	EG10114,EG10116
G7948	Transcription regulation	2	True	1	G7947
EG10117	Metabolism	1	False	0	
EG10118	Metabolism	4	False	0	
EG10119	Metabolism	4	False	0	
EG10120	Metabolism	4	False	0	
EG10121	Metabolism	4	False	0	
EG10122	Metabolism	1	False	0	
EG10123	Transcription regulation	2	True	1	EG11205
EG10124	Metabolism	1	False	0	
EG10131	Metabolism	1	False	0	
EG10132	Metabolism	2	False	0	
EG12319	Uncategorized	1	False	0	
EG10134	Metabolism	2	False	0	
EG10135	Metabolism	1	False	0	
EG10137	Metabolism	1	False	0	
EG10138	Metabolism	1	False	0	
EG10139	Metabolism	3	False	0	
EG10148	Covalent modification regulation	6	True	5	EG10147,EG10150,EG10151,EG10987,EG10988
EG12312	Uncategorized	3	True	2	EG12313,EG12314
EG11463	Metabolism	1	False	0	
G7579	Metabolism	5	True	3	EG10687,G7578,G7580
EG10161	Metabolism	12	True	10	EG11787,EG11788,EG11789,EG11790,G7097,G7098,G7099,G7100,G7101,G7102
EG10162	Metabolism	12	True	10	EG11787,EG11788,EG11789,EG11790,G7097,G7098,G7099,G7100,G7101,G7102
EG10164	Transcription regulation	1	False	0	
G7454	Metabolism	2	True	1	G7455
EG12504	Metabolism	1	False	0	
EG10012	Metabolism	2	True	1	EG11405
G0-10441	Unknown function	2	True	1	EG12395
EG10178	Metabolism	5	True	3	EG10179,EG10180,EG10181
EG10182	Metabolism	5	True	3	EG10179,EG10180,EG10181
EG10183	Metabolism	5	False	0	
EG10185	Metabolism	3	False	0	
EG10186	Metabolism	3	False	0	
EG10187	Metabolism	1	False	0	
EG10188	Metabolism	1	False	0	
EG10189	Metabolism	1	False	0	
EG10190	Metabolism	3	False	0	
EG10191	Metabolism	3	False	0	
EG10192	Metabolism	1	False	0	
EG10193	Metabolism	5	False	0	
EG10194	Metabolism	3	False	0	
EG10195	Metabolism	5	False	0	
EG10043	Metabolism	1	False	0	
EG10196	tRNA synthetase	1	False	0	
EG10197	Metabolism	5	False	0	
EG10198	Metabolism	5	False	0	
EG10200	Transcription regulation	1	False	0	
EG10205	Metabolism	2	True	1	EG10658
EG10206	Metabolism	1	False	0	
EG10207	Metabolism	3	True	2	EG10570,EG11411
EG10208	Metabolism	3	True	2	EG11147,G0-10463
EG10209	Metabolism	5	True	4	EG11069,EG11201,EG11202,G0-10471
EG10006	Metabolism	2	True	1	EG10357
G7826	Transcription regulation	1	False	0	
EG10214	Metabolism	1	False	0	
EG10220	Metabolism	3	True	2	EG10219,EG10222
EG10221	Metabolism	4	True	2	EG10219,EG10222
EG10004	Metabolism	1	False	0	
EG20049	Metabolism	5	True	4	EG20051,EG20053,G7789,GB4478
G6627	Metabolism	3	True	1	EG12399
G6626	Metabolism	3	True	1	EG12399
G7565	Metabolism	2	True	1	G7564
EG12625	Metabolism	4	True	2	EG12626,EG12628
EG12627	Metabolism	4	True	2	EG12626,EG12628
G6877	Metabolism	1	False	0	
EG12715	Uncategorized	3	False	0	
G6237	Metabolism	4	True	3	EG10508,EG11098,G6236
EG10629	Antibiotic resistance	1	False	0	
EG10262	Metabolism	2	True	1	EG10293
G7836	Covalent modification regulation	1	False	0	
G6503	Phosphorylation regulation	3	True	2	EG11826,G6504
EG50006	Uncategorized	5	True	4	EG12190,EG50007,G7270,G7271
EG11318	Metabolism	5	True	3	EG10277,EG11317,EG11437
G6105	Metabolism	1	False	0	
EG11227	Metabolism	3	True	2	EG11228,EG11229
EG10299	Metabolism	4	True	3	EG10264,EG10297,G0-10437
G7865	Protein maturation side-chain modification	1	False	0	
G7716	Stress response chaperone	1	False	0	
EG11268	Metabolism	2	True	1	EG11440
EG11673	Metabolism	1	False	0	
EG11375	Metabolism	2	True	1	EG11290
EG50011	Metabolism	2	True	1	EG11553
EG10330	Metabolism	4	True	3	EG10331,EG10332,EG10333
G7723	Metabolism	5	True	3	EG12908,G7724,G7727
G7726	Metabolism	5	True	3	EG12908,G7724,G7727
EG10350	Metabolism	5	True	4	EG10349,EG10352,EG10353,EG10355
EG10356	Metabolism	2	False	0	
EG10358	Metabolism	1	False	0	
EG10361	Metabolism	3	True	2	EG11329,EG11330
