operon_ids,num_operons,num_tus,tu_ids
2357,1,1,TU00209[c]
1440,1,1,TU0-14634[c]
207,1,1,TU0-12962[c]
1306,1,2,TU0-14299[c];TU0-3862[c]
2501,1,1,TU582[c]
1708,1,1,TU0-45156[c]
946,1,1,TU0-13839[c]
2391,1,1,TU00280[c]
2012,1,1,TU0-8574[c]
744,1,1,TU0-13593[c]
102,1,1,TU0-12833[c]
1545,1,4,TU0-198742[c];TU0-198743[c];TU0-198744[c];TU0-45207[c]
2181,1,1,TU0-8765[c]
1843,1,2,TU0-7163[c];TU00293[c]
1363,1,1,TU0-14396[c]
330,1,1,TU0-13106[c]
1071,1,1,TU0-13984[c]
486,1,2,TU0-13300[c];TU0-7861[c]
306,1,1,TU0-13080[c]
1815,1,1,TU0-6562[c]
1836,1,1,TU0-6886[c]
1429,1,1,TU0-14571[c]
1399,1,3,TU0-14502[c];TU0-42698[c];TU00128[c]
1417,1,2,TU0-14531[c];TU0-198746[c]
1370,1,1,TU0-14417[c]
2303,1,1,TU00115[c]
1442,1,5,TU0-14638[c];TU0-198876[c];TU00169[c];gatYZABC[c];gatZABC[c]
907,1,1,TU0-13792[c]
2333,1,1,TU00162[c]
1929,1,1,TU0-8472[c]
1800,1,1,TU0-6485[c]
84,1,2,TU0-12810[c];TU0-14495[c]
917,1,2,TU0-13807[c];TU0-14491[c]
2218,1,1,TU0-8818[c]
1904,1,2,TU0-8323[c];TU00203[c]
1223,1,1,TU0-14162[c]
176,1,1,TU0-12924[c]
2277,1,1,TU00056[c]
731,1,3,TU0-13579[c];TU0-13580[c];TU0-36413[c]
1902,1,3,TU0-8301[c];TU0-8302[c];TU00385[c]
1827,1,2,TU0-6635[c];TU00243[c]
2507,1,1,TU67[c]
2411,1,1,TU00347[c]
2364,1,1,TU00220[c]
36,1,2,TU0-0[c];TU00046[c]
1618,1,2,TU0-41793[c];TU0-45231[c]
293,1,1,TU0-13066[c]
779,1,1,TU0-13637[c]
2532,1,1,EG10214_RNA[c]
1804,1,1,TU0-6506[c]
1731,1,1,TU0-45255[c]
2522,1,1,TU862[c]
1829,1,1,TU0-6653[c]
1089,1,1,TU0-14004[c]
2392,1,1,TU00281[c]
1443,1,1,TU0-14640[c]
38,1,1,TU0-1002[c]
2163,1,1,TU0-8745[c]
1719,1,3,TU0-45222[c];TU0-45254[c];TU00523[c]
1720,1,1,TU0-45225[c]
792,1,1,TU0-13651[c]
2278,1,1,TU00057[c]
1470,1,2,TU0-14783[c];TU685[c]
1405,1,2,TU0-14513[c];TU00467[c]
710,1,1,TU0-13557[c]
1789,1,1,TU0-6408[c]
2340,1,1,TU00183[c]
1673,1,3,TU0-42614[c];TU0-42616[c];TU00295[c]
318,1,1,TU0-13093[c]
1291,1,1,TU0-14254[c]
19,1,2,TU-8414[c];TU00039[c]
