paper_gene_set,operon_ids,num_operons
ahpC;ahpF,31,1
gapA;yeaD,573,1
rplK;rplA;rplJ;rplL;rpoB;rpoC,1809,1
tufA;fusA;rpsG;rpsL,1410,1
rpsQ;rpmC;rplP;rpsC;rplV;rpsS;rplB;rplW;rplD;rplC;rpsJ,2411,1
rpsI;rplM,1625,1
rpmJ;secY;rplO;rpmD;rpsE;rplR;rplF;rpsH;rpsN;rplE;rplX;rplN,2408,1
rplQ;rpoA;rpsD;rpsK;rpsM,1448,1
rpsF;priB;rpsR;rplI,2410,1
rpsU;dnaG;rpoD,1386,1
cspC;yobF,598,1
pnp;rpsO,1830,1
ompT;envY,1876,1
obgE;yhbE;rpmA;rplU,1675,1
mutM;rpmG;rpmB;yicR,1771,1
rpmH;rnpA,2409,1
rplS;trmD;rimM;rpsP,2412,1
eno;pyrG,1368,1
yceD;rpmF;plsX;fabH;fabD;fabG;acpP;fabF,37,1
cmk;rpsA;ihfB,1737,1
ptsH;ptsI;crr,1723,1
pyrI;pyrB;pyrL,2449,1
groS;groL,1450,1
tolB;pal;cpoB,2482,1
tyrA;aroF,2258,1
gatD;gatB;gatA;gatZ;gatY,1442,1
dusB;fis,2263,1
yeiB;folE,694,1
fbaA;pgk;epd,1482,1
dapD;glnD;map,99,1
glpX;glpK;glpF,1515,1
lpxH;ppiB,208,1
serC;aroA,1664,1
pdhR;aceE;aceF;lpd,1719,1
aceB;aceA;aceK,1400,1
tcyJ;fliZ;fliA,1407,1
exbD;exbB,1565,1
ybaB;recR,1586,1
atpC;atpD;atpG;atpA;atpH;atpF;atpE;atpB;atpI,1827,1
flgB;flgC;flgD;flgE;flgF;flgG;flgH;flgI;flgJ,2387,1
yhgH;nfuA,1391,1
fimA;fimI;fimC;fimD;fimF;fimG;fimH,2527;2533;2534;2535;2536;2537;2584,7
oppA;oppB;oppC;oppD;oppF,1514,1
dnaK;dnaJ,2382,1
pflB;focA,2424,1
guaA;guaB,2355,1
sucA;sucB,1649,1
metQ;metI;metN,1556,1
sra;bdm,1609,1
entD;fepA,1518,1
fliD;fliS;fliT,1298,1
ymcE;gnsA,334,1
dppF;dppD;dppC;dppB;dppA,1521,1
carA;carB,1835,1
entC;entE;entB;entA;entH,1434,1
purM;purN,2279,1
bepA;yfgD,3,1
pntB;pntA,1549,1
flgN;flgM;flgA,1487,1
thiH;thiG;thiS;thiF;thiE;thiC,2419,1
panC;panB,2401,1
aroL;yaiA;aroM,1422,1
prc;proQ,600,1
yejL;lapC,711,1
glnG;glnL;glnA,1520;2542,2
uraA;upp,2437,1
bamA;skp;lpxD;fabZ;lpxA;lpxB;rnhB;dnaE,1615,1
ynfB;speG,517,1
efeO;efeB,339,1
gpsA;secB;grxC;yibN,1081,1
gluQ;dksA;sfsA,1394,1
ampG;yajG,178,1
gltB;gltD;gltF,1548,1
flhC;flhD,1472,1
iscA;iscU;iscS;iscR,1506,1
glyS;glyQ,2392,1
nnr;tsaE;amiB;mutL;miaA;hfq;hflX;hflK;hflC,1424,1
murA;ibaG,990,1
secE;nusG,2413,1
hisP;hisM;hisQ;hisJ;argT,1369,1
lipB;ybeD,241,1
rcsD;rcsB,1348,1
clpP;clpX;lon,1383,1
cyoE;cyoD;cyoC;cyoB;cyoA,2297,1
manX;manY;manZ,594,1
tolC;ygiB;ygiC,945,1
hxpA;yfbU,733,1
purB;hflD,2275,1
prs;ispE;lolB,1904,1
glnQ;glnP;glnH,1828,1
hha;tomB,192,1
accB;accC,1671,1
yebY;yebZ;yobA,607,1
rhoL;rho,1654,1
infB;nusA;rimP,1701,1
nemR;nemA;gloA,1342,1
tsuB;tsuA,652,1
bamC;dapA,1616,1
speD;speE;yacC,1697,1
deoC;deoA;deoB;deoD,1419,1
purU;ychJ,395,1
tgt;yajC;secD;secF,2525,1
sdhD;sdhA;sdhB,1516,1
bfr;bfd,1015,1
fes;ybdZ;entF;fepE,2386,1
purD;purH,2277,1
lysS;prfB;recJ;dsbC;xerD,9,1
tatA;tatB;tatC;tatD,1133,1
seqA;pgm,1703,1
ackA;pta,1902,1
minE;minD;minC,2398,1
nrdH;nrdI;nrdE;nrdF,40,1
cheZ;cheY;cheB;cheR;tap;tar,1489,1
recX;recA,1728,1
ydiH;menI;ydiJ,547,1
ycaR;kdsB,314,1
mepK;gloC,317,1
cysC;cysN;cysD,2322,1
mprA;emrA;emrB,2445,1
sspB;sspA,2416,1
livF;livG;livM;livH;livK,2341,1
ycdX;ycdY,343,1
def;fmt,2381,1
glnB;glrR,1324,1
gpmM;envC;yibQ,1082,1
ybcJ;folD,210,1
ilvI;ilvH,1834,1
ychF;pth,1500,1
pdxY;tyrS;pdxH,1395,1
speB;speA,1823,1
hslU;hslV,2395,1
cysH;cysI;cysJ,1403,1
yciT;yciZ,1628,1
narL;narX,2329,1
sufE;sufS;sufD;sufC;sufB;sufA,1568,1
trpS;gph;rpe;dam;damX;aroB;aroK,2248,1
yqjC;yqjD;yqjE;yqjK,967,1
purK;purE,2288,1
ychQ;ychA;kdsA,2487,1
yggL;trmB,919,1
srkA;dsbA,41,1
trmO;rcsF,106,1
fliL;fliM;fliN;fliO;fliP;fliQ;fliR,1367,1
codB;codA,2353,1
glmS;glmU,2391,1
ruvC;yebC;nudB,1892,1
fliF;fliG;fliH;fliI;fliJ;fliK,18,1
yccJ;wrbA,338,1
iscX;fdx;hscA;hscB,2433,1
kbp;yqaE,836,1
rpoZ;spoT;trmH;recG,1635,1
dut;slmA,1903,1
cysM;cysA;cysW;cysU;cysP,2321,1
valS;holC,1325,1
opgG;opgH,1614,1
eda;edd,2368,1
rof;yaeP,103,1
fecR;fecI,2446,1
yadS;btuF;mtn,95,1
nrdR;ribD;ribE;nusB;thiL;pgpA,175,1
folX;yfcH,740,1
yhiD;hdeB;hdeA,1052,1
alaA;yfbR,731,1
yajO;dxs;ispA;xseB,1397,1
nadA;pnuC,265,1
rdcA;rdcB,1198,1
topB;selD;ydjA,1415,1
modA;modB;modC,1297,1
argC;argB;argH,1679,1
potD;potC;potB;potA,2404,1
proB;proA,2405,1
yifL;dapF;yigA;xerC;yigB,1123,1
hinT;ycfL;lpoB;thiK;nagZ;ycfP,358,1
glmM;folP,987,1
lnt;ybeX;ybeY;ybeZ,250,1
ftsH;rlmE,2388,1
yabP;yabQ,78,1
mreD;mreC;mreB,1361,1
yfjF;ratA,819,1
rraA;menA,1294,1
yfcL;epmC;yfcA;mepA;aroC;prmB,744,1
cusC;cusF;cusB;cusA,1503,1
thyA;lgt,1673,1
rpoS;nlpD,1447,1
galM;galK;galT;galE,1667,1
apaH;apaG;rsmA;pdxA;surA;lptD,1683,1
gcvP;gcvH;gcvT,1402,1
ecnA;ecnB,1207,1
der;bamB,4,1
mutY;yggX;mltC;nupG,1772,1
ubiX;purF;cvpA,1411,1
ribF;ileS;lspA;fkpB;ispH,1290,1
thiD;thiM,672,1
rfaD;waaF;waaC;waaL,1620,1
yrbG;kdsD;kdsC;lptC;lptA;lptB;rpoN;hpf;ptsN;rapZ;npr,13,1
lepB;lepA,1837,1
cpxA;cpxR,1572,1
nrdA;nrdB;yfaE,1311,1
acrB;acrA,1433,1
ubiI;ubiH;pepP;ygfB,907,1
ygfX;sdhE,903,1
rsmE;gshB,915,1
acpS;pdxJ;recO;era;rnc,2407,1
rfbX;rfbC;rfbA;rfbD;rfbB,1413,1
ansA;pncA,2373,1
yqgE;yqgF,916,1
yoeB;yefM,656,1
yiiS;uspD,1591,1
tcyN;tcyL;dcyD,627,1
ygiM;cca,10,1
yfeX;yfeY,1593,1
yacG;zapD;coaE,84,1
phoQ;phoP,1389,1
bioB;bioF;bioC;bioD,2305,1
fabR;yijD,1169,1
umpH;nagC;nagA;nagB,1387,1
ycjX;ycjF;tyrR,415,1
yafQ;dinJ,117,1
tehA;tehB,2418,1
mlaB;mlaC;mlaD;mlaE;mlaF,991,1
talA;tktB,1445,1
uhpC;uhpB;uhpA;ilvN;ilvB;ivbL,1466,1
prlF;yhaV,976,1
yffB;dapE;ypfN,784,1
wbbH;glf,1319,1
fumC;fumA,1639,1
envZ;ompR,2337,1
ybbO;tesA,1822,1
rsmG;mnmG;mioC;asnC,1113,1
fhuA;fhuC;fhuD;fhuB,1519,1
pepQ;yigZ;trkH;hemG,1136,1
ybjQ;amiD,299,1
ymdA;ymdB;clsC,345,1
secM;secA;mutT,1685,1
tamA;tamB;ytfP,1226,1
yciU;clsA,2523,1
pabC;mltG;tmk;holB;ycfH,357,1
ybgI;pxpB;pxpC;pxpA;nei,1698,1
artM;artQ;artI;artP,1451,1
cobC;nadD;holA;lptE;leuS,244,1
yceI;yceJ,348,1
cydX;ybgE,1353,1
rsmJ;prlC,1050,1
mscM;psd,1588,1
lapA;lapB;pyrF;yciH,406,1
dinG;ybiB,1354,1
yhbS;ubiT,981,1
yedE;yedF,628,1
modF;modE,268,1
hokD;relE;relB,507,1
cbpM;cbpA,1605,1
dcd;udk,1393,1
pyrE;rph,1456,1
yjbQ;yjbR,1187,1
rstA;rstB,1871,1
yfiH;rluD,812,1
actP;yjcH;acs,1473,1
yajL;panE,176,1
yqhD;dkgA,931,1
yfdG;yfdH;yfdI,751,1
nuoN;nuoM;nuoL;nuoK;nuoJ;nuoI;nuoH;nuoG;nuoF;nuoE;nuoC;nuoB;nuoA,1417,1
ydcZ;mnaT,465,1
mraZ;rsmH;ftsL;ftsI;murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC,1267;2532;2539;2540;2548;2549;2550;2551;2552;2553;2567;2568;2569;82,14
yrfG;hslR;hslO,1028,1
rlpA;mrdB;mrdA;rlmH;rsfS,243,1
pspA;pspB;pspC;pspD;pspE,1396,1
recF;dnaN;dnaA,56,1
folK;pcnB,1600,1
feoA;feoB;feoC,2385,1
dcuA;aspA,1780,1
dedA;truA;usg;pdxB,1762,1
rnt;lhr,27,1
fepC;fepG;fepD,1610,1
yggS;yggT;yggU;rdgB;hemW,917,1
ubiE;ubiJ;ubiB,1776,1
yjdC;dsbD,1203,1
parE;yqiA;cpdA;yqiB;nudF,944,1
nudC;hemE;nfi,1172,1
flhE;flhA;flhB,15,1
btuB;murI,1784,1
btuR;yciK,403,1
insA4;insAB4;insB4,333,1
yqcA;truC;yqcC,860,1
potF;potG;potH;potI,1385,1
yieE;yieF,21,1
rcnA;rcnB,674,1
yjjQ;bglJ,1429,1
frmB;frmA;frmR,161,1
glpG;glpE,2493,1
rnm;yciO;yciQ,401,1
yciB;yciC,399,1
ybjC;nfsA;rimK;ybjN,1408,1
rsmD;yhhL,1038,1
ydiN;ydiB;aroD,552,1
ymiA;yciX,404,1
cutC;yecM,2440,1
otsA;otsB,1866,1
hemY;hemX;hemD;hemC,2393,1
nagK;cobB,363,1
dedD;folC,742,1
puuD;puuR;puuC;puuB;puuE,413,1
ptsP;rppH,869,1
yihX;yihY;dtd;fabY,1149,1
glgP;glgA;glgC;glgX;glgB,1308,1
yaeQ;arfB;nlpE,104,1
rnlA;rnlB,28,1
metB;metL,1607,1
glpQ;glpT,1682,1
rlmL;uup,1551,1
yeaY;tsaB,588,1
ruvB;ruvA,1831,1
yfeC;yfeD,1648,1
wbbK;wbbJ;wbbI,1321,1
yadG;yadH,88,1
yjiA;yjiX,1256,1
yrdB;aroE;tsaC;yrdD,1848,1
yhdT;panF;prmA,2402,1
selB;selA,2414,1
yobB;exoX,609,1
hsdS;hsdM;hsdR,1322,1
ppk;ppx,1631,1
lolA;rarA,305,1
ybgC;tolQ;tolR;tolA,2420,1
csdA;csdE,865,1
yjjA;dnaC;dnaT;yjjB,2250,1
bcsE;bcsF;bcsG,1060,1
ftsX;ftsE;ftsY,2389,1
mtgA;elbB,992,1
lolC;lolD;lolE,362,1
ymgD;ymgG,381,1
marR;marA;marB,2347,1
yddB;yddA,481,1
proV;proW;proX,1545,1
moeB;moeA,2399,1
mazG;mazF;mazE;relA,1295,1
yqjA;mzrA,1299,1
uxuA;uxuB,2475,1
csgG;csgF;csgE;csgD,1377,1
ibpB;ibpA,1753,1
cmoM;mukF;mukE;mukB,2485,1
ispF;ispD,1317,1
ubiC;ubiA,2422,1
yecD;yecE,617,1
ybjT;ltaE;poxB;hcr;hcp,301,1
tdh;kbl,2367,1
hemA;prfA;prmC,1624,1
pldB;yigL,1130,1
moaA;moaB;moaC;moaD;moaE,45,1
tusB;tusC;tusD;yheO,1016,1
ampD;ampE,2372,1
ybbJ;qmcA,202,1
nudJ;rluE,366,1
degQ;degS,1000,1
menE;menC;menB;menH;menD;menF,1420,1
evgA;evgS,1859,1
tag;yiaC,1065,1
nsrR;rnr;rlmB;yjfI;yjfJ,1214,1
mntR;ybiR,286,1
dhaM;dhaL;dhaK,1409,1
yecN;cmoA;cmoB,618,1
iaaA;gsiA;gsiB;gsiC;gsiD,290,1
lldP;lldR;lldD,2480,1
malQ;malP,19,1
yheS;yheT;yheU,1019,1
yeaG;yeaH,1439,1
betA;betB;betI,2303,1
serB;radA;nadR,1271,1
phoA;psiF,1691,1
mtlA;mtlD;mtlR,2350,1
malK;lamB;malM,2308,1
ybaM;priC,194,1
uvrC;uvrY,1814,1
waaA;coaD,1843,1
murB;birA,1170,1
dxr;ispU;cdsA,100,1
yafD;yafE,109,1
phoU;pstB;pstA;pstC;pstS,1455,1
dosP;dosC,1933,1
zntR;yhdN,1013,1
cydA;cydB,1580,1
fecE;fecD;fecC;fecB;fecA,2326,1
mglC;mglA;mglB,1732,1
atoD;atoA;atoE;atoB,2302,1
ybjI;ybjJ,295,1
yheV;kefB;kefG,1018,1
iadA;yjiG;yjiH,1249,1
macA;macB,1305,1
lacI;mhpR,1559,1
yeiR;lpxT,702,1
vsr;dcm,2380,1
tadA;pgpC,805,1
eutR;eutK;eutL;eutC;eutB,772,1
pcm;umpG,2417,1
brnQ;proY,172,1
yghD;yghE,921,1
uxaA;uxaC,1464,1
yjhQ;topAI,1246,1
