Gene,RNA ID,Monomer ID,Process,Essentiality
aas,EG11679_RNA,AAS-MONOMER,Metabolism,0
aat,EG11112_RNA,EG11112-MONOMER,Metabolism,0
accA,EG11647_RNA,CARBOXYL-TRANSFERASE-ALPHA-MONOMER,Metabolism,0
accC,EG10276_RNA,BIOTIN-CARBOXYL-MONOMER,Metabolism,0
accD,EG10217_RNA,CARBOXYL-TRANSFERASE-BETA-MONOMER,Metabolism,0
aceA,EG10022_RNA,ISOCIT-LYASE-MONOMER,Metabolism,0
aceB,EG10023_RNA,MALATE-SYNTHASE,Metabolism,0
aceE,EG10024_RNA,E1P-MONOMER,Metabolism,0
aceF,EG10025_RNA,E2P-MONOMER,Metabolism,0
ackA,EG10027_RNA,ACETATEKINA-MONOMER,Metabolism,0
acnA,EG11325_RNA,ACONITASE-MONOMER,Metabolism,0
acnB,EG12316_RNA,ACONITATEDEHYDRB-MONOMER,Metabolism,0
acpH,EG11095_RNA,EG11095-MONOMER,Metabolism,0
acpS,EG10247_RNA,HOLO-ACP-SYNTH-MONOMER,Metabolism,0
acpT,EG12221_RNA,EG12221-MONOMER,Metabolism,0
acrA,EG11703_RNA,EG11703-MONOMER,Metabolism,0
acrB,EG11704_RNA,ACRB-MONOMER,Metabolism,0
acs,EG11448_RNA,ACS-MONOMER,Metabolism,0
add,EG10030_RNA,ADENODEAMIN-MONOMER,Metabolism,0
ade,EG11692_RNA,EG11692-MONOMER,Metabolism,0
adhE,EG10031_RNA,ADHE-MONOMER,Metabolism,0
adhP,G6775_RNA,ADHP-MONOMER,Metabolism,0
adiA,EG11501_RNA,ARGDECARBOXDEG-MONOMER,Metabolism,0
adk,EG10032_RNA,ADENYL-KIN-MONOMER,Metabolism,1
ahr,EG11436_RNA,EG11436-MONOMER,Metabolism,0
aidB,EG11811_RNA,EG11811-MONOMER,Metabolism,0
alaA,G7184_RNA,G7184-MONOMER,Metabolism,0
alaC,G7242_RNA,G7242-MONOMER,Metabolism,0
alaE,G7399_RNA,G7399-MONOMER,Metabolism,0
alaS,EG10034_RNA,ALAS-MONOMER,Metabolism,1
aldA,EG10035_RNA,LACTALDDEHYDROG-MONOMER,Metabolism,0
aldB,EG12292_RNA,ALDDEHYDROGB-MONOMER,Metabolism,0
allB,G6281_RNA,G6281-MONOMER,Metabolism,0
allC,G6285_RNA,G6285-MONOMER,Metabolism,0
allE,G6284_RNA,G6284-MONOMER,Metabolism,0
alr,EG10001_RNA,ALARACEBIOSYN-MONOMER,Metabolism,0
alsA,EG11959_RNA,YJCW-MONOMER,Metabolism,0
alsB,EG12458_RNA,YJCX-MONOMER,Metabolism,0
alsC,EG11958_RNA,YJCV-MONOMER,Metabolism,0
alsE,EG11957_RNA,EG11957-MONOMER,Metabolism,0
alsK,EG11956_RNA,EG11956-MONOMER,Metabolism,0
amn,EG10039_RNA,AMP-NUCLEOSID-MONOMER,Metabolism,0
amtB,EG11821_RNA,AMTB-MONOMER,Metabolism,0
ansA,EG10045_RNA,ANSA-MONOMER,Metabolism,0
ansB,EG10046_RNA,ANSB-MONOMER,Metabolism,0
ansP,G6764_RNA,ANSP-MONOMER,Metabolism,0
apaH,EG10048_RNA,EG10048-MONOMER,Metabolism,0
aphA,EG11934_RNA,APHA-MONOMER,Metabolism,0
appA,EG10049_RNA,APPA-MONOMER,Metabolism,0
appB,EG11379_RNA,APPB-MONOMER,Metabolism,0
appC,EG11380_RNA,APPC-MONOMER,Metabolism,0
apt,EG10051_RNA,ADENPRIBOSYLTRAN-MONOMER,Metabolism,0
aqpZ,EG13270_RNA,AQPZ-MONOMER,Metabolism,0
araA,EG10052_RNA,ARABISOM-MONOMER,Metabolism,0
araB,EG10053_RNA,RIBULOKIN-MONOMER,Metabolism,0
araC,EG10054_RNA,PD00242,Transcription Regulation,0
araD,EG10055_RNA,RIBULPEPIM-MONOMER,Metabolism,0
araE,EG10056_RNA,ARAE-MONOMER,Metabolism,0
araF,EG10057_RNA,ARAF-MONOMER,Metabolism,0
araG,EG10058_RNA,ARAG-MONOMER,Metabolism,0
araH,EG10059_RNA,ARAH-MONOMER,Metabolism,0
arcA,EG10061_RNA,ARCA-MONOMER,Transcription Regulation,0
argA,EG10063_RNA,N-ACETYLTRANSFER-MONOMER,Metabolism,1
argB,EG10064_RNA,ACETYLGLUTKIN-MONOMER,Metabolism,1
argC,EG10065_RNA,N-ACETYLGLUTPREDUCT-MONOMER,Metabolism,1
argD,EG10066_RNA,ACETYLORNTRANSAM-MONOMER,Metabolism,0
argE,EG11286_RNA,ACETYLORNDEACET-MONOMER,Metabolism,1
argF,EG10067_RNA,CHAINF-MONOMER,Metabolism,0
argG,EG10068_RNA,ARGSUCCINSYN-MONOMER,Metabolism,1
argH,EG11223_RNA,ARGSUCCINLYA-MONOMER,Metabolism,1
argI,EG10069_RNA,CHAINI-MONOMER,Metabolism,0
argP,EG10490_RNA,EG10490-MONOMER,Transcription Regulation,0
argR,EG10070_RNA,PD00194,Transcription Regulation,0
argS,EG10071_RNA,ARGS-MONOMER,Metabolism,1
argT,EG10072_RNA,ARGT-MONOMER,Metabolism,0
arnA,G7168_RNA,G7168-MONOMER,Metabolism,0
arnB,G7166_RNA,G7166-MONOMER,Metabolism,0
aroA,EG10073_RNA,AROA-MONOMER,Metabolism,1
aroB,EG10074_RNA,AROB-MONOMER,Metabolism,1
aroC,EG10075_RNA,AROC-MONOMER,Metabolism,1
aroD,EG10076_RNA,AROD-MONOMER,Metabolism,1
aroE,EG10077_RNA,AROE-MONOMER,Metabolism,0
aroF,EG10078_RNA,AROF-MONOMER,Metabolism,0
aroG,EG10079_RNA,AROG-MONOMER,Metabolism,0
aroH,EG10080_RNA,AROH-MONOMER,Metabolism,0
aroK,EG10081_RNA,AROK-MONOMER,Metabolism,0
aroL,EG10082_RNA,AROL-MONOMER,Metabolism,0
aroP,EG10084_RNA,AROP-MONOMER,Metabolism,0
arsB,EG12236_RNA,ARSF-MONOMER,Metabolism,0
arsC,EG12237_RNA,EG12237-MONOMER,Metabolism,0
artJ,EG11628_RNA,ARTJ-MONOMER,Metabolism,0
artM,EG11627_RNA,ARTM-MONOMER,Metabolism,0
artP,EG11624_RNA,ARTP-MONOMER,Metabolism,0
artQ,EG11626_RNA,ARTQ-MONOMER,Metabolism,0
asd,EG10088_RNA,ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER,Metabolism,1
asnA,EG10091_RNA,ASNSYNA-MONOMER,Metabolism,0
asnB,EG10092_RNA,ASNSYNB-MONOMER,Metabolism,0
asnS,EG10094_RNA,ASNS-MONOMER,Metabolism,1
aspA,EG10095_RNA,ASPARTASE-MONOMER,Metabolism,0
aspC,EG10096_RNA,ASPAMINOTRANS-MONOMER,Metabolism,0
aspS,EG10097_RNA,ASPS-MONOMER,Metabolism,1
astA,G6943_RNA,ARGSUCCTRAN-MONOMER,Metabolism,0
astB,G6941_RNA,SUCCARGDIHYDRO-MONOMER,Metabolism,0
astC,G6944_RNA,SUCCORNTRANSAM-MONOMER,Metabolism,0
astD,G6942_RNA,SUCCGLUALDDEHYD-MONOMER,Metabolism,0
astE,G6940_RNA,SUCCGLUDESUCC-MONOMER,Metabolism,0
atoA,EG11670_RNA,ATOA-MONOMER,Metabolism,0
atoB,EG11672_RNA,ACETYL-COA-ACETYLTRANSFER-MONOMER,Metabolism,0
atoD,EG11669_RNA,ATOD-MONOMER,Metabolism,0
atpA,EG10098_RNA,ATPA-MONOMER,Metabolism,1
atpB,EG10099_RNA,ATPB-MONOMER,Metabolism,1
atpC,EG10100_RNA,ATPC-MONOMER,Metabolism,1
atpD,EG10101_RNA,ATPD-MONOMER,Metabolism,1
atpE,EG10102_RNA,ATPE-MONOMER,Metabolism,1
atpF,EG10103_RNA,ATPF-MONOMER,Metabolism,1
atpG,EG10104_RNA,ATPG-MONOMER,Metabolism,1
atpH,EG10105_RNA,ATPH-MONOMER,Metabolism,1
avtA,EG10107_RNA,VALINE-PYRUVATE-AMINOTRANSFER-MONOMER,Metabolism,0
azoR,G6731_RNA,G6731-MONOMER,Metabolism,0
baeR,EG11618_RNA,BAER-MONOMER,Transcription Regulation,0
basR,EG11615_RNA,BASR-MONOMER,Transcription Regulation,0
betA,EG10109_RNA,CHD-MONOMER,Metabolism,0
betB,EG10110_RNA,BADH-MONOMER,Metabolism,0
betT,EG10112_RNA,BETT-MONOMER,Metabolism,0
bglF,EG10115_RNA,BGLF-MONOMER,Metabolism,0
bglJ,G7948_RNA,G7948-MONOMER,Transcription Regulation,0
bioA,EG10117_RNA,DAPASYN-MONOMER,Metabolism,0
bioB,EG10118_RNA,BIOTIN-SYN-MONOMER,Metabolism,0
bioC,EG10119_RNA,EG10119-MONOMER,Metabolism,0
bioD,EG10120_RNA,DETHIOBIOTIN-SYN-MONOMER,Metabolism,0
bioF,EG10121_RNA,7KAPSYN-MONOMER,Metabolism,0
bioH,EG10122_RNA,EG10122-MONOMER,Metabolism,0
birA,EG10123_RNA,BIOTINLIG-MONOMER,Metabolism,0
bisC,EG10124_RNA,EG10124-MONOMER,Metabolism,0
brnQ,EG12168_RNA,BRNQ-MONOMER,Metabolism,0
btuE,EG10129_RNA,BTUE-MONOMER,Metabolism,0
cadA,EG10131_RNA,LYSDECARBOX-MONOMER,Metabolism,0
cadB,EG10132_RNA,CADB-MONOMER,Metabolism,0
can,EG12319_RNA,EG12319-MONOMER,Metabolism,0
carA,EG10134_RNA,CARBPSYN-SMALL,Metabolism,1
carB,EG10135_RNA,CARBPSYN-LARGE,Metabolism,1
cdd,EG10137_RNA,CYTIDEAM-MONOMER,Metabolism,0
cdh,EG10138_RNA,CDPDIGLYPYPHOSPHA-MONOMER,Metabolism,0
cdsA,EG10139_RNA,CDPDIGLYSYN-MONOMER,Metabolism,0
chaA,EG11753_RNA,CHAA-MONOMER,Metabolism,0
cheR,EG10148_RNA,CHER-MONOMER,Metabolism,0
citC,G6344_RNA,CITC-MONOMER,Metabolism,0
clcA,EG12331_RNA,YADQ-MONOMER,Metabolism,0
clsA,EG11608_RNA,CARDIOLIPSYN-MONOMER,Metabolism,0
clsB,G6406_RNA,G6406-MONOMER,Metabolism,0
clsC,G6551_RNA,G6551-MONOMER,Metabolism,0
