operon_id,num_tus,tu_ids
OP0,1,TU00209[c]
OP1,1,TU0-14634[c]
OP2,1,TU0-12962[c]
OP3,2,TU0-14299[c];TU0-3862[c]
OP4,1,TU582[c]
OP5,1,TU0-45156[c]
OP6,1,TU0-13839[c]
OP7,1,TU00280[c]
OP8,1,TU0-8574[c]
OP9,1,TU0-13593[c]
OP10,1,TU0-12833[c]
OP11,4,TU0-198742[c];TU0-198743[c];TU0-198744[c];TU0-45207[c]
OP12,1,TU0-8765[c]
OP13,2,TU0-7163[c];TU00293[c]
OP14,1,TU0-14396[c]
OP15,1,TU0-13106[c]
OP16,1,TU0-13984[c]
OP17,2,TU0-13300[c];TU0-7861[c]
OP18,1,TU0-13080[c]
OP19,1,TU0-6562[c]
OP20,1,TU0-6886[c]
OP21,1,TU0-14571[c]
OP22,3,TU0-14502[c];TU0-42698[c];TU00128[c]
OP23,2,TU0-14531[c];TU0-198746[c]
OP24,1,TU0-14417[c]
OP25,1,TU00115[c]
OP26,5,TU0-14638[c];TU0-198876[c];TU00169[c];gatYZABC[c];gatZABC[c]
OP27,1,TU0-13792[c]
OP28,1,TU00162[c]
OP29,1,TU0-8472[c]
OP30,1,TU0-6485[c]
OP31,2,TU0-12810[c];TU0-14495[c]
OP32,2,TU0-13807[c];TU0-14491[c]
OP33,1,TU0-8818[c]
OP34,2,TU0-8323[c];TU00203[c]
OP35,1,TU0-14162[c]
OP36,1,TU0-12924[c]
OP37,1,TU00056[c]
OP38,3,TU0-13579[c];TU0-13580[c];TU0-36413[c]
OP39,3,TU0-8301[c];TU0-8302[c];TU00385[c]
OP40,2,TU0-6635[c];TU00243[c]
OP41,1,TU67[c]
OP42,1,TU00347[c]
OP43,1,TU00220[c]
OP44,2,TU0-0[c];TU00046[c]
OP45,2,TU0-41793[c];TU0-45231[c]
OP46,1,TU0-13066[c]
OP47,1,TU0-13637[c]
OP48,1,EG10214_RNA[c]
OP49,1,TU0-6506[c]
OP50,1,TU0-45255[c]
OP51,1,TU862[c]
OP52,1,TU0-6653[c]
OP53,1,TU0-14004[c]
OP54,1,TU00281[c]
OP55,1,TU0-14640[c]
OP56,1,TU0-1002[c]
OP57,1,TU0-8745[c]
