target,y_value,rank_first,bin_id
EG10001_trans,12,6.0,1
EG10001_trans,5,5.0,0
EG10001_trans,1,2.0,0
EG10001_trans,4,4.0,0
EG10001_trans,2,3.0,0
EG10001_trans,86,17.0,3
EG10001_trans,78,11.0,2
EG10001_trans,77,9.0,1
EG10001_trans,88,19.0,4
EG10001_trans,83,13.0,2
EG10001_trans,85,15.0,3
EG10001_trans,90,23.0,4
EG10003_trans,4,5.0,0
EG10003_trans,5,6.0,1
EG10003_trans,0,1.0,0
EG10003_trans,2,4.0,0
EG10003_trans,0,2.0,0
EG10003_trans,0,3.0,0
EG10003_trans,32,11.0,2
EG10003_trans,42,29.0,6
EG10003_trans,40,25.0,5
EG10003_trans,30,10.0,2
EG10003_trans,44,34.0,7
EG10003_trans,53,43.0,9
EG10004_trans,10,6.0,1
EG10004_trans,2,2.0,0
EG10004_trans,3,3.0,0
EG10004_trans,4,4.0,0
EG10004_trans,5,5.0,0
EG10004_trans,97,26.0,5
EG10004_trans,69,8.0,1
EG10004_trans,86,12.0,2
EG10004_trans,75,9.0,1
EG10004_trans,110,41.0,9
EG10004_trans,91,19.0,4
EG10004_trans,97,27.0,5
EG10011_trans,13,6.0,1
EG10011_trans,4,4.0,0
EG10011_trans,0,1.0,0
EG10011_trans,3,3.0,0
EG10011_trans,5,5.0,0
EG10011_trans,76,17.0,3
EG10011_trans,71,13.0,2
EG10011_trans,78,19.0,4
EG10011_trans,63,7.0,1
EG10011_trans,81,23.0,4
EG10011_trans,73,15.0,3
EG10011_trans,101,42.0,9
EG10013_trans,8,6.0,1
EG10013_trans,6,5.0,0
EG10013_trans,3,2.0,0
EG10013_trans,3,3.0,0
EG10013_trans,3,4.0,0
EG10013_trans,79,33.0,7
EG10013_trans,59,8.0,1
EG10013_trans,72,18.0,3
EG10013_trans,70,16.0,3
EG10013_trans,65,11.0,2
EG10013_trans,66,12.0,2
EG10013_trans,82,35.0,7
