,target_entropy_nats
EG10001_trans,2.296399489031424
EG10003_trans,2.296399489031424
EG10004_trans,2.296399489031424
EG10011_trans,2.296399489031424
EG10013_trans,2.296399489031424
EG10014_trans,1.6094379124341005
EG10015_trans,2.296399489031424
EG10016_trans,1.6094379124341005
EG10017_trans,2.296399489031424
EG10018_trans,2.296399489031424
EG10026_trans,-0.0
EG10028_trans,2.296399489031424
EG10030_trans,2.296399489031424
EG10031_trans,2.296399489031424
EG10032_trans,2.296399489031424
EG10033_trans,2.296399489031424
EG10034_trans,2.296399489031424
EG10035_trans,2.296399489031424
EG10039_trans,2.296399489031424
EG10040_trans,2.296399489031424
EG10043_trans,2.296399489031424
EG10044_trans,2.296399489031424
EG10046_trans,1.7895355979819276
EG10050_trans,0.6929002466535776
EG10051_trans,2.296399489031424
EG10054_trans,2.296399489031424
EG10071_trans,2.296399489031424
EG10084_trans,2.296399489031424
EG10085_trans,0.6929002466535776
EG10107_trans,2.296399489031424
EG10108_trans,2.296399489031424
EG10112_trans,2.296399489031424
EG10122_trans,2.296399489031424
EG10124_trans,2.296399489031424
EG10129_trans,2.296399489031424
EG10138_trans,2.296399489031424
EG10160_trans,2.296399489031424
EG10167_trans,2.296399489031424
EG10170_trans,2.296399489031424
EG10172_trans,2.296399489031424
EG10001_transl,1.9429660366228776
EG10003_transl,-0.0
EG10004_transl,-0.0
EG10011_transl,-0.0
EG10013_transl,-0.0
EG10014_transl,2.296399489031424
EG10015_transl,-0.0
EG10016_transl,-0.0
EG10017_transl,-0.0
EG10018_transl,-0.0
EG10026_transl,-0.0
EG10028_transl,-0.0
EG10030_transl,2.296399489031424
EG10031_transl,2.296399489031424
EG10032_transl,2.296399489031424
EG10033_transl,-0.0
EG10034_transl,2.296399489031424
EG10035_transl,-0.0
EG10039_transl,2.296399489031424
EG10040_transl,-0.0
EG10043_transl,-0.0
EG10044_transl,-0.0
EG10046_transl,2.296399489031424
EG10050_transl,-0.0
EG10051_transl,2.296399489031424
EG10054_transl,-0.0
EG10071_transl,2.296399489031424
EG10084_transl,2.296399489031424
EG10085_transl,-0.0
EG10107_transl,-0.0
EG10108_transl,-0.0
EG10112_transl,2.296399489031424
EG10122_transl,-0.0
EG10124_transl,-0.0
EG10129_transl,2.296399489031424
EG10138_transl,2.296399489031424
EG10160_transl,-0.0
EG10167_transl,-0.0
EG10170_transl,2.296399489031424
EG10172_transl,-0.0
