,EG10001_max_mrna,EG10003_max_mrna,EG10004_max_mrna,EG10011_max_mrna,EG10013_max_mrna,EG10014_max_mrna,EG10015_max_mrna,EG10016_max_mrna,EG10017_max_mrna,EG10018_max_mrna,EG10026_max_mrna,EG10028_max_mrna,EG10030_max_mrna,EG10031_max_mrna,EG10032_max_mrna,EG10033_max_mrna,EG10034_max_mrna,EG10035_max_mrna,EG10039_max_mrna,EG10040_max_mrna,EG10043_max_mrna,EG10044_max_mrna,EG10046_max_mrna,EG10050_max_mrna,EG10051_max_mrna,EG10054_max_mrna,EG10071_max_mrna,EG10084_max_mrna,EG10085_max_mrna,EG10107_max_mrna,EG10108_max_mrna,EG10112_max_mrna,EG10122_max_mrna,EG10124_max_mrna,EG10129_max_mrna,EG10138_max_mrna,EG10160_max_mrna,EG10167_max_mrna,EG10170_max_mrna,EG10172_max_mrna,EG10001_mean_mrna,EG10003_mean_mrna,EG10004_mean_mrna,EG10011_mean_mrna,EG10013_mean_mrna,EG10014_mean_mrna,EG10015_mean_mrna,EG10016_mean_mrna,EG10017_mean_mrna,EG10018_mean_mrna,EG10026_mean_mrna,EG10028_mean_mrna,EG10030_mean_mrna,EG10031_mean_mrna,EG10032_mean_mrna,EG10033_mean_mrna,EG10034_mean_mrna,EG10035_mean_mrna,EG10039_mean_mrna,EG10040_mean_mrna,EG10043_mean_mrna,EG10044_mean_mrna,EG10046_mean_mrna,EG10050_mean_mrna,EG10051_mean_mrna,EG10054_mean_mrna,EG10071_mean_mrna,EG10084_mean_mrna,EG10085_mean_mrna,EG10107_mean_mrna,EG10108_mean_mrna,EG10112_mean_mrna,EG10122_mean_mrna,EG10124_mean_mrna,EG10129_mean_mrna,EG10138_mean_mrna,EG10160_mean_mrna,EG10167_mean_mrna,EG10170_mean_mrna,EG10172_mean_mrna,EG10001_max_prot,EG10003_max_prot,EG10004_max_prot,EG10011_max_prot,EG10013_max_prot,EG10014_max_prot,EG10015_max_prot,EG10016_max_prot,EG10017_max_prot,EG10018_max_prot,EG10026_max_prot,EG10028_max_prot,EG10030_max_prot,EG10031_max_prot,EG10032_max_prot,EG10033_max_prot,EG10034_max_prot,EG10035_max_prot,EG10039_max_prot,EG10040_max_prot,EG10043_max_prot,EG10044_max_prot,EG10046_max_prot,EG10050_max_prot,EG10051_max_prot,EG10054_max_prot,EG10071_max_prot,EG10084_max_prot,EG10085_max_prot,EG10107_max_prot,EG10108_max_prot,EG10112_max_prot,EG10122_max_prot,EG10124_max_prot,EG10129_max_prot,EG10138_max_prot,EG10160_max_prot,EG10167_max_prot,EG10170_max_prot,EG10172_max_prot,EG10001_mean_prot,EG10003_mean_prot,EG10004_mean_prot,EG10011_mean_prot,EG10013_mean_prot,EG10014_mean_prot,EG10015_mean_prot,EG10016_mean_prot,EG10017_mean_prot,EG10018_mean_prot,EG10026_mean_prot,EG10028_mean_prot,EG10030_mean_prot,EG10031_mean_prot,EG10032_mean_prot,EG10033_mean_prot,EG10034_mean_prot,EG10035_mean_prot,EG10039_mean_prot,EG10040_mean_prot,EG10043_mean_prot,EG10044_mean_prot,EG10046_mean_prot,EG10050_mean_prot,EG10051_mean_prot,EG10054_mean_prot,EG10071_mean_prot,EG10084_mean_prot,EG10085_mean_prot,EG10107_mean_prot,EG10108_mean_prot,EG10112_mean_prot,EG10122_mean_prot,EG10124_mean_prot,EG10129_mean_prot,EG10138_mean_prot,EG10160_mean_prot,EG10167_mean_prot,EG10170_mean_prot,EG10172_mean_prot
EG10001_trans,0.06380039729745235,0.0,0.13370551939544306,0.0,0.0,0.0,0.0,0.09394611371242778,0.13559575537040303,0.3211075582935954,8.881784197001252e-16,0.0,0.0,0.0,0.059328978496015594,0.0,0.12749010618129875,0.030853517983173706,0.0,0.01980776318853472,0.071860482369142,0.0764438768764979,0.0,0.006902356902357187,0.00031359507514228113,0.0,0.0,0.05851675315794802,0.007407407407406197,0.005303915264380787,0.0059407216023630305,0.0,0.002334638716906756,0.0,0.0,0.06446269179987363,0.0,0.07382421340071721,0.07675508100955675,0.0,0.42036774976649105,0.0,0.10022623626083904,0.0,0.0,0.0,0.029428717290322925,0.007804804373905405,0.22728819917935716,0.0,8.881784197001252e-16,0.1298847924951665,0.06363205416976392,0.0,0.08037622881718764,0.0,0.10426619912015145,0.16339846337390584,0.03986230224362952,0.0820152495680686,0.021191041624775142,0.0,0.0,0.006902356902357187,0.03286123698522658,0.0,0.011127662455470588,0.0,0.007407407407406197,0.18974574803249045,0.1196455068442206,0.07897934054644562,0.003859942078541012,0.0,0.055611188355422225,0.1997762607497624,0.0,0.0,0.0,0.021902416301855965,0.0,0.0,0.0935951275579483,0.01710170561552493,0.10800330554791815,0.02538574399833271,0.0,0.0908517429159974,0.12370120276934227,0.1635303683448326,0.1872633199000555,0.0,0.014701643698043831,0.0,0.05738890525063933,0.10185595528436897,0.27466805724977883,0.08542158079168916,0.13378866997104977,0.0,0.029530137003239698,0.0,0.0,0.006902356902357187,0.015052471772220244,0.2500243783177294,0.052688683742430076,0.0,0.0,0.0,0.06726258300369192,0.0,0.08540811852463892,0.040176138859949084,0.0,0.0,0.0,0.005844916685020074,0.06583023412398248,0.04580916169418092,0.06296110420088352,0.030256693617296104,0.0,0.0,0.16975613484323349,0.006243728625179745,0.0,0.0,0.0,0.029486897929765332,0.0,0.0,0.09524182014740612,0.0204810710320511,0.0,0.0,0.07129682917852209,0.0,0.0,0.0,0.027791197966843928,0.005597367352509153,0.14379926090269546,0.13583929401763672,0.011286994178169696,0.0,0.0,0.0,0.0,0.13169041495202216,0.039443831230250304,0.0,0.03190989029744662,0.0,0.0,0.13088843591644328,0.03695799907546249,0.0,0.0,0.08014621937708188
EG10003_trans,0.0,0.15098419865456192,0.0,0.02188752379291037,0.010755120824746722,0.0,0.10025422598030165,0.0,0.0,0.25945987348713206,0.051216951300421254,0.0,0.0,0.13535301058806937,0.14443278018402683,0.018519330741324946,0.010039803963803884,0.0,0.0,0.024212610275840873,0.16330698387025544,0.0,0.0,0.04804103675657334,0.0,0.0,0.0,0.0,0.050361875445342985,0.0,0.21611221490260135,0.08352099320259931,0.0,0.050822987180457524,0.0,0.12004425611934844,0.0,0.037839655067458455,0.008006962717451493,0.0,0.0030937453789121605,0.6524865271902922,0.08025479232036359,0.02626215148496236,0.0,0.07119683146672795,0.06729744637363888,0.0,0.0,0.0,0.051216951300421254,0.0,0.012244178005093698,0.010419416388399938,0.03498490530231457,0.0,0.03886503434968169,0.0,0.03573815780676437,0.0,0.05303630841920093,0.0,0.0,0.04804103675657334,0.0,0.017939736679331464,0.0,0.0,0.050361875445342985,0.10122327109884344,0.0,0.06634331693104167,0.0,0.0,0.04857362897586093,0.022106451972629948,0.0,0.0,0.03518684004850803,0.0,0.0,0.2321221339870423,0.0,0.0,0.004309880088210871,0.0,0.0,0.04825120854484677,0.01456534114204322,0.04457376742538388,0.0847190010442187,0.0,0.007683489217514161,0.0,0.12797221198820052,0.07804379831348118,0.1933929184888239,0.0,0.13173249130395526,0.11180047012348959,0.0,0.0,0.0,0.04804103675657334,0.006454163494254761,0.02609140930579601,0.10165531221600288,0.0,0.0,0.10817764083576709,0.10810156737301835,0.020514580888440825,0.07978587942604287,0.03394146506982665,0.0478968024018509,0.07877663949108449,0.014084323110848285,0.02363737539619981,0.0,0.0,0.0,0.23006021584551561,0.0,0.0,0.006340052180747513,0.0,0.0,0.0,0.052370000536620775,0.0,0.06644209186717642,0.013761903288336708,0.0,0.0,0.0,0.0,0.0,0.08131662184530519,0.00821799364688136,0.0,0.09514705333255424,0.0,0.0,0.14338358082472258,0.0,0.09977349091937926,0.038529770223298954,0.0,0.0,0.03756802997060715,0.02294976725330633,0.0,0.0,0.0,0.04670267148870222,0.0718712288720118,0.03453288086322548,0.10287272819720972,0.15806829303873826,0.0
EG10004_trans,0.01236786237381704,0.1701451646073857,0.041326465647937294,0.03600100665712924,0.12717681721641583,0.0,0.0,0.019073291061827646,0.21324011216065264,0.16764174395891107,0.004665745590306969,0.2806302215547758,0.10732037438314457,0.17693616722424022,0.0,0.049490364866179526,0.0026864743369938715,0.0,0.0,0.014316635062375127,0.05445629694651677,0.0,0.0,0.0043891790233252514,0.0,0.0,0.0,0.0317708779759136,0.0047772555798641925,0.0695860052902304,0.0,0.008851803135386138,0.0883497203396022,0.0,0.06886730182020706,0.19442121955238933,0.0,0.0546028894074273,0.004332645913612598,0.0,0.0,0.07877024800014887,0.5487034710423409,0.08598914808907177,0.06817484856404565,0.0,0.0,0.02764923566802846,0.17334556128913903,0.08027833839059362,0.004665745590306969,0.11175286553482655,0.0,0.0,0.07992325922350174,0.06042109293717646,0.18804320023194165,0.16356590217721045,0.029241094042661953,0.0704044819134122,0.1067837794449793,0.0,0.0,0.0043891790233252514,0.00961305104940502,0.08074508388116586,0.0,0.0,0.0047772555798641925,0.053652689896283245,0.0,0.019623718083957353,0.0,0.04231120664059729,0.022725934092401978,0.019903647670961533,0.0,0.0,0.15236197629667325,0.0069242556836810465,0.056758406332066524,0.0,0.0,0.0,0.009172979904078282,0.0,0.018247667681384527,0.0,0.005389866715264979,0.06790676089830772,0.0,0.008958093921139554,0.11340463864019701,0.06033972218890016,0.05960252998546922,0.11575463538133235,0.18378394972751666,0.09189536566253143,0.14731285218653722,0.0,0.0,0.01744794112080772,0.008209098735260323,0.0043891790233252514,0.0,0.05247047838769925,0.1338528047867631,0.0,0.06368241753091697,0.047340495216681155,0.06615539555499783,0.06450972601955929,0.0,0.0,0.0378559964362668,0.0,0.0,0.07146142814238798,0.05405415636593336,0.0,0.02852255296735784,0.0,0.0233010906801554,0.07798211141478228,0.0,0.03986448790044861,0.0,0.0,0.009020179369089387,0.0,0.0,0.10019368359567338,0.0594815211151003,0.03392306610383011,0.0471734311233325,0.10152592435079444,0.02171661713359274,0.0,0.047761865417423,0.0,0.11790073563434822,0.0,0.07381044822278326,0.02002365253180516,0.0,0.013037891035527993,0.0,0.0,0.0,0.07855295395834405,0.0,0.0,0.05004912601756262,0.0,0.0,0.0,0.015406209464318366,0.0,0.0,0.0
EG10011_trans,0.0,0.0,0.0,0.0506639572735752,0.14669830241271997,0.0,0.10581252466318469,0.032520605064696895,0.026191067027286685,0.17073213346739013,8.881784197001252e-16,0.038616059136094005,0.0,0.028092960408399925,0.029732806536539425,0.04235253051919008,0.0,0.0,0.0,0.022121716424071902,0.05195976527353041,0.0,0.0,0.0,0.0,0.0,0.02372796133479227,0.0,0.0,0.01316424975384134,0.030894288995737984,0.022771387561452805,0.09785071733127815,0.001422706236902549,0.0,0.07579131015134788,0.1758309307919701,0.0,0.03305617911186021,0.09290827668377633,0.0,0.0,0.0,0.3975865969554935,0.0,0.0,0.06550226536416748,0.0,0.12181175586273163,0.03896463606209677,8.881784197001252e-16,0.0,0.0,0.032056461867479236,0.07366940513619546,0.0,0.14638314097012772,0.0,0.0,0.0,0.18048495477047188,0.008764974538637116,0.0,0.0,0.2310121690023852,0.0,0.0008379558633864193,0.0,0.0,0.16732015586500637,0.07476324478404228,0.0,0.0,0.06246539293508313,0.07406485008322372,0.1502517685211,0.0,0.0,0.2893418202723108,0.0,0.0,0.0,0.009926753184931414,0.1320888477344897,0.06568709589802602,0.0,0.0,0.0,0.04904825036316751,0.0369690896117989,0.0,0.0,0.0,0.0,5.7385280376909265e-05,0.12555741236456752,0.15765960876846563,0.15139690878367018,0.04090614763294109,0.0,0.0,0.09489732300131948,0.0,0.0,0.0,0.0,0.04308598655381202,0.07783013403612316,0.0,0.0,0.033171606456306346,0.05580827398493726,0.05178946375982374,0.0,0.0,0.060753197062823006,0.0,0.0628545274772696,0.00872892965617611,0.0,0.07365920649316715,0.0,0.0,0.3251366253651802,0.0,0.0,0.06310247461513985,0.044599729131375554,0.04002198060586437,0.0,0.0,0.05826550244879769,0.0,0.0008082582426629514,0.0,0.0,0.05531314233232365,0.0,0.0011962124527964413,0.10727571079703724,0.1398484544588352,0.0,0.01772365693123401,0.0,0.008603261836467091,0.0,0.07762468542056844,0.09672940640125427,0.0,0.013231474277021427,0.0,0.0,0.023482285676143633,0.0,0.0,0.23419874273189656,0.0,0.0,0.0,0.01896570854709312
EG10013_trans,0.06779380009215297,0.10626253008795139,0.0,0.13040989170401884,0.1815994575691522,0.0,0.0,0.0,0.0,0.16952056333204535,8.881784197001252e-16,0.0,0.0616564087191791,0.0,0.0,0.03444362265792966,0.006182729068495263,0.0,0.0,0.07196012425851572,0.0,0.0050048328128666775,0.0,0.006902356902357187,0.0,0.0,0.0,0.04009663857642298,0.0,0.24443760505609413,0.0,0.11220324533397052,0.043335917281556835,0.0,0.14564240389970484,0.20057219196009335,0.0027935661409053125,0.0,0.25735386398501436,0.0,0.04201209348855306,0.0,0.028989397695601937,0.0,0.29852514977194966,0.0,0.05053535310076107,0.0,0.21674585646332734,0.1458733070193854,8.881784197001252e-16,0.0,0.11225079509318947,0.0,0.0,0.0,0.21440618792922894,0.07032548048304221,0.0,0.0,0.0,0.0,0.0,0.006902356902357187,0.05148150696597886,0.09496389815398532,0.0,0.06319676813039665,0.0,0.16932320759200725,0.04790390068546779,0.0,0.04759892045704239,0.0,0.1595820629985807,0.07292225354508108,0.05482753654402206,0.06406351464797355,0.17702006146430493,0.0,0.0015798191851774668,0.0,0.16306696464348436,0.0,0.08466403584109106,0.0,0.0,0.0,0.08752960272519283,0.16289355642150127,0.05091044269353384,0.0,0.028964127406717388,0.0,0.1705942898619126,0.031121807939402224,0.19748181670282028,0.032200771293691144,0.06436116126955937,0.0,0.03183063339533021,0.0,0.0,0.006902356902357187,0.0,0.07235117561180582,0.021056747927113317,0.022787621984505346,0.007913682369426134,0.0,0.19969110148296076,0.0,0.037103399188252784,0.0,0.0,0.0,0.13333811567753173,0.0,0.0,0.0,0.0,0.0,0.11303674483880766,0.0,0.16090344921322153,0.0,0.012404660578485771,0.0,0.22052491522040896,0.04042368017512743,0.05383625967502015,0.0,0.06124739149925951,0.0,0.009761918528264246,0.033814861462251766,0.0587501850155987,0.0,0.08256971992759521,0.03287247367504298,0.0,0.007629190324109469,0.0,0.03662390155313355,0.0,0.0,0.1587265361457333,0.09337269918831126,0.0,0.0,0.12382278806385338,0.0,0.13999803274457534,0.15985820874166867,0.0009471430993812646,0.0,0.0,0.11709060673534699,0.13801779348669152,0.0
EG10014_trans,0.07248557786435672,0.13348610993858534,0.05113595259074488,0.08124752956776105,0.07778924693926204,0.22866177709454094,0.02116751429164232,0.0,0.02349560957430885,0.030399404357675408,0.0,0.11286641007234932,0.0,0.0,0.0,0.10191796994570135,0.0,0.0,0.0,0.0,0.05935271242102891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004778968606022449,0.0,0.0,0.0,0.05049561723672369,0.0,0.0018677965893392212,0.006022319724471092,0.02580694783009685,0.0,0.0,0.14270203871719822,0.09216642190963542,0.02961214456413419,0.08056088885113466,0.007250316797466461,0.4118330241770438,0.14228123261466363,0.0,0.04075569092495002,0.15355304215783105,0.0,0.02994716376862039,0.0,0.07493163092698207,0.0,0.043411660252850925,0.0,0.07659820544963525,0.0,0.0,0.0362671343812524,0.013153677696380317,0.18596844892600695,0.0,0.0,0.0,0.11127079521034133,0.0,0.0,0.08635825619820148,0.0,0.16116674513130302,0.0,0.1710869414383196,0.028777374313261994,0.12281915885747052,0.011015540177369942,0.0,0.01815404160283629,0.10314302367564654,0.0,0.011627313606569878,0.04705302770130082,0.0,0.0,0.23368792574177455,0.0,0.04636226183388992,0.0,0.0,0.0,0.0,0.0,0.0,0.1378441710477829,0.12078151665296932,0.0737053468493496,0.07271121923475832,0.0,0.0,0.049482852617828144,0.0,0.0,0.0,0.0,0.0,0.05815037896866526,0.0,0.014150281664810915,0.0,0.0,0.0,0.0,0.05376698056757512,0.0,0.13886984640141398,0.006868379717241524,0.0,0.0,0.0,0.019979894204128268,0.007258373187650324,0.025836777434291136,0.06623519236242137,0.0,0.0,0.0,0.0,0.0,0.0,0.014224372088995185,0.15102324522326604,0.01704370188273696,0.2097970292018716,0.07130090245328313,0.0,0.12219495050138773,0.0,0.021801142872445833,0.019610715731525286,0.22534125102387392,0.0,0.0,0.11748014541959195,0.02522065923782879,0.0,0.0,0.0,0.14608498418718385,0.0,0.0,0.0,0.0,0.2046719027635331,0.0,0.1403291780889946,0.0004931677284987224,0.0,0.05160865079518695,0.06750863647789496
EG10015_trans,0.0,0.0,0.0,0.06210987656469946,0.0,0.0,0.016948515031811162,0.0,0.021707066223550342,0.19104927325192067,8.881784197001252e-16,0.08705417936198945,0.004396235177448027,0.0,0.0,0.0,0.2174759098625927,0.02061767628811051,0.0,0.07741753008531349,0.04154326927799046,0.10583165749605694,0.0,0.036531986531986416,0.0,0.0,0.0,0.0,0.014814814814813282,0.0,0.07937552664930103,0.0,0.0,0.010582084255929214,0.0,0.0485053167970908,0.0,0.0,0.04288871220088053,0.0,0.03074522214176456,0.17087775108268288,0.05082561757525772,0.14402229250002474,0.08609967804232355,0.0,0.35784802568187324,0.025810863149652974,0.04518435657696829,0.06405988563026566,8.881784197001252e-16,0.20707009437270663,0.01796431818565658,0.0,0.0,0.0,0.06704934793880435,0.0,0.0,0.0,0.1799354598532359,0.0,0.10879615168171153,0.036531986531986416,0.0,0.0,0.0,0.0,0.014814814814813282,0.13778862637764222,0.0,0.0,0.0,0.0015854594334010486,0.1973902759666597,0.06656520479579764,0.0,0.06194972160359802,0.005304195772799503,0.0,0.09515049415291088,0.016889169555340144,0.03221499231554281,0.0,0.0,0.0,0.0,0.0,0.05552479765759477,0.02177881477036081,0.005055888908459316,0.0,0.04455445145696446,0.1075481867634096,0.09514034180519815,0.22901658171619088,0.23281852063782127,0.019212620719087248,0.325522316802783,0.0,0.0,0.009439247132013051,0.0,0.03975029497718108,0.04538256589817591,0.08483442830162202,0.16431717143247115,0.0,0.0,0.0,0.03169363355036259,0.006515344049180527,0.0,0.0,0.06763664002828107,0.022516380750005505,0.0,0.020268734270674438,0.1229115789243842,0.0654498197603588,0.0,0.0,0.006641966754339812,0.0,0.05036395868242671,0.23363957164150762,0.06759472461981408,0.0,0.075808164306296,0.0,0.006654941435780826,0.02664887915545977,0.0,0.015616674816753218,0.008094260888094507,0.011671330971776195,0.1616453131198332,0.0,0.0,0.0,0.007180615358123088,0.0,0.17197222967435022,0.03322603900649712,0.0,0.0,0.0,0.0,0.0,0.0,0.09317993858203222,0.0,0.0,0.037481209236401636,0.22995015597390323,0.0,0.05920424170491789,0.0,0.0,0.0
EG10016_trans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5947772350225429,0.0,0.0,0.007456576064749587,0.0,0.0,0.0,0.0,0.02949055930394362,0.0,0.0,0.0,0.0,0.03528928180430757,0.0,0.0,0.0386656376699519,0.04979559396656352,0.0,0.0,0.0,0.014314542090301696,0.10256698543653897,0.0,0.0,0.0,0.0799735731631217,0.0,0.0,0.06922290522754748,0.0,0.045877359219990144,0.0,0.0,0.19283057877646526,0.095800625688512,0.0,0.0,0.0536342647047352,0.13472429656443463,0.5360809485019418,0.11303013350291202,0.022739896226979806,0.007456576064749587,0.20548986544884285,0.0,0.023883774986356965,0.08968997120880129,0.08601807498008007,0.0,0.0,0.0,0.0,0.0916573320258558,0.016737207924603315,0.0,0.0386656376699519,0.0,0.07421859768277717,0.0,0.09965465334784662,0.014314542090301696,0.13351401526292683,0.10493640621144884,0.0,0.0,0.0,0.0,0.0,0.02864982710870345,0.042415437069194706,0.0,0.0,0.0,0.0,0.015478019158849499,0.0,0.0,0.18851566135724918,0.07312556322970565,0.4284440860029166,0.0,0.011977022960433015,0.0,0.08793420405006369,0.0,0.0,0.0,0.0,0.07855612797770561,0.0,0.01685832254834807,0.077555325988381,0.0,0.030609926480549277,0.0,0.0386656376699519,0.0,0.0,0.11400178499396918,0.0,0.11962350318625914,0.0,0.10121473377037438,0.0,0.009521674903103072,0.07812286574184268,0.0,0.02281182512698754,0.06504823347180944,0.08246840243575848,0.016468057435788275,0.0,0.0745895300658761,0.10030839225336319,0.040287495211634106,0.0,0.040434785583080224,0.08652254594470277,0.0,0.0966092226530808,0.0,0.03240793186840962,0.07642752367199801,0.09126219474103747,0.1047410986392685,0.14091502050638782,0.0,0.0,0.0565253728740549,0.10669705496513293,0.1485522015984091,0.048180385780382196,0.17179233962087648,0.11809835185414252,0.10372035418940362,0.014119728396488895,0.0,0.0,0.04464642840463018,0.04365156633421341,0.0,0.20022679411034416,0.0,0.0,0.00034654019048163676,0.0,0.0,0.0,0.0,0.06923439316576419,0.0,0.0
EG10017_trans,0.0,0.0,0.12915536873732414,0.05046858435061097,0.08698386988837781,0.0022061169356906163,0.0,0.0,0.045397719487543675,0.20935908077217347,8.881784197001252e-16,0.024200789513747267,0.12087350871838876,0.04765990191201608,0.02524335156224833,0.0,0.16612147260152677,0.0,0.01959685827225499,0.0,0.0,0.1678516912787522,0.0,0.0217171717171718,0.0,0.0,0.00018264231066433823,0.06195897682380247,0.007407407407405753,0.13077507603267846,0.0,0.12269690564012992,0.0,0.0,0.0,0.0,0.0,0.0,0.030277067576431893,0.14402257317015277,0.0,0.0,0.03391718295363333,0.0,0.003309503978444983,0.0,0.0,0.0,0.3518598501622805,0.04069296331217154,8.881784197001252e-16,0.0,0.0,0.0,0.09135235796844166,0.0,0.12611311794916702,0.0,0.0324177318443315,0.0,0.1050726861947191,0.1677441534662707,0.08016798595005747,0.0217171717171718,0.0,0.023078537520931253,0.001230199082339123,0.0,0.007407407407405753,0.20609443364216173,0.0,0.00022211612134270808,0.02459401028945396,0.022666203853827227,0.15178542292371167,0.0143121437736351,0.0316150300808844,0.0,0.0,0.0,0.08333506509263255,0.044061737892584496,0.0,0.0,0.14079128354834247,0.0,0.009895673906165747,0.0,0.1170981238687947,0.05380036566164392,0.022104052056445056,0.0,0.1362497618596914,0.10847397146783422,0.04803426433591884,0.10923282518956867,0.2744683641628458,0.02069018632386932,0.030268810036359728,0.0,0.0,0.01900478773068981,0.0,0.0217171717171718,0.07721301097161604,0.10545169694554257,0.0,0.1815106136469431,0.000288098572981621,0.0,0.0754436491442032,0.19141247650094173,0.0,0.0,0.03210904432961814,0.0,0.0,0.0,0.0,0.07834902687303646,0.0,0.0013247407739247485,0.016938159849136714,0.04211232995384928,0.03263666686529021,0.04623195666276425,0.1032821025891173,0.0,0.04961467229594163,0.0,0.01601329640542959,0.0,0.0,0.0,0.0,0.0,0.03108311857299828,0.0,0.0,0.0,0.06497231848766982,0.07573806732196253,0.047858120231660806,0.0,0.02738268445605163,0.03047518848061559,0.0,0.0,0.08042552981251783,0.06996229228694584,0.0,0.14304592716332531,0.0,0.04766137353150102,0.020670535428292558,0.11846200342359148,0.0,0.0,0.0901526836780504,0.0
EG10018_trans,0.0,0.0,0.1600053335538476,0.1749483762583166,0.0,0.0,0.0,0.0,0.058379533755941626,0.1771216699805538,0.0,0.0,0.0,0.0,0.09239446132013862,0.0,0.27629659230905457,0.08525780151693718,0.049847938860477115,0.022291532526809377,0.01315513874724683,0.1294718876449248,0.0,0.0,0.13599328014249323,0.0,0.0,0.0,0.0,0.0,0.11820964922052646,0.0,0.006711943762204964,0.0,0.011525247502510716,0.033601972310900674,0.0,0.0,0.0785549998155548,0.22100761594751095,0.0,0.00017706570411668565,0.18907894454082852,0.07635919235866906,0.0,0.0,0.21710868772718905,0.0,0.08448586328815022,0.3212831827376399,0.0,0.10348845811913554,0.016318385299492366,0.18521399713348652,0.06197618461047805,0.024030182930204536,0.04299091068745975,0.0,0.1564756216013352,0.0,0.0,0.0,0.0,0.0,0.15085572919170875,0.04555915176797365,0.07078123290613858,0.008880689618617321,0.0,0.16473965419805436,0.277341099886633,0.0,0.0060663655120971605,0.04151107483041372,0.09305904372460594,0.2755407606953466,0.03350044737330915,0.02407394261897622,0.1610799857306353,0.0,0.0,0.0,0.0,0.10242904093128624,0.0,0.0,0.08088833427353537,0.0,0.0,0.18026543565977615,0.0,0.03919942599650694,0.017471967304344638,0.0,0.0,0.09613807657160978,0.25975891884715274,0.06630864599671638,0.0,0.0,0.0,0.1388216384045693,0.0,0.0,0.04161994413423864,0.0,0.2913357222682724,0.0,0.0,0.030521462911982322,0.0,0.05889445181243769,0.0,0.0,0.0,0.12394237750298531,0.0,0.17322304840261982,0.17132096049946144,0.08857467461244672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06518303733264474,0.062223568538178675,0.202989437439832,0.035006041920569775,0.17863831382481932,7.909221453239468e-05,0.0,0.0,0.010776818319535142,0.0,0.03752208538501112,0.0,0.0005145610254877475,0.007586025655732076,0.02071998831722821,0.0,0.0,0.0,0.0012432256604859582,0.0,0.09042745340401881,0.0,0.0,0.0,0.0,0.0,0.0,0.023740042568949793,0.04917456874965831,0.0,0.03219784815089666,0.0,0.0
