Gene,Trans→mRNA_max,Trans→mRNA_mean,Transl→Prot_max,Transl→Prot_mean
EG10001,0.03565192967907457,0.18305514862476907,0.0,0.005693315977693526
EG10003,0.09381175719056765,0.2841345899556432,3.384237459334215e-16,3.384237459334215e-16
EG10004,0.021269782831494034,0.238940773878056,0.0009908166032783978,3.384237459334215e-16
EG10011,0.02831123188089095,0.17313476982316683,3.384237459334215e-16,3.384237459334215e-16
EG10013,0.11283408708479017,0.12999704589633998,3.384237459334215e-16,3.384237459334215e-16
EG10014,0.20813691914165325,0.17933858030544453,0.0,0.0037853179289437655
EG10015,0.009470901305860653,0.15583004063147848,3.384237459334215e-16,3.384237459334215e-16
EG10016,0.5413895704221682,0.2334441159138431,0.018900900374505657,3.384237459334215e-16
EG10017,0.023365163688836628,0.15322240396016115,0.007255874623864071,3.384237459334215e-16
EG10018,0.12783360896587326,0.1399073568306492,0.0,3.384237459334215e-16
EG10026,,,0.1617657686290942,3.384237459334215e-16
EG10028,0.019453484161881758,0.09058984882627329,3.384237459334215e-16,3.384237459334215e-16
EG10030,0.15063375796785552,0.08513516005889703,0.0,0.0
EG10031,0.044153693916969945,0.20575620529127497,0.049163605073679124,0.0
EG10032,0.07350984132525569,0.0958662571510945,0.03507121748383258,0.03085247300339799
EG10033,0.05348155109171539,0.12018148295925456,0.04162391324417092,3.384237459334215e-16
EG10034,0.24742144136862698,0.15136048044286365,0.19518874040716072,0.07157397981405575
EG10035,0.00457539754419295,0.15998154689935046,0.010105504242186852,3.384237459334215e-16
EG10039,0.17281606669567218,0.21677710052957305,0.07845825328075609,0.020363781738873137
EG10040,0.08720109058673665,0.15205062790225504,3.384237459334215e-16,3.384237459334215e-16
EG10043,0.1505365389274959,0.2217856821796038,3.384237459334215e-16,3.384237459334215e-16
EG10044,0.031213184036817294,0.10179155591019518,3.384237459334215e-16,3.384237459334215e-16
EG10046,0.31856291451804775,0.1970642417608972,0.054412677694839894,0.0
EG10050,0.0,0.0,0.020055560598449727,3.384237459334215e-16
EG10051,0.06463050303764727,0.1326963678252186,0.03890262596761464,0.06971687200869293
EG10054,0.0,0.0924914529032022,0.0,3.384237459334215e-16
EG10071,0.0033517347062287555,0.23400109217286014,0.021454031493596457,0.0
EG10084,0.05643555495157302,0.17413338473863227,0.0,0.0005455659489963508
EG10085,0.0,0.0,3.384237459334215e-16,3.384237459334215e-16
EG10107,0.28692523126806196,0.4773846972939081,3.384237459334215e-16,3.384237459334215e-16
EG10108,0.0779302500932222,0.13220703439041748,3.384237459334215e-16,3.384237459334215e-16
EG10112,0.04634772413341491,0.059582682689379676,0.015319612298874023,0.0
EG10122,0.08881648703016802,0.07627300513860762,3.384237459334215e-16,3.384237459334215e-16
EG10124,0.09316045038021108,0.1366655956885774,3.384237459334215e-16,3.384237459334215e-16
EG10129,0.09404712904166332,0.11772346605704792,0.0,0.01192698339359604
EG10138,0.17094490119325753,0.16715113511006288,0.0,0.04591888262614117
EG10160,0.02390910517800219,0.27678677575144145,3.384237459334215e-16,3.384237459334215e-16
EG10167,0.012451236411671805,0.21342188266174064,3.384237459334215e-16,3.384237459334215e-16
EG10170,0.04014828585305657,0.11675749042476981,0.05972370226158613,0.14984028262828317
EG10172,0.09550732239127477,0.042165777524099245,3.384237459334215e-16,3.384237459334215e-16
