Feature,MI_to_output,NMI_to_output
EG10172_mean_prot,0.5047269413424416,0.21979056507947817
EG10051_mean_prot,0.5038159015101766,0.21939383975506643
EG10170_mean_prot,0.3998069027147815,0.17410163372027754
EG10032_mean_prot,0.3321013351415232,0.1446182760132894
EG10034_mean_prot,0.2685099138537894,0.11692648214577056
EG10015_mean_prot,0.26729327467899555,0.11639667921705321
EG10014_mean_prot,0.25125009341173543,0.10941044648886757
EG10071_mean_prot,0.25007445866311473,0.10889849952396184
EG10172_mean_mrna,0.22567081140592427,0.09827158231127624
EG10013_mean_prot,0.2229628460590214,0.09709236007235951
EG10085_mean_prot,0.22197013671639576,0.09666007059164536
EG10034_max_mrna,0.21682796326710063,0.09442083762113812
EG10044_mean_prot,0.19812882144437483,0.08627802888422592
EG10033_max_prot,0.19708231529382347,0.08582231281411272
EG10108_mean_prot,0.18062374300792428,0.07865519212604764
EG10043_max_mrna,0.17441990628662785,0.07595364270011867
EG10071_mean_mrna,0.1637328238414053,0.07129979980550535
EG10031_max_mrna,0.16041885200795436,0.06985668337507595
EG10051_mean_mrna,0.1492308879292179,0.06498472440967167
EG10129_mean_prot,0.14876425017132133,0.06478152032426517
EG10071_max_prot,0.14645907251196943,0.06377769774445603
EG10015_mean_mrna,0.14570024094612988,0.06344725368650181
EG10040_max_prot,0.14474576248418414,0.06303161238954771
EG10033_max_mrna,0.143407885431998,0.06244901469320768
EG10039_mean_prot,0.1400005255662382,0.06096523110849832
EG10107_mean_mrna,0.13410410276854678,0.058397549472156196
EG10039_max_mrna,0.12986217860096883,0.05655034292650106
EG10107_mean_prot,0.12453332518562332,0.05422981749492943
EG10028_mean_prot,0.10638191678956543,0.04632552711219912
EG10071_max_mrna,0.10592571581092747,0.046126867871584855
EG10044_max_mrna,0.10591834558358082,0.04612365840067971
EG10039_mean_mrna,0.10298781282032365,0.044847515997210874
EG10017_mean_mrna,0.0999025147939232,0.04350397884649422
EG10138_max_mrna,0.09988771014471709,0.04349753195026522
EG10054_mean_prot,0.09824613950286532,0.04278268653695948
EG10170_max_mrna,0.09780748307580911,0.04259166732224905
EG10032_max_mrna,0.09656121306657361,0.0420489612229017
EG10160_max_prot,0.09490852297327201,0.04132927368543465
EG10054_max_prot,0.09184497018472171,0.03999520580953452
EG10040_mean_prot,0.0909847219051656,0.039620598393157264
EG10034_mean_mrna,0.08972487776266513,0.039071981243346
EG10003_mean_mrna,0.08782862189449991,0.03824622950580097
EG10031_mean_mrna,0.08731891910037648,0.03802427213446467
EG10046_max_mrna,0.07719692565754799,0.03361650532769807
EG10084_mean_prot,0.07338143757212023,0.03195499647279188
EG10016_max_mrna,0.07085844445937095,0.030856323038661558
EG10014_max_mrna,0.06905607239694866,0.03007145434702877
EG10129_mean_mrna,0.06860515552027735,0.029875096144187725
EG10030_mean_prot,0.06789372683706452,0.02956529434941686
EG10043_mean_mrna,0.06717482908033912,0.029252240039764222
EG10167_max_prot,0.06316043405755734,0.02750411431427254
EG10011_mean_prot,0.06288426209323417,0.02738385128266925
EG10016_mean_prot,0.05921921062596569,0.02578785220464545
EG10172_max_prot,0.05749171571188105,0.02503558983812957
EG10160_mean_mrna,0.05712775129036096,0.024877096325455254
EG10004_mean_mrna,0.05610426386771117,0.024431404089614583
EG10017_mean_prot,0.0534023270581474,0.02325480706350072
EG10032_max_prot,0.05239823599328508,0.02281756124906021
EG10122_mean_prot,0.05157528308722448,0.022459194636460192
EG10085_max_prot,0.04830371073551376,0.0210345416667408
EG10051_max_prot,0.04805657111733552,0.02092692118547929
EG10011_max_mrna,0.047902818239047296,0.02085996729569547
EG10112_mean_prot,0.04656326829802415,0.02027664111598615
EG10108_max_mrna,0.046535362960951066,0.020264489337862884
EG10039_max_prot,0.04511592215798199,0.019646373539741118
