chemical_clean,single_cell_name,single_cell_metric,single_cell_rank,colony_name,colony_metric,colony_rank,in_single_top_n,in_colony_top_n,rank_diff
PROTON,PROTON[p],104.79254365583644,1,PROTON,3493226680,3,True,True,-2
METOH,METOH[p],7.480267576290162,3,METOH,5066888,11,True,True,-8
HYDROGEN-MOLECULE,HYDROGEN-MOLECULE[c],0.016871633705438,10,HYDROGEN-MOLECULE,10755321,9,True,True,1
K+,K+[p],0.0104036155707131,14,K+,129791630,7,True,True,7
CA+2,CA+2[p],0.0101328387727738,15,CA+2,3598241,14,True,True,1
MAL,MAL[p],8.801004277224964,2,MAL,0,76,True,False,-74
ARG,ARG[p],6.897185986969418,4,ARG,366,38,True,False,-34
SULFATE,SULFATE[p],3.577155760175881,5,SULFATE,7656,33,True,False,-28
4FE-4S,4FE-4S[c],1.4144032570533775,6,4FE-4S,0,49,True,False,-43
CH33ADO,CH33ADO[c],1.2156367933522043,7,CH33ADO,0,46,True,False,-39
PRO,PRO[p],0.3796591258715193,8,PRO,0,72,True,False,-64
HYPOXANTHINE,HYPOXANTHINE[p],0.0173113189182833,9,HYPOXANTHINE,0,62,True,False,-53
NITRITE,NITRITE[p],0.0144431629221916,11,NITRITE,0,74,True,False,-63
CPD0-1958,CPD0-1958[p],0.0120890154638694,12,CPD0-1958,0,55,True,False,-43
D-LACTATE,D-LACTATE[p],0.0115028453069975,13,D-LACTATE,0,65,True,False,-52
CO+2,CO+2[p],0.0019072285364557,16,CO+2,152689,23,True,False,-7
ACET,ACET[p],0.0016947154459752,17,ACET,0,48,True,False,-31
CPD-239,CPD-239[p],0.0016501123367152,18,CPD-239,0,43,True,False,-25
IMIDAZOLE-PYRUVATE,IMIDAZOLE-PYRUVATE[c],0.0009635142405182,19,IMIDAZOLE-PYRUVATE,165,40,True,False,-21
GLYCOLLATE,GLYCOLLATE[c],0.0009174424006597,20,GLYCOLLATE,0,60,True,False,-40
MG+2,MG+2[p],0.0003656778794893,22,MG+2,5765236,10,False,True,12
FE+2,FE+2[p],0.0003656778794893,23,FE+2,5013036,12,False,True,11
CL-,CL-[p],0.0003574217264659,24,CL-,3456559,15,False,True,9
UNDECAPRENYL-DIPHOSPHATE,UNDECAPRENYL-DIPHOSPHATE[p],0.000305069618493,25,UNDECAPRENYL-DIPHOSPHATE,1612490,16,False,True,9
MN+2,MN+2[p],0.0001980665742587,26,MN+2,595872,18,False,True,8
CPD-560,CPD-560[p],8.409088192120984e-05,27,CPD-560,4128762,13,False,True,14
FORMATE,FORMATE[p],0.0,31,FORMATE,60688165,8,False,True,23
5-Deoxy-D-Ribofuranose,5-Deoxy-D-Ribofuranose[c],0.0,49,5-Deoxy-D-Ribofuranose,575054,19,False,True,30
CARBON-DIOXIDE,CARBON-DIOXIDE[p],0.0,74,CARBON-DIOXIDE,1091144721,4,False,True,70
WATER,WATER[p],0.0,75,WATER,47946468814,1,False,True,74
CYTOSINE,CYTOSINE[c],0.0,78,CYTOSINE,530278,20,False,True,58
Pi,Pi[p],0.0,80,Pi,642199447,5,False,True,75
AMMONIUM,AMMONIUM[c],0.0,83,AMMONIUM,4149945034,2,False,True,81
OXYGEN-MOLECULE,OXYGEN-MOLECULE[p],0.0,85,OXYGEN-MOLECULE,347485809,6,False,True,79
GLC,GLC[p],0.0,87,GLC,960892,17,False,True,70
