chemical_clean,single_cell_name,single_cell_metric,single_cell_rank,colony_name,colony_metric,colony_rank,in_single_top_n,in_colony_top_n,rank_diff
PROTON,PROTON[p],104.79254365583644,1,PROTON,13089218060,2,True,True,-1
METOH,METOH[p],7.480267576290162,3,METOH,51008323,6,True,True,-3
HYPOXANTHINE,HYPOXANTHINE[p],0.0173113189182833,9,HYPOXANTHINE,2723073,15,True,True,-6
HYDROGEN-MOLECULE,HYDROGEN-MOLECULE[c],0.016871633705438,10,HYDROGEN-MOLECULE,13313873,10,True,True,0
K+,K+[p],0.0104036155707131,14,K+,495663032,4,True,True,10
CA+2,CA+2[p],0.0101328387727738,15,CA+2,13723284,9,True,True,6
ACET,ACET[p],0.0016947154459752,16,ACET,5798515,13,True,True,3
MAL,MAL[p],8.801004277224964,2,MAL,0,67,True,False,-65
ARG,ARG[p],6.897185986969418,4,ARG,46497,29,True,False,-25
SULFATE,SULFATE[p],3.577155760175881,5,SULFATE,27713,33,True,False,-28
4FE-4S,4FE-4S[c],1.4144032570533775,6,4FE-4S,0,45,True,False,-39
CH33ADO,CH33ADO[c],1.2156367933522043,7,CH33ADO,7899,39,True,False,-32
PRO,PRO[p],0.3796591258715193,8,PRO,0,71,True,False,-63
NITRITE,NITRITE[p],0.0144431629221916,11,NITRITE,0,69,True,False,-58
CPD0-1958,CPD0-1958[p],0.0120890154638694,12,CPD0-1958,0,59,True,False,-47
D-LACTATE,D-LACTATE[p],0.0115028453069975,13,D-LACTATE,0,56,True,False,-43
CPD-239,CPD-239[p],0.0016501123367152,17,CPD-239,0,49,True,False,-32
IMIDAZOLE-PYRUVATE,IMIDAZOLE-PYRUVATE[c],0.0009635142405182,18,IMIDAZOLE-PYRUVATE,816,43,True,False,-25
GLYCOLLATE,GLYCOLLATE[c],0.0009174424006597,19,GLYCOLLATE,44264,30,True,False,-11
TRP,TRP[p],0.0004857572257025,20,TRP,0,76,True,False,-56
MG+2,MG+2[p],0.0003656778794893,21,MG+2,22020085,7,False,True,14
CL-,CL-[p],0.0003574217264659,22,CL-,13213145,11,False,True,11
UNDECAPRENYL-DIPHOSPHATE,UNDECAPRENYL-DIPHOSPHATE[p],0.000305069618493,23,UNDECAPRENYL-DIPHOSPHATE,10460792,12,False,True,11
CPD-560,CPD-560[p],8.409088192120984e-05,24,CPD-560,15763561,8,False,True,16
FORMATE,FORMATE[p],0.0,28,FORMATE,422698765,5,False,True,23
CPD-564,CPD-564[c],0.0,35,CPD-564,1144537,20,False,True,15
5-Deoxy-D-Ribofuranose,5-Deoxy-D-Ribofuranose[c],0.0,46,5-Deoxy-D-Ribofuranose,2217805,16,False,True,30
CPD-10774,CPD-10774[p],0.0,52,CPD-10774,2020762,17,False,True,35
CYTOSINE,CYTOSINE[c],0.0,70,CYTOSINE,3160215,14,False,True,56
Pi,Pi[p],0.0,72,Pi,2346450614,3,False,True,69
AMMONIUM,AMMONIUM[c],0.0,75,AMMONIUM,15471882137,1,False,True,74
FUM,FUM[p],0.0,77,FUM,1602808,18,False,True,59
GLC,GLC[p],0.0,78,GLC,1286702,19,False,True,59
