chemical,mean_exchange_rate,mean_abs_exchange_rate,max_exchange_rate,min_exchange_rate,max_abs_exchange_rate
WATER,-47327529326.5,47327529326.5,-46653325381,-47946468814,47946468814
AMMONIUM,-4115869123.0,4115869123.0,-4075870702,-4149945034,4149945034
PROTON,3471591169.0,3471591169.0,3493226680,3445322140,3493226680
CARBON-DIOXIDE,1048475446.75,1048475446.75,1091144721,997691067,1091144721
Pi,-636893889.75,636893889.75,-630611371,-642199447,642199447
OXYGEN-MOLECULE,-244112858.0,244112858.0,-123303484,-347485809,347485809
K+,-128963755.0,128963755.0,-127875796,-129791630,129791630
FORMATE,32967527.0,32967527.0,60688165,5267123,60688165
HYDROGEN-MOLECULE,10358159.75,10358159.75,10755321,9941255,10755321
MG+2,-5729177.75,5729177.75,-5680334,-5765236,5765236
METOH,2428140.25,2428140.25,5066888,25043,5066888
FE+2,-4976548.5,4976548.5,-4935264,-5013036,5013036
CPD-560,4101513.25,4101513.25,4128762,4067739,4128762
CA+2,-3573681.25,3573681.25,-3541320,-3598241,3598241
CL-,-3436535.5,3436535.5,-3409407,-3456559,3456559
UNDECAPRENYL-DIPHOSPHATE,806245.0,806245.0,1612490,0,1612490
GLC,-894787.25,894787.25,-802609,-960892,960892
MN+2,-591384.75,591384.75,-585625,-595872,595872
5-Deoxy-D-Ribofuranose,570486.75,570486.75,575054,565159,575054
CYTOSINE,530278.0,530278.0,530278,530278,530278
ZN+2,-359467.25,359467.25,-356574,-361453,361453
NI+2,-347539.5,347539.5,-344125,-350490,350490
CO+2,-151171.5,151171.5,-149414,-152689,152689
NA+,-134385.25,134385.25,-133031,-135818,135818
CPD-108,120769.25,120769.25,121517,119904,121517
CARBON-MONOXIDE,120769.25,120769.25,121517,119904,121517
CPD-10774,42779.0,42779.0,89638,0,89638
CPD-1772,68994.5,68994.5,77402,60697,77402
L-SELENOCYSTEINE,-61286.0,61286.0,-60763,-61811,61811
S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE,24626.75,24626.75,25043,24298,25043
CYS,6933.25,6933.25,8387,4094,8387
PHE,8193.75,8193.75,8243,8146,8243
SULFATE,-7567.5,7567.5,-7507,-7656,7656
CPD-564,2139.0,2139.0,5803,0,5803
THYMINE,2550.75,2550.75,3350,1746,3350
INDOLE,1966.0,1966.0,2183,1814,2183
FE+3,-531.0,766.5,471,-1330,1330
ARG,108.0,108.0,366,0,366
LYS,158.25,158.25,309,0,309
IMIDAZOLE-PYRUVATE,46.5,46.5,165,0,165
LEU,61.0,61.0,160,6,160
HIS,9.75,9.75,39,0,39
CPD-239,0.0,0.0,0,0,0
CPD-534,0.0,0.0,0,0,0
CPD-520,0.0,0.0,0,0,0
CH33ADO,0.0,0.0,0,0,0
ASN,0.0,0.0,0,0,0
ACET,0.0,0.0,0,0,0
4FE-4S,0.0,0.0,0,0,0
ARABINOSE,0.0,0.0,0,0,0
CPD-183,0.0,0.0,0,0,0
BETAINE,0.0,0.0,0,0,0
BUTANAL,0.0,0.0,0,0,0
GLT,0.0,0.0,0,0,0
CPD0-1958,0.0,0.0,0,0,0
L-ASPARTATE,0.0,0.0,0,0,0
L-ALPHA-ALANINE,0.0,0.0,0,0,0
GLY,0.0,0.0,0,0,0
GLYCEROL,0.0,0.0,0,0,0
GLYCOLLATE,0.0,0.0,0,0,0
GLYCOLALDEHYDE,0.0,0.0,0,0,0
HYPOXANTHINE,0.0,0.0,0,0,0
ILE,0.0,0.0,0,0,0
ETOH,0.0,0.0,0,0,0
D-LACTATE,0.0,0.0,0,0,0
D-ALANINE,0.0,0.0,0,0,0
CYTIDINE,0.0,0.0,0,0,0
FUM,0.0,0.0,0,0,0
GLC-D-LACTONE,0.0,0.0,0,0,0
GLN,0.0,0.0,0,0,0
MET,0.0,0.0,0,0,0
PRO,0.0,0.0,0,0,0
NITRATE,0.0,0.0,0,0,0
NITRITE,0.0,0.0,0,0,0
MI-PENTAKISPHOSPHATE,0.0,0.0,0,0,0
MAL,0.0,0.0,0,0,0
SUC,0.0,0.0,0,0,0
SER,0.0,0.0,0,0,0
S-ADENOSYLMETHIONINE,0.0,0.0,0,0,0
TUNGSTATE,0.0,0.0,0,0,0
TRP,0.0,0.0,0,0,0
THR,0.0,0.0,0,0,0
TYR,0.0,0.0,0,0,0
UREA,0.0,0.0,0,0,0
URACIL,0.0,0.0,0,0,0
VAL,0.0,0.0,0,0,0
XANTHINE,0.0,0.0,0,0,0
