chemical,mean_exchange,mean_abs_exchange,max_exchange,min_exchange,max_abs_exchange,unit
WATER,-61396.33898567855,61396.33898567855,-60893.16216045564,-61793.16191546472,61793.16191546472,mM
AMMONIUM,-5339.490276120482,5339.490276120482,-5303.856183915867,-5367.093398081046,5367.093398081046,mM
PROTON,4503.720368827997,4503.720368827997,4518.603965317042,4484.076374049511,4518.603965317042,mM
CARBON-DIOXIDE,1360.4626021747442,1360.4626021747442,1414.21804048993,1284.1371049687104,1414.21804048993,mM
Pi,-826.2376902834537,826.2376902834537,-819.8999609814964,-831.4519039835124,831.4519039835124,mM
OXYGEN-MOLECULE,-317.37430796122965,317.37430796122965,-158.70501823017295,-450.3716972132408,450.3716972132408,mM
K+,-167.30527242574573,167.30527242574573,-167.05596903712683,-167.71148107319598,167.71148107319598,mM
FORMATE,42.591785512441106,42.591785512441106,78.46218732615802,6.8847445688594435,78.46218732615802,mM
HYDROGEN-MOLECULE,13.437384391025862,13.437384391025862,13.924851796709588,12.884727291926952,13.924851796709588,mM
MG+2,-7.432488176247652,7.432488176247652,-7.4204868735197245,-7.449863523277163,7.449863523277163,mM
METOH,3.166475063931732,3.166475063931732,6.645317702749658,0.03223306951763197,6.645317702749658,mM
FE+2,-6.4560946872592835,6.4560946872592835,-6.441964653130763,-6.47269038252732,6.47269038252732,mM
CPD-560,5.320913086080212,5.320913086080212,5.334915235321008,5.314166536267908,5.334915235321008,mM
CA+2,-4.636140288039867,4.636140288039867,-4.631328207251271,-4.644506941361525,4.644506941361525,mM
CL-,-4.458245075009083,4.458245075009083,-4.448968036529028,-4.471500592272536,4.471500592272536,mM
UNDECAPRENYL-DIPHOSPHATE,1.0407829446246293,1.0407829446246293,2.0876814623827817,0.0,2.0876814623827817,mM
GLC,-1.1610384869462718,1.1610384869462718,-1.0330452299036488,-1.2453992355084214,1.2453992355084214,mM
MN+2,-0.7672014881681133,0.7672014881681133,-0.7664408049165827,-0.7680580623990048,0.7680580623990048,mM
5-Deoxy-D-Ribofuranose,0.7400908370076734,0.7400908370076734,0.7412165233508801,0.7384142284973451,0.7412165233508801,mM
CYTOSINE,0.6879572663094182,0.6879572663094182,0.6954694441200758,0.6825255615409833,0.6954694441200758,mM
ZN+2,-0.46633945321138087,0.46633945321138087,-0.4651693653622665,-0.4676534224834369,0.4676534224834369,mM
NI+2,-0.450860924642047,0.450860924642047,-0.44965261670840445,-0.4513459370068567,0.4513459370068567,mM
CO+2,-0.19611206377097698,0.19611206377097698,-0.19471627274175682,-0.19724536779301233,0.19724536779301233,mM
NA+,-0.17433634144139948,0.17433634144139948,-0.17332177140285762,-0.17481256382005905,0.17481256382005905,mM
CPD-108,0.1566751190544694,0.1566751190544694,0.15725632258508476,0.1562989701315726,0.15725632258508476,mM
CARBON-MONOXIDE,0.1566751190544694,0.1566751190544694,0.15725632258508476,0.1562989701315726,0.15725632258508476,mM
CPD-10774,0.05524410388135388,0.05524410388135388,0.11537387235640675,0.0,0.11537387235640675,mM
CPD-1772,0.08955935729353373,0.08955935729353373,0.10038756588295755,0.07858405430250588,0.10038756588295755,mM
L-SELENOCYSTEINE,-0.07950619021169002,0.07950619021169002,-0.07893296940935961,-0.0798424970720338,0.0798424970720338,mM
S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE,0.0319473456427283,0.0319473456427283,0.03223306951763197,0.03174116058579033,0.03223306951763197,mM
CYS,0.008990834147097834,0.008990834147097834,0.010858600316903914,0.005306178498906721,0.010858600316903914,mM
PHE,0.010630464556686134,0.010630464556686134,0.010810847570296685,0.010484789533627362,0.010810847570296685,mM
SULFATE,-0.009817386284369302,0.009817386284369302,-0.009729722030115476,-0.009882292422926788,0.009882292422926788,mM
CPD-564,0.0027661503573590145,0.0027661503573590145,0.00752119048098576,0.0,0.00752119048098576,mM
