chemical,mean_exchange_rate,mean_abs_exchange_rate,max_exchange_rate,min_exchange_rate,max_abs_exchange_rate
WATER,-156195802053.89517,156195802053.89517,-128182373861,-177305805843,177305805843
AMMONIUM,-13600088276.846775,13600088276.846775,-11262012058,-15471882137,15471882137
PROTON,11516306657.298388,11516306657.298388,13089218060,9570813863,13089218060
CARBON-DIOXIDE,3907783056.395161,3907783056.395161,4908529198,2883224724,4908529198
Pi,-2054245986.548387,2054245986.548387,-1674979228,-2346450614,2346450614
OXYGEN-MOLECULE,-1181197801.1451614,1181197801.1451614,-365755568,-1935698511,1935698511
K+,-428783245.6532258,428783245.6532258,-327765838,-495663032,495663032
FORMATE,64196698.38709678,64196698.38709678,422698765,5357744,422698765
METOH,11855500.911290323,11855500.911290323,51008323,81524,51008323
MG+2,-19047637.475806452,19047637.475806452,-14553863,-22020085,22020085
FE+2,-16391852.475806452,16391852.475806452,-12561937,-18777718,18777718
CPD-560,13635876.588709677,13635876.588709677,15763561,10419936,15763561
CA+2,-11879100.64516129,11879100.64516129,-9103355,-13723284,13723284
HYDROGEN-MOLECULE,10989574.072580645,10989574.072580645,13313873,9941255,13313873
CL-,-11424916.935483871,11424916.935483871,-8731564,-13213145,13213145
UNDECAPRENYL-DIPHOSPHATE,2413176.5887096776,2413176.5887096776,10460792,0,10460792
ACET,134601.45967741936,134601.45967741936,5798515,0,5798515
CYTOSINE,610464.8629032258,610464.8629032258,3160215,530278,3160215
HYPOXANTHINE,72654.04032258065,72654.04032258065,2723073,0,2723073
MN+2,-1963610.6693548388,1963610.6693548388,-1523171,-2262595,2262595
5-Deoxy-D-Ribofuranose,1916026.5806451612,1916026.5806451612,2217805,1484780,2217805
CPD-10774,828933.6048387097,828933.6048387097,2020762,0,2020762
FUM,46882.854838709674,46882.854838709674,1602808,0,1602808
ZN+2,-1192550.7096774194,1192550.7096774194,-934628,-1370984,1370984
NI+2,-1153007.2338709678,1153007.2338709678,-904024,-1325655,1325655
GLC,-829945.4193548387,829945.4193548387,-394807,-1286702,1286702
CPD-564,165784.37903225806,165784.37903225806,1144537,0,1144537
UREA,20036.209677419356,20036.209677419356,956722,0,956722
CO+2,-499728.18548387097,499728.18548387097,-405386,-570623,570623
NA+,-444201.01612903224,444201.01612903224,-361498,-506859,506859
CPD-108,421654.9435483871,421654.9435483871,505243,312850,505243
CARBON-MONOXIDE,400516.6370967742,400516.6370967742,465510,304876,465510
CPD-1772,283516.72580645164,283516.72580645164,418205,188146,418205
L-SELENOCYSTEINE,-201935.0,201935.0,-162602,-231087,231087
GLYCOLALDEHYDE,2078.0080645161293,2078.0080645161293,109809,0,109809
S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE,80846.89516129032,80846.89516129032,94741,59883,94741
THYMINE,6637.677419354839,6637.677419354839,85431,1746,85431
ARG,1139.6935483870968,1139.6935483870968,46497,0,46497
GLYCOLLATE,1364.6774193548388,1364.6774193548388,44264,0,44264
CYS,14467.104838709678,14467.104838709678,41686,4094,41686
ILE,381.8709677419355,381.8709677419355,29690,0,29690
SULFATE,-22662.040322580644,22662.040322580644,-17791,-27713,27713
FE+3,507.38709677419354,2070.5806451612902,25490,-8765,25490
LEU,1250.5403225806451,1250.5403225806451,25424,17,25424
SUC,199.9516129032258,199.9516129032258,12397,0,12397
URACIL,190.24193548387098,190.24193548387098,11795,0,11795
PHE,8462.427419354839,8462.427419354839,9021,8146,9021
CH33ADO,617.0403225806451,617.0403225806451,7899,0,7899
INDOLE,2191.9032258064517,2191.9032258064517,3606,1851,3606
HIS,215.29032258064515,215.29032258064515,2049,0,2049
LYS,370.2258064516129,370.2258064516129,905,0,905
IMIDAZOLE-PYRUVATE,157.0,157.0,816,0,816
TYR,0.9516129032258065,0.9516129032258065,118,0,118
4FE-4S,0.0,0.0,0,0,0
ASN,0.0,0.0,0,0,0
CPD-534,0.0,0.0,0,0,0
CPD-520,0.0,0.0,0,0,0
CPD-239,0.0,0.0,0,0,0
CPD-183,0.0,0.0,0,0,0
BETAINE,0.0,0.0,0,0,0
BUTANAL,0.0,0.0,0,0,0
ARABINOSE,0.0,0.0,0,0,0
GLYCEROL,0.0,0.0,0,0,0
ETOH,0.0,0.0,0,0,0
D-LACTATE,0.0,0.0,0,0,0
D-ALANINE,0.0,0.0,0,0,0
CYTIDINE,0.0,0.0,0,0,0
CPD0-1958,0.0,0.0,0,0,0
GLC-D-LACTONE,0.0,0.0,0,0,0
GLN,0.0,0.0,0,0,0
GLT,0.0,0.0,0,0,0
L-ASPARTATE,0.0,0.0,0,0,0
L-ALPHA-ALANINE,0.0,0.0,0,0,0
GLY,0.0,0.0,0,0,0
NITRATE,0.0,0.0,0,0,0
MAL,0.0,0.0,0,0,0
MET,0.0,0.0,0,0,0
NITRITE,0.0,0.0,0,0,0
MI-PENTAKISPHOSPHATE,0.0,0.0,0,0,0
PRO,0.0,0.0,0,0,0
TUNGSTATE,0.0,0.0,0,0,0
THR,0.0,0.0,0,0,0
S-ADENOSYLMETHIONINE,0.0,0.0,0,0,0
SER,0.0,0.0,0,0,0
TRP,0.0,0.0,0,0,0
VAL,0.0,0.0,0,0,0
XANTHINE,0.0,0.0,0,0,0
