exchange_chemical,available_agent_count,available_agent_fraction,inf_agent_count,has_inf_marker,nonzero_agent_count,nonzero_agent_fraction,mean_concentration,max_concentration
NA+,4,1.0,0,,4,1.0,135.15,135.15
Pi,4,1.0,0,,4,1.0,63.851,63.851
CL-,4,1.0,0,,4,1.0,55.389,55.389
AMMONIUM,4,1.0,0,,4,1.0,30.272,30.272
K+,4,1.0,0,,4,1.0,21.883,21.883
SULFATE,4,1.0,0,,4,1.0,15.077,15.077
MG+2,4,1.0,0,,4,1.0,2.1,2.1
GLC,4,1.0,0,,4,1.0,0.9881002652490016,0.9892016009373783
CA+2,4,1.0,0,,4,1.0,0.09,0.09
FE+3,4,1.0,0,,4,1.0,0.0031,0.0031
4FE-4S,4,1.0,0,,0,0.0,0.0,0.0
5-Deoxy-D-Ribofuranose,4,1.0,0,,0,0.0,0.0,0.0
ACET,4,1.0,0,,0,0.0,0.0,0.0
ARABINOSE,4,1.0,0,,0,0.0,0.0,0.0
ARG,4,1.0,0,,0,0.0,0.0,0.0
ASN,4,1.0,0,,0,0.0,0.0,0.0
BETAINE,4,1.0,0,,0,0.0,0.0,0.0
BUTANAL,4,1.0,0,,0,0.0,0.0,0.0
CARBON-DIOXIDE,4,1.0,4,INF_PRESENT,0,0.0,0.0,0.0
CARBON-MONOXIDE,4,1.0,0,,0,0.0,0.0,0.0
CH33ADO,4,1.0,0,,0,0.0,0.0,0.0
CO+2,4,1.0,4,INF_PRESENT,0,0.0,0.0,0.0
CPD-10774,4,1.0,0,,0,0.0,0.0,0.0
CPD-108,4,1.0,0,,0,0.0,0.0,0.0
CPD-1772,4,1.0,0,,0,0.0,0.0,0.0
CPD-183,4,1.0,0,,0,0.0,0.0,0.0
CPD-239,4,1.0,0,,0,0.0,0.0,0.0
CPD-520,4,1.0,0,,0,0.0,0.0,0.0
CPD-534,4,1.0,0,,0,0.0,0.0,0.0
CPD-560,4,1.0,0,,0,0.0,0.0,0.0
CPD-564,4,1.0,0,,0,0.0,0.0,0.0
CPD0-1958,4,1.0,0,,0,0.0,0.0,0.0
CYS,4,1.0,0,,0,0.0,0.0,0.0
CYTIDINE,4,1.0,0,,0,0.0,0.0,0.0
CYTOSINE,4,1.0,0,,0,0.0,0.0,0.0
D-ALANINE,4,1.0,0,,0,0.0,0.0,0.0
D-LACTATE,4,1.0,0,,0,0.0,0.0,0.0
ETOH,4,1.0,0,,0,0.0,0.0,0.0
FE+2,4,1.0,4,INF_PRESENT,0,0.0,0.0,0.0
FORMATE,4,1.0,0,,0,0.0,0.0,0.0
FUM,4,1.0,0,,0,0.0,0.0,0.0
GLC-D-LACTONE,4,1.0,0,,0,0.0,0.0,0.0
GLN,4,1.0,0,,0,0.0,0.0,0.0
GLT,4,1.0,0,,0,0.0,0.0,0.0
GLY,4,1.0,0,,0,0.0,0.0,0.0
GLYCEROL,4,1.0,0,,0,0.0,0.0,0.0
GLYCOLALDEHYDE,4,1.0,0,,0,0.0,0.0,0.0
GLYCOLLATE,4,1.0,0,,0,0.0,0.0,0.0
HIS,4,1.0,0,,0,0.0,0.0,0.0
HYDROGEN-MOLECULE,4,1.0,0,,0,0.0,0.0,0.0
HYPOXANTHINE,4,1.0,0,,0,0.0,0.0,0.0
ILE,4,1.0,0,,0,0.0,0.0,0.0
IMIDAZOLE-PYRUVATE,4,1.0,0,,0,0.0,0.0,0.0
INDOLE,4,1.0,0,,0,0.0,0.0,0.0
L-ALPHA-ALANINE,4,1.0,0,,0,0.0,0.0,0.0
L-ASPARTATE,4,1.0,0,,0,0.0,0.0,0.0
L-SELENOCYSTEINE,4,1.0,4,INF_PRESENT,0,0.0,0.0,0.0
LEU,4,1.0,0,,0,0.0,0.0,0.0
LYS,4,1.0,0,,0,0.0,0.0,0.0
MAL,4,1.0,0,,0,0.0,0.0,0.0
MET,4,1.0,0,,0,0.0,0.0,0.0
METOH,4,1.0,0,,0,0.0,0.0,0.0
MI-PENTAKISPHOSPHATE,4,1.0,0,,0,0.0,0.0,0.0
MN+2,4,1.0,4,INF_PRESENT,0,0.0,0.0,0.0
NI+2,4,1.0,4,INF_PRESENT,0,0.0,0.0,0.0
NITRATE,4,1.0,0,,0,0.0,0.0,0.0
NITRITE,4,1.0,0,,0,0.0,0.0,0.0
OXYGEN-MOLECULE,4,1.0,4,INF_PRESENT,0,0.0,0.0,0.0
PHE,4,1.0,0,,0,0.0,0.0,0.0
PRO,4,1.0,0,,0,0.0,0.0,0.0
PROTON,4,1.0,0,,0,0.0,0.0,0.0
S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE,4,1.0,0,,0,0.0,0.0,0.0
S-ADENOSYLMETHIONINE,4,1.0,0,,0,0.0,0.0,0.0
SER,4,1.0,0,,0,0.0,0.0,0.0
SUC,4,1.0,0,,0,0.0,0.0,0.0
THR,4,1.0,0,,0,0.0,0.0,0.0
THYMINE,4,1.0,0,,0,0.0,0.0,0.0
TRP,4,1.0,0,,0,0.0,0.0,0.0
TUNGSTATE,4,1.0,0,,0,0.0,0.0,0.0
TYR,4,1.0,0,,0,0.0,0.0,0.0
UNDECAPRENYL-DIPHOSPHATE,4,1.0,0,,0,0.0,0.0,0.0
URACIL,4,1.0,0,,0,0.0,0.0,0.0
UREA,4,1.0,0,,0,0.0,0.0,0.0
VAL,4,1.0,0,,0,0.0,0.0,0.0
WATER,4,1.0,4,INF_PRESENT,0,0.0,0.0,0.0
XANTHINE,4,1.0,0,,0,0.0,0.0,0.0
ZN+2,4,1.0,4,INF_PRESENT,0,0.0,0.0,0.0
