gene_id,monomer_id,mean_functional_units,num_complexes,is_functional
G7487,G7487-MONOMER[c],0.0,1,False
G7486,G7486-MONOMER[c],0.0,1,False
G7485,G7485-MONOMER[c],0.0,1,False
G6845,G6845-MONOMER[i],0.0,1,False
G6846,G6846-MONOMER[i],0.0,1,False
Unknown,4FE-4S[c],0.0,1,False
EG11062,EG11062-MONOMER[c],0.0,1,False
EG11061,EG11061-MONOMER[c],0.0,1,False
EG11906,EG11906-MONOMER[c],0.0,1,False
Unknown,TU0-12938[c],0.0,1,False
EG11063,EG11063-MONOMER[c],0.0,1,False
EG10300,EG10300-MONOMER[c],0.0,1,False
EG11912,EG11912-MONOMER[c],0.0,1,False
G7145,G7145-MONOMER[c],0.0,1,False
EG11908,FRWC-MONOMER[i],0.0,1,False
EG11909,FRWB-MONOMER[c],0.0,1,False
EG10116,EG10116-MONOMER[c],0.0,1,False
Unknown,MONOMER0-1781[c],0.0,1,False
EG10173,CYDA-MONOMER[m],0.0,1,False
EG10115,BGLF-MONOMER[i],0.0,1,False
EG12259,EG12259-MONOMER[i],0.0,1,False
EG12260,EG12260-MONOMER[i],0.0,1,False
EG10862,EG10862-MONOMER[c],0.0,1,False
Unknown,TU543[c],0.0,1,False
G0-10441,MONOMER0-2663[i],0.0,1,False
G0-10594,MONOMER0-2822[m],0.0,1,False
EG12835,YHDX-MONOMER[i],0.0,1,False
EG10174,CYDB-MONOMER[m],0.0,1,False
EG12836,YHDY-MONOMER[i],0.0,1,False
G0-10460,MONOMER0-2682[i],0.0,1,False
G7171,G7171-MONOMER[i],0.0,1,False
EG12837,YHDZ-MONOMER[i],0.0,1,False
EG10717,EG10717-MONOMER[c],0.0,3,False
EG10718,EG10718-MONOMER[c],0.0,3,False
EG10267,ACRF-MONOMER[m],0.0,1,False
Unknown,PD03576[c],0.0,1,False
Unknown,GLYCEROL-3P[c],0.0,1,False
Unknown,EG10157-MONOMER[c],0.0,1,False
EG12415,GATB-MONOMER[c],0.0,1,False
EG12414,GATA-MONOMER[c],0.0,1,False
EG12075,NIKA-MONOMER[p],0.0,1,False
Unknown,ARABINOSE[c],0.0,1,False
Unknown,GATC-MONOMER[i],0.0,1,False
Unknown,PC00003[c],0.0,1,False
EG12076,NIKB-MONOMER[i],0.0,1,False
EG12079,NIKE-MONOMER[i],0.0,1,False
EG12078,NIKD-MONOMER[i],0.0,1,False
EG12077,NIKC-MONOMER[i],0.0,1,False
EG10266,EG10266-MONOMER[m],0.0,1,False
G7213,G7213-MONOMER[c],0.0,1,False
G6520,G6520-MONOMER[c],0.0,1,False
Unknown,TU0-8518[c],0.0,1,False
EG10716,EG10716-MONOMER[c],0.0,3,False
Unknown,G6577-MONOMER[c],0.0,1,False
EG11250,EG11250-MONOMER[c],0.0,1,False
EG10232,DMSA-MONOMER[i],0.0,1,False
EG11412,EG11412-MONOMER[c],0.0,2,False
G6648,YCJN-MONOMER[i],0.0,1,False
G6650,YCJP-MONOMER[i],0.0,1,False
G6649,YCJO-MONOMER[i],0.0,1,False
Unknown,EG10574-MONOMER[c],0.0,2,False
Unknown,YHDW-MONOMER[p],0.0,1,False
Unknown,EG10605-MONOMER[i],0.0,1,False
Unknown,YCJV-MONOMER[c],0.0,1,False
EG11791,CMTB-MONOMER[c],0.0,1,False
EG13139,AMINEOXID-MONOMER[p],0.0,1,False
EG11792,CMTA-MONOMER[i],0.0,1,False
G7212,G7212-MONOMER[c],0.0,1,False
EG12769,AGAB-MONOMER[c],0.0,1,False
G7635,AGAD-MONOMER[i],0.0,1,False
EG10720,PHNK-MONOMER[c],0.0,2,False
Unknown,NITRATE[p],0.0,1,False
Unknown,NARX-CPLX[i],0.0,1,False
G6157,G6157-MONOMER[p],0.0,1,False
EG12096,EG12096-MONOMER[c],0.0,1,False
G6858,B1600-MONOMER[i],0.0,1,False
G6857,B1599-MONOMER[i],0.0,1,False
EG12284,LYXK-MONOMER[c],0.0,1,False
G7347,G7347-MONOMER[i],0.0,1,False
EG12073,EG12073-MONOMER[i],0.0,1,False
EG11500,EG11500-MONOMER[c],0.0,2,False
Unknown,EG10245-MONOMER[c],0.0,3,False
Unknown,CPLX0-7677[c],0.0,1,False
EG12770,AGAC-MONOMER[i],0.0,1,False
EG12241,YHIV-MONOMER[m],0.0,1,False
