gene_id,variant,status,all_transcription_success,all_translation_success,max_mrna,max_protein,mean_mrna,mean_protein
EG10001,2,analyzed,98,0,4.0,3.0,0.4318552263133698,0.5935553976679065
EG10004,2,analyzed,113,0,6.0,13.0,0.9219709951101266,5.225686462991599
EG10011,2,analyzed,113,0,4.0,784.0,0.5879550298825594,485.6654407155097
EG10014,2,analyzed,1,2059,1.0,3.0,0.033811175659297026,0.4674217411292682
EG10015,2,analyzed,145,0,5.0,562.0,1.1050277928699794,333.482969030802
EG10016,2,analyzed,1,0,1.0,7.0,0.033142475028210806,0.3419567852217161
EG10017,2,analyzed,433,0,9.0,5.0,1.85836084757805,0.6692439503489781
EG10018,2,analyzed,21,0,3.0,5.0,0.4397124587286329,1.3494378735319932
EG10026,2,analyzed,0,0,0.0,2.0,0.0,0.4326493083127847
EG10031,2,analyzed,651,330,18.0,47.0,5.788815981945083,19.913654031010992
EG10033,2,analyzed,8,0,2.0,4.0,0.257784093283738,0.37355289004054
EG10034,2,analyzed,454,8344,11.0,6.0,3.1008902077151337,0.8434404647469386
EG10035,2,analyzed,73,0,9.0,9.0,1.5259748401387554,1.8419776821164375
EG10039,2,analyzed,108,134573,10.0,10.0,2.3804488652986167,2.81510427550466
EG10040,2,analyzed,10,0,2.0,447.0,0.2236385673088979,180.82492581602375
EG10044,2,analyzed,72,0,5.0,1326.0,0.9138212061687633,584.1721068249258
EG10046,2,analyzed,1,262468,1.0,3.0,0.0026330087349019935,1.0414176453379027
EG10050,2,analyzed,0,0,0.0,1.0,0.0,0.224349061729427
EG10051,2,analyzed,287,504,9.0,9.0,1.9269026622643874,0.944414260040958
EG10054,2,analyzed,19,0,3.0,3.0,0.6201362477535838,0.5102603753082292
EG10003,2,analyzed,56,0,3.0,525.0,0.45780916955740375,286.77514941279725
EG10013,2,analyzed,0,0,1.0,92.0,0.0025912149454591048,19.187194382914697
EG10028,2,analyzed,47,0,3.0,433.0,0.2579930622309525,214.29757178083338
EG10030,2,analyzed,28,0,2.0,387.0,0.22819409035817279,228.69001546370208
EG10032,2,analyzed,429,2634,14.0,9782.0,5.019977431353701,5882.342249341747
EG10043,2,analyzed,65,0,5.0,612.0,0.5953943244033937,356.1572700296736
EG10071,2,analyzed,142,775,6.0,1126.0,0.9532327496134074,574.9090149203828
EG10084,2,analyzed,30,2077,3.0,248.0,0.3389894261712709,119.85004388347892
EG10085,2,analyzed,0,0,0.0,342.0,0.0,68.58473690809545
EG10107,2,analyzed,435,0,9.0,955.0,1.8541396748443182,585.4892380992185
EG10108,2,analyzed,490,0,25.0,18491.0,9.519789359301209,11445.32933506081
EG10112,2,analyzed,21,123,1.0,40.0,0.16295398503782338,14.781293099845364
EG10122,2,analyzed,14,0,2.0,251.0,0.19927278806369372,118.45204162661429
EG10124,2,analyzed,14,0,2.0,135.0,0.23191373761858988,64.5098424374138
EG10129,2,analyzed,12,769,2.0,503.0,0.15906716261963472,159.93162536047143
EG10138,2,analyzed,36,669,2.0,129.0,0.1848121369164542,78.0911104609855
EG10160,2,analyzed,32,0,2.0,448.0,0.21774564299745058,185.79002800183892
EG10167,2,analyzed,50,0,5.0,326.0,0.7871442303673674,162.43206419526058
EG10170,2,analyzed,954,8939,9.0,185.0,2.090149203828311,74.02332093450913
EG10172,2,analyzed,186,0,8.0,1701.0,1.0633593847954195,858.7859322104736
