gene_id,variant,status,all_transcription_success,all_translation_success,max_mrna,max_protein,mean_mrna,mean_protein
EG10001,2,analyzed,88,0,4.0,4.0,0.3525711040237669,0.40447376469046264
EG10004,2,analyzed,0,0,0.0,3.0,0.0,0.5702739307090742
EG10011,2,analyzed,70,0,4.0,852.0,0.3586438900782035,387.4361920573201
EG10014,2,analyzed,1,2138,1.0,4.0,0.007601904845122111,0.9774564201144654
EG10015,2,analyzed,130,0,6.0,831.0,1.0484949102188825,436.6472104504347
EG10016,2,analyzed,0,0,0.0,2.0,0.0,0.893223819301848
EG10017,2,analyzed,338,0,6.0,5.0,1.219100878151077,0.6683559788544716
EG10018,2,analyzed,13,0,3.0,5.0,0.21844554152649745,1.5027742583773864
EG10026,2,analyzed,0,0,0.0,2.0,0.0,0.36183319498449035
EG10031,2,analyzed,532,611,15.0,45.0,4.098562628336755,20.79990388396173
EG10033,2,analyzed,9,0,2.0,4.0,0.20743588623356196,0.12075669535584779
EG10034,2,analyzed,400,10075,10.0,6.0,2.3844641530866353,0.7940932325571235
EG10035,2,analyzed,55,0,5.0,7.0,0.9446458997771855,1.6724627550351698
EG10039,2,analyzed,84,152404,5.0,11.0,1.7129625584341823,3.0546550744899297
EG10040,2,analyzed,4,0,1.0,143.0,0.028485298615055266,45.63073965660361
EG10044,2,analyzed,65,0,5.0,1708.0,0.9042334745947835,859.9422429988203
EG10046,2,analyzed,4,309610,1.0,5.0,0.0516842151251693,1.1674166630259077
EG10050,2,analyzed,0,0,0.0,1.0,0.0,0.0343396391279654
EG10051,2,analyzed,279,429,8.0,9.0,1.77535060509415,1.074096727685788
EG10054,2,analyzed,13,0,2.0,3.0,0.27432391104897547,0.3580759316702346
EG10003,2,analyzed,41,0,3.0,584.0,0.27104722792607805,228.9373935077985
EG10013,2,analyzed,81,0,4.0,239.0,0.2927607147538119,85.56284678229717
EG10028,2,analyzed,44,0,2.0,552.0,0.2803530079951068,266.68037048363846
EG10030,2,analyzed,21,36,2.0,380.0,0.16060116213028092,213.33859058936608
EG10032,2,analyzed,374,2828,14.0,12494.0,4.624361046791035,7290.399012626152
EG10043,2,analyzed,36,0,4.0,492.0,0.3089256848267727,263.5243566778802
EG10071,2,analyzed,117,659,4.0,1230.0,0.731443051247324,615.7328847918214
EG10084,2,analyzed,41,2029,4.0,437.0,0.5825942592511687,185.8647822097951
EG10085,2,analyzed,0,0,0.0,347.0,0.0,140.40285726768317
EG10107,2,analyzed,274,0,7.0,887.0,1.0286600550482765,512.2263532701297
EG10108,2,analyzed,424,0,17.0,17112.0,7.042640569705973,11808.289484031631
EG10112,2,analyzed,16,138,2.0,28.0,0.08348988597142733,14.51138101271353
EG10122,2,analyzed,12,0,3.0,515.0,0.1386255406527153,118.61544846869675
EG10124,2,analyzed,18,0,4.0,435.0,0.4686967538992529,188.7708506269387
EG10129,2,analyzed,17,942,2.0,470.0,0.2645812398968937,173.4640220193106
EG10138,2,analyzed,31,618,2.0,183.0,0.17274673423915418,87.79758836122154
EG10160,2,analyzed,36,0,3.0,967.0,0.3555419633885272,412.16352833238676
EG10167,2,analyzed,47,0,5.0,313.0,0.5905019878544279,180.81637467779282
EG10170,2,analyzed,816,9798,9.0,175.0,1.6053125955699243,77.6240989121412
EG10172,2,analyzed,171,0,6.0,1687.0,0.9790292280134563,996.0674996723317
