gene_id,variant,status,all_transcription_success,all_translation_success,max_mrna,max_protein,mean_mrna,mean_protein
EG10001,3,analyzed,61,0,2.0,3.0,0.27720395034882667,0.47254688774123405
EG10004,3,analyzed,57,0,3.0,12.0,0.4757633414877231,5.830841714233941
EG10011,3,analyzed,60,0,3.0,834.0,0.3508199691945275,437.87220259128384
EG10014,3,analyzed,2,1286,1.0,18.0,0.029310501041949804,1.4681525776932138
EG10015,3,analyzed,88,0,6.0,917.0,0.894898976171061,380.4718220530941
EG10016,3,analyzed,1,0,1.0,6.0,0.028812177222071213,0.9729093050647821
EG10017,3,analyzed,244,0,5.0,5.0,0.9846425659146507,0.5789616743680348
EG10018,3,analyzed,4,0,1.0,4.0,0.15647367944187732,1.629790703995651
EG10026,3,analyzed,0,0,0.0,3.0,0.0,0.4436441061882758
EG10031,3,analyzed,362,825,11.0,44.0,3.3233668569357615,20.188366403914106
EG10033,3,analyzed,4,0,1.0,4.0,0.25921899066775395,0.30850774667029085
EG10034,3,analyzed,261,11772,7.0,5.0,1.6358611941650811,0.7203950348826674
EG10035,3,analyzed,49,0,9.0,7.0,1.176678445229682,1.8139893086889554
EG10039,3,analyzed,49,102155,4.0,9.0,0.9446860559934764,2.895080184832835
EG10040,3,analyzed,4,0,2.0,752.0,0.09495333876959319,147.85417232943735
EG10044,3,analyzed,48,0,4.0,1166.0,0.7182658331068225,628.6017486635861
EG10046,3,analyzed,0,213298,0.0,1.0,0.0,0.19538823955785087
EG10050,3,analyzed,0,0,0.0,1.0,0.0,0.11760442149134728
EG10051,3,analyzed,186,329,6.0,7.0,1.1859200869801576,0.9211742321282957
EG10054,3,analyzed,16,0,2.0,3.0,0.22279604965117333,0.2890278155295823
EG10003,3,analyzed,21,0,2.0,315.0,0.12426383981154299,131.15606595995288
EG10013,3,analyzed,46,0,3.0,173.0,0.19484461357252877,59.199103017124216
EG10028,3,analyzed,21,0,2.0,353.0,0.10238289390232853,129.82739874966023
EG10030,3,analyzed,15,45,2.0,466.0,0.14831928966204586,215.24621726918548
EG10032,3,analyzed,261,1907,11.0,8424.0,3.239240735707167,5337.364999546979
EG10043,3,analyzed,22,0,3.0,515.0,0.23317024553773671,210.28490531847422
EG10071,3,analyzed,102,1511,4.0,1095.0,0.7242457189453656,654.121455105554
EG10084,3,analyzed,35,1836,5.0,567.0,0.6654888103651354,240.68641841080003
EG10085,3,analyzed,0,0,0.0,93.0,0.0,24.135544079006976
EG10107,3,analyzed,292,0,6.0,918.0,1.1162453565280421,534.3830298088249
EG10108,3,analyzed,320,0,14.0,16502.0,5.053411253057896,8585.547114252062
EG10112,3,analyzed,17,400,2.0,31.0,0.09155567636133007,14.485593911388964
EG10122,3,analyzed,7,0,1.0,161.0,0.07465796865090152,68.03220983963034
EG10124,3,analyzed,10,0,2.0,349.0,0.3413518166168343,115.12834103470146
EG10129,3,analyzed,13,717,2.0,260.0,0.1569267010963124,125.16249886744586
EG10138,3,analyzed,18,1224,2.0,142.0,0.08634592733532663,49.63069674730452
EG10160,3,analyzed,40,0,3.0,759.0,0.3274893539911208,344.1485004983238
EG10167,3,analyzed,50,0,5.0,552.0,0.9050013590649633,281.5373289843254
EG10170,3,analyzed,528,6601,8.0,189.0,1.1871432454471325,74.32803297997644
EG10172,3,analyzed,116,0,5.0,1478.0,0.679441877321736,784.3947630696747
