project,variant,label,mean_growth_rate,median_growth_rate,std_growth_rate,max_growth_rate,initial_dry_mass,final_dry_mass,max_dry_mass,fold_change_mass,duration_sec,n_timepoints,generations_used
all_media_conditions1_seed100,0,baseline,0.0002352762013965739,0.00023803710349736153,4.686137821718459e-05,0.0005926320567651213,266.9493849022739,608.8275505194365,748.6702429011941,2.280685346933161,24009.0,1205,8
all_media_conditions1_seed100,1,with_aa,0.00038205267164173986,0.00040170896049612314,7.902687651944252e-05,0.0009565277190148272,278.4406628069322,1283.641405034352,1342.133519798495,4.610107561496559,16520.0,830,8
all_media_conditions1_seed100,2,acetate,0.00023246992993346532,0.0002292838029395608,3.3623885802760975e-05,0.0004321293947169482,265.1006020897132,622.3919187754866,622.3919187754866,2.3477574696901735,3600.0,181,8
all_media_conditions1_seed100,3,succinate,0.00019580112333872623,0.00019138215804218766,4.143984864844158e-05,0.000368712678773654,262.3563310260241,486.5500196432124,665.6155375819778,1.8545388927357338,27606.0,1385,8
all_media_conditions1_seed100,4,no_oxygen,0.0001559714330335451,0.0001512775235452177,4.5967603266184507e-05,0.0005993701496591638,267.0060834905331,275.95005097625756,619.7221972253383,1.0334972423429505,31155.0,1561,8
gene_ko_metabolic_seed100,1,KO: EG10003,0.00024068535852941585,0.0002397389114958854,2.8637405178319678e-05,0.0003296387316479586,266.9671540601488,667.5975058861627,779.0472632723859,2.500672819607427,23828.0,1196,8
gene_ko_metabolic_seed100,2,KO: EG10013,0.0002536639646983611,0.00025352747970068816,3.165055263851781e-05,0.00034854953950070764,266.9669356937867,703.2057516229916,813.3767240293346,2.63405559866625,22650.0,1137,8
gene_ko_metabolic_seed100,3,KO: EG10028,0.00023665771612318864,0.00023862770726395196,2.8825920856161265e-05,0.0003508902116343677,266.95562515849963,648.6466736070572,728.3813927644803,2.4297921170304466,24117.0,1209,8
gene_ko_metabolic_seed100,4,KO: EG10030,0.00023375291407005033,0.0002330443375924805,3.490905954778545e-05,0.0005979172078489152,266.96500744305945,647.3692950921511,717.6059764195895,2.424921907528377,24336.0,1221,8
gene_ko_metabolic_seed100,5,KO: EG10032,0.00020464921994254454,0.0002034717495553002,3.1458194818751507e-05,0.0003610148441230351,266.96266630637876,613.0617074147376,729.0625332050345,2.296432365981689,27409.0,1374,8
gene_ko_metabolic_seed100,6,KO: EG10043,0.00021173736460490425,0.00021245765685511635,3.045530699795031e-05,0.0003116313805564628,266.97210497198034,566.6666161953078,708.9535230768449,2.122568634107977,26311.0,1318,8
gene_ko_metabolic_seed100,7,KO: EG10071,0.0001039526979201512,7.22689303856331e-05,7.46873374846025e-05,0.0003444958118242127,266.96345602132226,279.14970057464916,699.1993367665248,1.045647613103846,33671.0,1688,8
gene_ko_metabolic_seed100,8,KO: EG10084,0.0002405009025615916,0.00023514641375157907,4.393336381361638e-05,0.0006129623744200114,266.9767240713055,630.6029217557598,837.5721986522053,2.362014606139729,23604.0,1185,8
gene_ko_metabolic_seed100,9,KO: EG10085,0.00024525926664669827,0.00024615828165772515,4.4513373193123396e-05,0.0005867830042597854,266.98306451867336,631.0217654285732,794.8059855616771,2.3635273142369604,23120.0,1160,8
gene_ko_metabolic_seed100,10,KO: EG10107,0.00022922387862732573,0.00022845366738603868,2.790999387700999e-05,0.0003260701926230687,266.9644008736259,654.8181406161352,718.8570762156082,2.452829435210387,24893.0,1248,8
gene_ko_metabolic_seed100,11,KO: EG10108,0.0002484028357206779,0.00025251625029102965,3.778787886056758e-05,0.000589555958417608,266.96266630637876,810.7669311120369,810.7669311120369,3.0370049203118277,23648.0,1186,8
gene_ko_metabolic_seed100,12,KO: EG10112,0.0002370415455428446,0.00023783788568733718,3.365721199034595e-05,0.00034072651383799783,266.9828490349621,606.3805550851769,793.1644055388335,2.2712341158879825,23884.0,1198,8
gene_ko_metabolic_seed100,13,KO: EG10122,0.0002287444083548055,0.00022827912543304038,3.5761863004760216e-05,0.0003580828077996908,266.97364888911227,712.328356014817,772.4048809171456,2.6681597939678428,25311.0,1269,8
gene_ko_metabolic_seed100,14,KO: EG10124,0.00022252782357065723,0.0002226038405888284,2.956480808835569e-05,0.0003321656348101639,266.97364888911227,581.5823987396434,725.7441578371056,2.178426227306067,25078.0,1258,8
gene_ko_metabolic_seed100,15,KO: EG10129,0.00021862602296954337,0.00021954569110199489,2.7240878958483813e-05,0.0005278052872204362,266.9770972619465,670.0063625849627,701.6856451564515,2.5096023945738732,26171.0,1314,8
gene_ko_metabolic_seed100,16,KO: EG10138,0.00022942029630218592,0.00023068878964199372,2.4701601053133052e-05,0.00034921902681956475,266.96266630637876,635.6823602065872,708.0267004809177,2.3811657599982485,24653.0,1236,8
gene_ko_metabolic_seed100,17,KO: EG10160,0.0002226488709285204,0.00021924593574441372,3.8404950733706274e-05,0.00034163516724091515,266.9828490349621,575.8399260986423,774.0181417150768,2.1568423896144524,25109.0,1259,8
gene_ko_metabolic_seed100,18,KO: EG10167,0.00022632661017372814,0.00022885255384246826,3.255847823771654e-05,0.00036795204869074783,266.97217246747516,616.0752341649415,723.740016449364,2.3076383896902106,24995.0,1253,8
gene_ko_metabolic_seed100,19,KO: EG10170,0.00022217997332215364,0.00021794104487786562,3.7939062305335435e-05,0.0005968294933073262,266.95276732448076,693.6895908751876,706.4008733003718,2.5985480421411356,25749.0,1291,8
gene_ko_metabolic_seed100,20,KO: EG10172,0.00022540577304680658,0.00021848525218633608,5.1498791720682544e-05,0.0007256400873897734,266.9838373588368,620.3370329081861,762.080763121551,2.3235003251317745,25141.0,1262,8
gene_ko_non_metabolic_seed100,1,KO: EG10001,0.0002264995908585164,0.0002270824652699992,3.203059716679081e-05,0.0008563542701923251,266.9705593213504,709.3943342934467,709.3943342934467,2.6572006145424982,25353.0,1272,8
gene_ko_non_metabolic_seed100,2,KO: EG10004,0.00024055083559617287,0.00023930881807442944,3.155430027442106e-05,0.000600165077906374,266.9669356937867,644.549060110158,766.4004606180602,2.4143404067440817,23586.0,1183,8
gene_ko_non_metabolic_seed100,3,KO: EG10011,0.00023240368343281596,0.00022590256760014038,4.105060130897853e-05,0.0005924776858935399,266.9758116187776,654.4022166704569,780.3634951767428,2.451166690729633,24629.0,1235,8
gene_ko_non_metabolic_seed100,4,KO: EG10014,0.00021404295320779528,0.00021932957777696978,4.3179777739303e-05,0.0003381753693822824,266.98047329471797,557.1081809744646,770.7911298172846,2.0867001024433596,25935.0,1301,8
gene_ko_non_metabolic_seed100,5,KO: EG10015,0.00020840351366356366,0.00020192726846532126,3.875731779872107e-05,0.0003291372632741946,266.9669356937867,698.5520023705735,752.083584468988,2.616623667478502,27598.0,1383,8
gene_ko_non_metabolic_seed100,6,KO: EG10016,0.00023080681588519606,0.00022890250412241386,3.503275729227245e-05,0.0007552963817384539,266.9595490750788,728.0486018154115,738.8788230596899,2.727186962735907,25224.0,1264,8
gene_ko_non_metabolic_seed100,7,KO: EG10017,0.0002082384556400003,0.00021195441783041722,5.762749849365976e-05,0.00034023851094932005,266.973615174168,503.8033610034181,808.6872423479838,1.8870904552674514,26143.0,1310,8
gene_ko_non_metabolic_seed100,8,KO: EG10018,0.00020904868721449119,0.0002066207474416106,4.124084350905567e-05,0.0005846338671545067,266.973615174168,598.1191688875051,733.2717532667466,2.2403680921700997,26918.0,1349,8
gene_ko_non_metabolic_seed100,9,KO: EG10026,0.00022363508186139065,0.00021847748821553274,4.2723066915485594e-05,0.0007711854373388065,266.9764925372041,579.0465365046396,770.9110061253887,2.1689045765853243,25040.0,1256,8
gene_ko_non_metabolic_seed100,10,KO: EG10031,0.00023554405934946433,0.00022820663668073074,3.85869298279639e-05,0.0003399465635922892,266.9615872270682,646.6878308942671,806.7832888892888,2.4224003071431284,24201.0,1214,8
gene_ko_non_metabolic_seed100,11,KO: EG10033,0.0002394710856653962,0.00023693334774966483,3.1783418288981506e-05,0.0003077395344387001,266.97336415605014,677.9288494026423,769.3781853745841,2.539312682168481,23968.0,1202,8
gene_ko_non_metabolic_seed100,12,KO: EG10034,0.0001099410567302559,7.488222577882185e-05,7.628885757874102e-05,0.0005884880679028955,266.9790076918265,347.8049232839137,683.804533047426,1.3027425874823253,27506.0,1378,8
gene_ko_non_metabolic_seed100,13,KO: EG10035,0.00025215157124180597,0.0002540944499638717,3.590473345911839e-05,0.00033223560995175084,266.96009748592985,635.4957526359658,822.8276846563915,2.380489663514075,22497.0,1128,8
gene_ko_non_metabolic_seed100,14,KO: EG10039,0.0002118727374446378,0.00020858705242661355,3.096006292726918e-05,0.00034013374468658757,266.97680238229475,588.9307859694334,735.4148937066213,2.2059249369768086,26505.0,1329,8
gene_ko_non_metabolic_seed100,15,KO: EG10040,0.0001939753323033261,0.0002030785919682519,5.353180070159121e-05,0.00033956757167556424,266.96009748592985,529.5098935320223,776.1064297154944,1.9834795481370773,28356.0,1420,8
