exchange_name,mean_abs_flux,max_abs_flux,active_variant_ids
PROTON[p],90.99594728798975,104.79254365583645,"[0, 0, 0]"
MAL[p],7.800631151507961,8.801004277224964,"[0, 0, 0]"
METOH[p],6.6143681750557795,7.480267576290162,"[0, 0, 0]"
ARG[p],5.987378037434518,6.897185986969418,"[0, 0, 0]"
SULFATE[p],2.3683736952631436,3.577155760175881,"[0, 0, 0]"
4FE-4S[c],1.183410491870447,1.4144032570533775,"[0, 0, 0]"
CH33ADO[c],0.6345833278691974,1.2156367933522045,"[0, 0, 0]"
PRO[p],0.2582903542979786,0.37965912587151934,"[0, 0, 0]"
HYDROGEN-MOLECULE[c],0.01147953805723586,0.016871633705438097,"[0, 0, 0]"
NITRITE[p],0.009958498593790924,0.014443162922191622,"[0, 0, 0]"
CPD0-1958[p],0.008219796503469068,0.012089015463869458,"[0, 0, 0]"
K+[p],0.007152201724592009,0.010403615570713143,"[0, 0, 0]"
CA+2[p],0.006888067010929688,0.010132838772773814,"[0, 0, 0]"
HYPOXANTHINE[p],0.005539154765301657,0.017311318918283355,"[0, 0, 0]"
D-LACTATE[p],0.0029541670852903726,0.0115028453069975,[0]
CPD-239[p],0.0011797795476401784,0.0016501123367152718,"[0, 0, 0]"
ACET[p],0.001148392326489643,0.0016947154459752744,"[0, 0, 0]"
IMIDAZOLE-PYRUVATE[c],0.0007153665493783466,0.0009635142405182063,"[0, 0, 0]"
GLYCOLLATE[c],0.0006918338485475071,0.0009174424006597395,"[0, 0, 0]"
CO+2[p],0.0004961870085798188,0.0019072285364557407,[0]
CL-[p],0.00029765718754404426,0.0003574217264659095,"[0, 0, 0]"
UNDECAPRENYL-DIPHOSPHATE[p],0.0002643513199685617,0.0003050696184930729,"[0, 0, 0]"
FE+2[p],0.0002473765065461074,0.0003656778794893945,"[0, 0, 0]"
MG+2[p],0.0002473765065461074,0.0003656778794893945,"[0, 0, 0]"
MN+2[p],0.00016588568428951007,0.00019806657425874483,"[0, 0, 0]"
TRP[p],0.00012158949644320922,0.0004857572257025127,"[0, 0, 0]"
CPD-560[p],5.504992296743048e-05,8.409088192120984e-05,"[0, 0, 0]"
UREA[p],1.9615370589785548e-05,6.410696472057345e-05,"[0, 0, 0]"
D-ALANINE[p],0.0,0.0,[]
S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE[c],0.0,0.0,[]
FORMATE[p],0.0,0.0,[]
GLYCEROL[p],0.0,0.0,[]
CPD-534[p],0.0,0.0,[]
GLYCOLALDEHYDE[c],0.0,0.0,[]
BUTANAL[c],0.0,0.0,[]
ETOH[p],0.0,0.0,[]
XANTHINE[p],0.0,0.0,[]
CPD-564[c],0.0,0.0,[]
THYMINE[p],0.0,0.0,[]
BETAINE[p],0.0,0.0,[]
URACIL[p],0.0,0.0,[]
CPD-108[p],0.0,0.0,[]
CPD-1772[c],0.0,0.0,[]
PHE[p],0.0,0.0,[]
MET[p],0.0,0.0,[]
LEU[p],0.0,0.0,[]
LYS[p],0.0,0.0,[]
CARBON-MONOXIDE[p],0.0,0.0,[]
5-Deoxy-D-Ribofuranose[c],0.0,0.0,[]
VAL[p],0.0,0.0,[]
MI-PENTAKISPHOSPHATE[p],0.0,0.0,[]
TYR[p],0.0,0.0,[]
THR[p],0.0,0.0,[]
SER[p],0.0,0.0,[]
CPD-10774[p],0.0,0.0,[]
S-ADENOSYLMETHIONINE[c],0.0,0.0,[]
CPD-520[p],0.0,0.0,[]
TUNGSTATE[p],0.0,0.0,[]
L-ALPHA-ALANINE[p],0.0,0.0,[]
ASN[p],0.0,0.0,[]
L-ASPARTATE[p],0.0,0.0,[]
CYS[p],0.0,0.0,[]
GLT[p],0.0,0.0,[]
ILE[p],0.0,0.0,[]
GLN[p],0.0,0.0,[]
GLY[p],0.0,0.0,[]
HIS[p],0.0,0.0,[]
ARABINOSE[c],0.0,0.0,[]
NITRATE[p],0.0,0.0,[]
INDOLE[p],0.0,0.0,[]
CPD-183[p],0.0,0.0,[]
ZN+2[p],0.0,0.0,[]
NI+2[p],0.0,0.0,[]
CARBON-DIOXIDE[p],0.0,0.0,[]
WATER[p],0.0,0.0,[]
L-SELENOCYSTEINE[c],0.0,0.0,[]
CYTIDINE[c],0.0,0.0,[]
CYTOSINE[c],0.0,0.0,[]
GLC-D-LACTONE[c],0.0,0.0,[]
Pi[p],0.0,0.0,[]
FE+3[p],0.0,0.0,[]
NA+[p],0.0,0.0,[]
AMMONIUM[c],0.0,0.0,[]
SUC[p],0.0,0.0,[]
OXYGEN-MOLECULE[p],0.0,0.0,[]
FUM[p],0.0,0.0,[]
GLC[p],0.0,0.0,[]
