exchange_name,mean_abs_flux,max_abs_flux,active_variant_ids
PROTON[p],89.40536535034298,110.62095425288938,"[0, 0, 0, 0, 0, 0, 0, 0]"
MAL[p],7.841693683677544,9.216661591596711,"[0, 0, 0, 0, 0, 0, 0, 0]"
METOH[p],6.645488367998658,7.672615436773213,"[0, 0, 0, 0, 0, 0, 0, 0]"
ARG[p],5.903972252760767,7.554473961023974,"[0, 0, 0, 0, 0, 0, 0, 0]"
SULFATE[p],2.464123151574155,3.80494288565385,"[0, 0, 0, 0, 0, 0, 0, 0]"
4FE-4S[c],1.1553391320822193,1.5260483442630262,"[0, 0, 0, 0, 0, 0, 0, 0]"
CH33ADO[c],0.9243975728491712,1.3520228289052372,"[0, 0, 0, 0, 0, 0, 0, 0]"
PRO[p],0.24794976654487075,0.4273834108298556,"[0, 0, 0, 0, 0, 0, 0, 0]"
HYPOXANTHINE[p],0.011552537515349922,0.029868508293929653,"[0, 0, 0, 0, 0, 0, 0, 0]"
HYDROGEN-MOLECULE[c],0.011020117127089737,0.01899896892965004,"[0, 0, 0, 0, 0, 0, 0, 0]"
NITRITE[p],0.009573806197192314,0.016205792255879946,"[0, 0, 0, 0, 0, 0, 0, 0]"
CPD0-1958[p],0.007890877362796724,0.013610774163346044,"[0, 0, 0, 0, 0, 0, 0, 0]"
K+[p],0.006873274169628117,0.011696549462096889,"[0, 0, 0, 0, 0, 0, 0, 0]"
CA+2[p],0.00661216274776077,0.011395562518186695,"[0, 0, 0, 0, 0, 0, 0, 0]"
CPD-239[p],0.001139662369607142,0.0018019846679835166,"[0, 0, 0, 0, 0, 0, 0, 0]"
ACET[p],0.0011019814945875239,0.0019398948308553597,"[0, 0, 0, 0, 0, 0, 0, 0]"
IMIDAZOLE-PYRUVATE[c],0.000693812763511894,0.0010329695383694691,"[0, 0, 0, 0, 0, 0, 0, 0]"
GLYCOLLATE[c],0.0006710125251583029,0.00101524297988724,"[0, 0, 0, 0, 0, 0, 0, 0]"
CO+2[p],0.00041688772041596376,0.002304536194580116,"[0, 0]"
CL-[p],0.0002929575410704282,0.000375695561745037,"[0, 0, 0, 0, 0, 0, 0, 0]"
UNDECAPRENYL-DIPHOSPHATE[p],0.0002609898821640228,0.0003163855204057096,"[0, 0, 0, 0, 0, 0, 0, 0]"
MG+2[p],0.0002374937801412188,0.0004162069168191337,"[0, 0, 0, 0, 0, 0, 0, 0]"
FE+2[p],0.0002374937801412188,0.0004162069168191337,"[0, 0, 0, 0, 0, 0, 0, 0]"
MN+2[p],0.00016884707079227226,0.00029667993343282794,"[0, 0, 0, 0, 0, 0, 0, 0]"
TRP[p],0.00012158707766909776,0.00042795661678125775,"[0, 0, 0, 0, 0, 0, 0, 0]"
CPD-560[p],5.2661956508601575e-05,0.0001038261674336183,"[0, 0, 0, 0, 0, 0, 0, 0]"
UREA[p],1.8294613503606086e-05,5.722795315321007e-05,"[0, 0, 0, 0, 0, 0, 0, 0]"
MET[p],1.1984426141612195e-21,3.835016365315902e-18,[]
FORMATE[p],0.0,0.0,[]
S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE[c],0.0,0.0,[]
THYMINE[p],0.0,0.0,[]
GLYCEROL[p],0.0,0.0,[]
CPD-534[p],0.0,0.0,[]
GLYCOLALDEHYDE[c],0.0,0.0,[]
ETOH[p],0.0,0.0,[]
XANTHINE[p],0.0,0.0,[]
CPD-564[c],0.0,0.0,[]
BUTANAL[c],0.0,0.0,[]
D-LACTATE[p],0.0,0.0,[]
BETAINE[p],0.0,0.0,[]
URACIL[p],0.0,0.0,[]
CPD-108[p],0.0,0.0,[]
CPD-1772[c],0.0,0.0,[]
D-ALANINE[p],0.0,0.0,[]
SER[p],0.0,0.0,[]
LEU[p],0.0,0.0,[]
LYS[p],0.0,0.0,[]
PHE[p],0.0,0.0,[]
5-Deoxy-D-Ribofuranose[c],0.0,0.0,[]
CARBON-MONOXIDE[p],0.0,0.0,[]
MI-PENTAKISPHOSPHATE[p],0.0,0.0,[]
TYR[p],0.0,0.0,[]
THR[p],0.0,0.0,[]
VAL[p],0.0,0.0,[]
CPD-10774[p],0.0,0.0,[]
S-ADENOSYLMETHIONINE[c],0.0,0.0,[]
CPD-520[p],0.0,0.0,[]
TUNGSTATE[p],0.0,0.0,[]
L-ALPHA-ALANINE[p],0.0,0.0,[]
ASN[p],0.0,0.0,[]
L-ASPARTATE[p],0.0,0.0,[]
CYS[p],0.0,0.0,[]
GLT[p],0.0,0.0,[]
ILE[p],0.0,0.0,[]
GLN[p],0.0,0.0,[]
GLY[p],0.0,0.0,[]
HIS[p],0.0,0.0,[]
ARABINOSE[c],0.0,0.0,[]
NITRATE[p],0.0,0.0,[]
INDOLE[p],0.0,0.0,[]
CPD-183[p],0.0,0.0,[]
ZN+2[p],0.0,0.0,[]
NI+2[p],0.0,0.0,[]
CARBON-DIOXIDE[p],0.0,0.0,[]
WATER[p],0.0,0.0,[]
L-SELENOCYSTEINE[c],0.0,0.0,[]
CYTIDINE[c],0.0,0.0,[]
CYTOSINE[c],0.0,0.0,[]
GLC-D-LACTONE[c],0.0,0.0,[]
Pi[p],0.0,0.0,[]
FE+3[p],0.0,0.0,[]
NA+[p],0.0,0.0,[]
AMMONIUM[c],0.0,0.0,[]
SUC[p],0.0,0.0,[]
OXYGEN-MOLECULE[p],0.0,0.0,[]
FUM[p],0.0,0.0,[]
GLC[p],0.0,0.0,[]
