exchange_name,mean_abs_flux,max_abs_flux,active_variant_ids
PROTON[p],105.39952105259299,759.5333128680136,"[0, 1, 2, 3, 4]"
MAL[p],14.79368390098703,31.875260058672843,"[0, 1, 2, 3, 4]"
CPD-520[p],4.611078347759986,126.7190638240996,"[1, 2]"
SULFATE[p],4.452537036751063,343.6670762213781,"[0, 1, 2, 3, 4]"
FUM[p],3.9997422228895494,20.000000000000004,[2]
CH33ADO[c],2.584303475504424,84.64180829786596,"[0, 1, 2, 3]"
METOH[p],2.56639583616467,7.079871782218654,"[0, 4]"
ARG[p],2.485145972284484,20.0,"[0, 1, 4]"
S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE[c],2.458405666563972,13.66633913590279,[3]
THYMINE[p],1.8112678445746577,9.281989238878467,[1]
CPD-564[c],1.7448837201823308,9.925352353452942,[3]
4FE-4S[c],1.3074741157676102,16.305677423960887,"[0, 1, 2, 3, 4]"
THR[p],1.0165811366920097,5.16313598385766,[1]
GLY[p],0.7754543171237798,3.971649615962728,[1]
ARABINOSE[c],0.5743559139930116,6.143141045524959,[1]
PRO[p],0.28156078669917783,2.6072970188759284,"[0, 1, 2, 3, 4]"
SER[p],0.11807322999001169,0.6204308170343905,[1]
VAL[p],0.09730069557986967,0.5004218587749423,[1]
OXYGEN-MOLECULE[p],0.07762462455556716,0.40559490534301984,[1]
TYR[p],0.07033195947284912,0.35712811868105476,[1]
L-ASPARTATE[p],0.06589960263817993,0.35767259721126493,[1]
XANTHINE[p],0.06541766755725063,0.3322088054390499,[1]
FORMATE[p],0.04664291235929735,0.23687451952787264,[1]
LYS[p],0.03828666924747,0.1962966860273208,[1]
CARBON-MONOXIDE[p],0.035692797952537964,0.18748187008816738,[1]
AMMONIUM[c],0.0328799900594624,0.16597659836313292,[1]
URACIL[p],0.03246026980679066,0.30728272439928994,[1]
GLYCOLALDEHYDE[c],0.03164577278741788,0.1657654021161049,[1]
CPD-1772[c],0.02804797860736672,0.14346113848857803,[1]
HIS[p],0.02138306425572719,0.11021439548241219,[1]
HYDROGEN-MOLECULE[c],0.012514089139278126,0.11588328772747147,"[0, 1, 2, 3, 4]"
NITRITE[p],0.01062916902234756,0.09786309831875689,"[0, 1, 2, 3, 4]"
CPD-534[p],0.009290501928229097,0.048167089259786265,[1]
CPD0-1958[p],0.008960535436311623,0.08297082767451606,"[0, 1, 2, 3, 4]"
ASN[p],0.008826475665320794,0.04510278263785724,[1]
K+[p],0.007808773407315228,0.0722096219039371,"[0, 1, 2, 3, 4]"
CA+2[p],0.007508458494336992,0.06953839518324757,"[0, 1, 2, 3, 4]"
D-LACTATE[p],0.0042234206193252485,3.652310860272926,[1]
MET[p],0.004109199831775953,0.026160009763305174,[1]
ACET[p],0.0031505739109466634,0.020332313493968208,"[0, 1, 2, 3, 4]"
