project,variant,label,lineage_seed,last_generation
gene_ko_441imported_2seeds,1,KO: EG10109,100,8
gene_ko_441imported_2seeds,1,KO: EG10109,101,8
gene_ko_441imported_2seeds,2,KO: EG10894,100,5
gene_ko_441imported_2seeds,2,KO: EG10894,101,5
gene_ko_441imported_2seeds,3,KO: EG11288,100,8
gene_ko_441imported_2seeds,3,KO: EG11288,101,8
gene_ko_441imported_2seeds,4,KO: EG10539,100,8
gene_ko_441imported_2seeds,4,KO: EG10539,101,8
gene_ko_441imported_2seeds,5,KO: EG12087,100,8
gene_ko_441imported_2seeds,5,KO: EG12087,101,8
gene_ko_441imported_2seeds,6,KO: EG10878,100,3
gene_ko_441imported_2seeds,6,KO: EG10878,101,4
gene_ko_441imported_2seeds,7,KO: EG10891,100,4
gene_ko_441imported_2seeds,7,KO: EG10891,101,5
gene_ko_441imported_2seeds,8,KO: EG10796,100,6
gene_ko_441imported_2seeds,8,KO: EG10796,101,8
gene_ko_441imported_2seeds,9,KO: G6561,100,8
gene_ko_441imported_2seeds,9,KO: G6561,101,8
gene_ko_441imported_2seeds,10,KO: EG11050,100,8
gene_ko_441imported_2seeds,10,KO: EG11050,101,8
gene_ko_441imported_2seeds,11,KO: EG10887,100,5
gene_ko_441imported_2seeds,11,KO: EG10887,101,5
gene_ko_441imported_2seeds,12,KO: EG10582,100,8
gene_ko_441imported_2seeds,12,KO: EG10582,101,8
gene_ko_441imported_2seeds,13,KO: EG20248,100,8
gene_ko_441imported_2seeds,13,KO: EG20248,101,8
gene_ko_441imported_2seeds,14,KO: EG12712,100,8
gene_ko_441imported_2seeds,14,KO: EG12712,101,8
gene_ko_441imported_2seeds,15,KO: EG10420,100,8
gene_ko_441imported_2seeds,15,KO: EG10420,101,8
gene_ko_441imported_2seeds,16,KO: EG10120,100,8
gene_ko_441imported_2seeds,16,KO: EG10120,101,8
gene_ko_441imported_2seeds,17,KO: EG11029,100,8
gene_ko_441imported_2seeds,17,KO: EG11029,101,8
gene_ko_441imported_2seeds,18,KO: EG12293,100,8
gene_ko_441imported_2seeds,18,KO: EG12293,101,8
gene_ko_441imported_2seeds,19,KO: EG10410,100,5
gene_ko_441imported_2seeds,19,KO: EG10410,101,6
gene_ko_441imported_2seeds,20,KO: EG10895,100,5
gene_ko_441imported_2seeds,20,KO: EG10895,101,5
