dtw_distance,duration_ratio,amplitude_ratio,composite_tdi,generation_pair,feature
82.55448808323627,0.5793650793650793,0.22926619942924298,27.787706454010195,1-2,dry_mass
169.0002023644019,1.3773584905660377,0.263248644363977,56.88026983311064,2-3,dry_mass
16.668002400567488,0.2857142857142858,0.15359832920170502,5.702438338494493,3-4,dry_mass
4.758490172735406,0.2407407407407407,0.03768744853574102,1.6789727873372957,4-5,dry_mass
8.85093897635483,0.11940298507462688,0.029645191775412028,2.999995717734956,5-6,dry_mass
7.39154859059738,0.42937853107344637,0.12601128866533595,2.6489794701120544,6-7,dry_mass
0.5715866937092138,0.027667984189723382,0.008899233327205103,0.2027179704087141,7-8,dry_mass
1.0970608064961015e-05,0.5793650793650793,0.07176196721999895,0.21704600573104774,1-2,instantaneous_growth_rate
3.975118424718337e-05,1.3773584905660377,0.13753027139626617,0.5049761710488503,2-3,instantaneous_growth_rate
1.795006368795927e-05,0.2857142857142858,0.09118741784526241,0.12563988454107872,3-4,instantaneous_growth_rate
2.3405227595392267e-05,0.2407407407407407,0.03769159010278522,0.09281857869037376,4-5,instantaneous_growth_rate
3.638158649242042e-05,0.11940298507462688,0.24368569139673624,0.12104168601928518,5-6,instantaneous_growth_rate
2.755036900346503e-05,0.42937853107344637,0.08176040228026016,0.17038882790757,6-7,instantaneous_growth_rate
1.6918831069937985e-05,0.027667984189723382,0.013407747250422708,0.013697550090405344,7-8,instantaneous_growth_rate
