operon_id,num_tus,tu_ids
OP0,1,TU0-14120[c]
OP1,1,TU0-14276[c]
OP2,1,TU0-13622[c]
OP3,1,TU0-14356[c]
OP4,2,TU0-4562[c];TU00159[c]
OP5,3,TU0-14415[c];TU0-3581[c];argT-hisJ[c]
OP6,1,TU783[c]
OP7,1,TU0-12788[c]
OP8,1,TU00254[c]
OP9,1,TU0-14369[c]
OP10,1,TU0-14793[c]
OP11,1,TU0-14347[c]
OP12,1,EG10016_RNA[c]
OP13,1,TU0-13885[c]
OP14,1,TU0-13904[c]
OP15,1,TU0-3[c]
OP16,1,TU0-14208[c]
OP17,3,TU0-14503[c];TU00001[c];aceBA[c]
OP18,3,TU0-45222[c];TU0-45254[c];TU00523[c]
OP19,3,TU0-8301[c];TU0-8302[c];TU00385[c]
OP20,1,TU0-13083[c]
OP21,2,TU0-45248[c];TU00073[c]
OP22,1,TU0-13350[c]
OP23,1,TU0-45181[c]
OP24,1,TU0-6481[c]
OP25,1,TU0-7401[c]
OP26,1,TU0-6441[c]
OP27,1,TU102[c]
OP28,2,TU0-13210[c];TU0-13211[c]
OP29,1,TU0-6422[c]
OP30,1,TU243[c]
OP31,1,TU00237[c]
OP32,1,TU0-14162[c]
OP33,1,TU0-45283[c]
OP34,1,TU00238[c]
OP35,1,TU0-6569[c]
OP36,7,TU0-4284[c];TU0-4287[c];TU0-5186[c];TU0-5201[c];TU0-5202[c];TU0-5221[c];TU00362[c]
OP37,2,TU0-45265[c];TU00461[c]
OP38,1,TU0-42454[c]
OP39,1,TU0-12947[c]
OP40,1,TU00214[c]
OP41,1,TU00003[c]
OP42,3,TU0-13754[c];TU0-42571[c];TU00076[c]
OP43,1,TU0-42451[c]
OP44,1,TU00099[c]
OP45,1,TU344[c]
OP46,1,TU0-5621[c]
OP47,1,TU0-8472[c]
OP48,2,TU0-42684[c];TU00004[c]
OP49,1,TU00111[c]
OP50,3,TU0-12869[c];TU0-198702[c];TU00005[c]
OP51,1,TU0-5501[c]
OP52,1,TU00006[c]
OP53,1,TU0-3501[c]
OP54,1,TU0-13444[c]
OP55,2,TU0-42569[c];TU00357[c]
OP56,7,TU0-8862[c];TU872[c];TU874[c];TU875[c];TU877[c];aroKB-damX[c];damX[c]
OP57,1,TU0-13593[c]
OP58,2,TU0-13373[c];TU0-42694[c]
OP59,1,TU0-7281[c]
OP60,1,TU00008[c]
OP61,1,TU00009[c]
OP62,1,TU0-14254[c]
OP63,3,TU0-14546[c];TU0-42568[c];TU0-44218[c]
OP64,1,TU00012[c]
OP65,2,TU0-42599[c];TU00241[c]
OP66,1,TU00242[c]
OP67,1,TU0-13935[c]
OP68,1,TU0-8769[c]
OP69,1,TU0-8863[c]
OP70,1,TU00112[c]
OP71,1,TU0-4929[c]
OP72,6,TU0-14029[c];TU0-14030[c];TU0-14262[c];TU0-14263[c];TU0-42479[c];TU00113[c]
OP73,1,TU0-13093[c]
OP74,3,TU0-6021[c];TU00160[c];TU621[c]
OP75,1,TU0-6482[c]
OP76,1,TU0-14634[c]
OP77,2,TU0-6635[c];TU00243[c]
OP78,1,TU0-13984[c]
OP79,1,TU0-6483[c]
OP80,1,TU00115[c]
OP81,1,TU00116[c]
OP82,1,TU0-13914[c]
OP83,2,TU0-42515[c];TU0-4802[c]
OP84,1,TU00013[c]
OP85,1,TU00117[c]
OP86,1,TU0-8772[c]
