variant,gene_id,failed_before_gen8,expected_failed_before_gen8,RNA ID,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
1,EG10001,False,False,EG10001_RNA,0,False,expected_nonessential,True,2
1,EG10109,False,False,EG10109_RNA,0,False,expected_nonessential,True,2
2,EG10004,False,True,EG10004_RNA,1,True,expected_essential,False,2
2,EG10894,True,False,EG10894_RNA,0,False,expected_nonessential,False,2
3,EG11288,False,False,EG11288_RNA,0,False,expected_nonessential,True,2
4,EG10539,False,False,EG10539_RNA,0,False,expected_nonessential,True,2
4,EG10030,False,False,EG10030_RNA,0,False,expected_nonessential,True,2
5,EG12087,False,False,EG12087_RNA,0,False,expected_nonessential,True,2
5,EG10032,False,True,EG10032_RNA,1,True,expected_essential,False,2
6,EG10878,True,True,EG10878_RNA,1,True,expected_essential,True,2
6,EG10043,False,False,EG10043_RNA,0,False,expected_nonessential,True,2
6,EG10016,False,False,EG10016_RNA,0,False,expected_nonessential,True,2
7,EG10071,True,True,EG10071_RNA,1,True,expected_essential,True,2
7,EG10017,False,True,EG10017_RNA,1,True,expected_essential,False,2
7,EG10891,True,False,EG10891_RNA,0,False,expected_nonessential,False,2
8,EG10084,False,False,EG10084_RNA,0,False,expected_nonessential,True,2
8,EG10796,True,True,EG10796_RNA,1,True,expected_essential,True,2
9,G6561,False,True,G6561_RNA,1,True,expected_essential,False,2
10,EG10031,False,False,EG10031_RNA,0,False,expected_nonessential,True,2
10,EG10107,False,False,EG10107_RNA,0,False,expected_nonessential,True,2
10,EG11050,False,False,EG11050_RNA,0,False,expected_nonessential,True,2
11,EG10887,True,False,EG10887_RNA,0,False,expected_nonessential,False,2
12,EG10582,False,False,EG10582_RNA,0,False,expected_nonessential,True,2
12,EG10112,False,False,EG10112_RNA,0,False,expected_nonessential,True,2
12,EG10034,True,True,EG10034_RNA,1,True,expected_essential,True,2
13,EG20248,False,False,EG20248_RNA,0,False,expected_nonessential,True,2
13,EG10122,False,False,EG10122_RNA,0,False,expected_nonessential,True,2
13,EG10035,False,False,EG10035_RNA,0,False,expected_nonessential,True,2
14,EG12712,False,False,EG12712_RNA,0,False,expected_nonessential,True,2
14,EG10124,False,False,EG10124_RNA,0,False,expected_nonessential,True,2
14,EG10039,False,False,EG10039_RNA,0,False,expected_nonessential,True,2
15,EG10420,False,True,EG10420_RNA,1,True,expected_essential,False,2
16,EG10120,False,False,EG10120_RNA,0,False,expected_nonessential,True,2
16,EG10138,False,False,EG10138_RNA,0,False,expected_nonessential,True,2
