variant,gene_id,RNA ID,failed_before_gen8,criteria_match,Process,process_percent_of_disagreement,expected_failed_before_gen8,Rousset_all_strains_M9,rousset_bool,expected_category,n_simulations
2,EG10004,EG10004_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
2,EG10894,EG10894_RNA,True,False,Transcription,2.127659574468085,False,0,False,expected_nonessential,2
5,EG10032,EG10032_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
7,EG10017,EG10017_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
7,EG10891,EG10891_RNA,True,False,Translation,11.702127659574469,False,0,False,expected_nonessential,2
9,G6561,G6561_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
11,EG10887,EG10887_RNA,True,False,Translation,11.702127659574469,False,0,False,expected_nonessential,2
15,EG10420,EG10420_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
20,EG10895,EG10895_RNA,True,False,Transcription,2.127659574468085,False,0,False,expected_nonessential,2
23,EG10581,EG10581_RNA,True,False,Metabolism,85.1063829787234,False,0,False,expected_nonessential,2
25,EG11575,EG11575_RNA,True,False,Metabolism,85.1063829787234,False,0,False,expected_nonessential,2
30,EG10078,EG10078_RNA,True,False,Metabolism,85.1063829787234,False,0,False,expected_nonessential,2
35,G6237,G6237_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
43,EG10188,EG10188_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
51,EG10073,EG10073_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
54,EG10383,EG10383_RNA,True,False,Metabolism,85.1063829787234,False,0,False,expected_nonessential,2
58,EG10774,EG10774_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
60,EG11027,EG11027_RNA,True,False,Metabolism,85.1063829787234,False,0,False,expected_nonessential,2
68,EG10791,EG10791_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
74,G7889,G7889_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
78,EG10390,EG10390_RNA,True,False,Metabolism,85.1063829787234,False,0,False,expected_nonessential,2
106,G7888,G7888_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
113,EG11375,EG11375_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
123,EG10064,EG10064_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
124,EG10707,EG10707_RNA,True,False,Metabolism,85.1063829787234,False,0,False,expected_nonessential,2
126,EG10077,EG10077_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
130,EG11673,EG11673_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
132,EG10214,EG10214_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
140,EG10980,EG10980_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
149,EG12302,EG12302_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
151,EG10205,EG10205_RNA,True,False,Metabolism,85.1063829787234,False,0,False,expected_nonessential,2
154,EG10792,EG10792_RNA,False,False,Metabolism,85.1063829787234,True,1,True,expected_essential,2
