variant_num,eg_ids,symbols,operon_class,operon_size,rna,n_outlier_genes,essentiality,n_seeds,n_ok,max_gen_mean,max_gen_min,crash_types,outcome,crash_label,operon_bin
38,EG10890,rpmF,OPERON_5_GENES,5,TU0-1[c],1,Non-essential,2,2,7.0,7.0,NO_ERROR,OK,--,"=""4-6"""
737,EG10885,rplY,SINGLE_GENE_TU,1,TU0-13557[c],1,Non-essential,2,0,2.0,2.0,ASSERTION_ERROR,CRASH,AssertionError,"=""Single(1)"""
1340,"EG10881, EG11231","rplT, rpmI",OPERON_2_GENES,2,TU0-14255[c],2,Non-essential,2,2,7.0,7.0,NO_ERROR,OK,--,"=""2-3"""
1762,EG10908,rpsI,SINGLE_GENE_TU,1,TU0-42202[c],1,Non-essential,2,2,7.0,7.0,NO_ERROR,OK,--,"=""Single(1)"""
1844,"EG50001, EG50002","rplU, rpmA",OPERON_4_GENES,4,TU0-42628[c],2,Non-essential,2,2,7.0,7.0,NO_ERROR,OK,--,"=""4-6"""
1903,EG10889,rpmE,SINGLE_GENE_TU,1,TU0-45156[c],1,Non-essential,2,0,2.0,2.0,GLPK_SOLVER_FAILURE,CRASH,FBA solver fail,"=""Single(1)"""
2004,"EG10886, EG10891","rpmB, rpmG",OPERON_4_GENES,4,TU0-5522[c],2,Non-essential,2,2,7.0,7.0,NO_ERROR,OK,--,"=""4-6"""
2056,"EG10864, EG10872","rplA, rplK",OPERON_6_GENES,6,TU0-6512[c],2,Essential,2,2,7.0,7.0,NO_ERROR,OK,--,"=""4-6"""
2082,EG10707,pheA,OPERON_2_GENES,2,TU0-6653[c],1,Conditional,2,0,1.0,1.0,ASSERTION_ERROR,CRASH,AssertionError,"=""2-3"""
2085,EG10914,rpsO,OPERON_2_GENES,2,TU0-6660[c],1,Essential,2,2,7.0,7.0,NO_ERROR,OK,--,"=""2-3"""
2149,EG10919,rpsT,SINGLE_GENE_TU,1,TU0-7842[c],1,Non-essential,2,0,2.0,2.0,ASSERTION_ERROR,CRASH,AssertionError,"=""Single(1)"""
2224,EG10196,cysS,SINGLE_GENE_TU,1,TU0-8477[c],1,Unknown,2,0,2.0,2.0,UNKNOWN_ERROR,CRASH,NegativeCountsError (ATP),"=""Single(1)"""
2599,"EG11024, EG11026","trpA, trpC",OPERON_6_GENES,6,TU00067[c],2,Conditional,2,0,1.0,1.0,ASSERTION_ERROR,CRASH,AssertionError,"=""4-6"""
2795,EG10874,rplM,OPERON_2_GENES,2,TU00336[c],1,Non-essential,2,0,0.0,0.0,NEGATIVE_HOMEOSTATIC_TARGET,CRASH,Biotin target<0,"=""2-3"""
2796,"EG10868, EG10869, EG10875, EG10876, EG10879, EG10884, EG10888, EG10904, EG10907, EG10913, EG11232","rplE, rplF, rplN, rplO, rplR, rplX, rpmD, rpmJ, rpsE, rpsH, rpsN",OPERON_12_GENES,12,TU00337[c],11,"Essential, Non-essential",2,2,7.0,7.0,NO_ERROR,OK,--,"=""7-12"""
2799,EG10892,rpmH,OPERON_2_GENES,2,TU00340[c],1,Non-essential,2,2,7.0,7.0,NO_ERROR,OK,--,"=""2-3"""
2801,"EG10870, EG10905, EG10917","rplI, rpsF, rpsR",OPERON_4_GENES,4,TU00346[c],3,Non-essential,2,0,0.0,0.0,NEGATIVE_HOMEOSTATIC_TARGET,CRASH,Biotin target<0,"=""4-6"""
2802,"EG10865, EG10866, EG10867, EG10877, EG10882, EG10883, EG10887, EG10902, EG10909, EG10916, EG10918","rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpsC, rpsJ, rpsQ, rpsS",OPERON_11_GENES,11,TU00347[c],11,"Essential, Non-essential",2,0,0.0,0.0,NEGATIVE_HOMEOSTATIC_TARGET,CRASH,Biotin target<0,"=""7-12"""
2803,"EG10906, EG10911","rpsG, rpsL",OPERON_4_GENES,4,TU00348[c],2,Essential,2,0,2.0,2.0,ASSERTION_ERROR,CRASH,AssertionError,"=""4-6"""
2804,"EG10880, EG10915","rplS, rpsP",OPERON_4_GENES,4,TU00351[c],2,Non-essential,2,0,0.0,0.0,NEGATIVE_HOMEOSTATIC_TARGET,CRASH,Biotin target<0,"=""4-6"""
2805,EG10920,rpsU,OPERON_3_GENES,3,TU00352[c],1,Non-essential,2,2,7.0,7.0,NO_ERROR,OK,--,"=""2-3"""
2914,EG10900,rpsA,OPERON_2_GENES,2,TU361[c],1,Essential,2,2,7.0,7.0,NO_ERROR,OK,--,"=""2-3"""
3040,EG10901,rpsB,SINGLE_GENE_TU,1,EG10901_RNA[c],1,Essential,2,0,2.0,2.0,"ASSERTION_ERROR, GLPK_SOLVER_FAILURE",CRASH,"AssertionError, FBA solver fail","=""Single(1)"""
