label,project,gene_rna_id,growth_next_h,zero_growth,essentiality,match
KO: EG10016,gene_knockout_leftover,EG10016_RNA,0.75053414668824,False,0,True
KO: EG10027,gene_knockout_3_round_test,EG10027_RNA,0.8095033517554799,False,0,True
KO: EG10036,gene_knockout_3_round_test,EG10036_RNA,0.87773962701204,False,0,True
KO: EG10052,gene_knockout_3_round_test,EG10052_RNA,0.79510488018426,False,0,True
KO: EG10073,gene_knockout_3_round_test,EG10073_RNA,0.1875741726141097,False,1,False
KO: EG10095,gene_knockout_3_round_test,EG10095_RNA,0.84127275402354,False,0,True
KO: EG10099,gene_knockout_3_round_test,EG10099_RNA,0.84908107396422,False,1,False
KO: EG10100,gene_knockout_3_round_test,EG10100_RNA,0.84908107396422,False,1,False
KO: EG10105,gene_knockout_3_round_test,EG10105_RNA,0.84908107396422,False,1,False
KO: EG10109,gene_knockout_3_round_test,EG10109_RNA,0.83473677506916,False,0,True
KO: EG10118,gene_knockout_3_round_test,EG10118_RNA,0.76559453164782,False,0,True
KO: EG10120,gene_knockout_3_round_test,EG10120_RNA,0.76559453164782,False,0,True
KO: EG10137,gene_knockout_3_round_test,EG10137_RNA,0.80119374034392,False,0,True
KO: EG10182,gene_knockout_3_round_test,EG10182_RNA,0.82408275416466,False,0,True
KO: EG10188,gene_knockout_3_round_test,EG10188_RNA,0.83510041688172,False,0,True
KO: EG10196,gene_knockout_p_list,EG10196_RNA,0.0,True,1,True
KO: EG10361,gene_knockout_3_round_test,EG10361_RNA,0.83874013283628,False,0,True
KO: EG10420,gene_knockout_3_round_test,EG10420_RNA,0.0,True,1,True
KO: EG10539,gene_knockout_3_round_test,EG10539_RNA,0.87328491100452,False,0,True
KO: EG10549,gene_knockout_3_round_test,EG10549_RNA,0.0,True,1,True
KO: EG10582,gene_knockout_3_round_test,EG10582_RNA,0.79451658512802,False,1,False
KO: EG10707,gene_knockout_p_list,EG10707_RNA,0.0,True,1,True
KO: EG10759,gene_knockout_3_round_test,EG10759_RNA,0.84002765259096,False,0,True
KO: EG10774,gene_knockout_3_round_test,EG10774_RNA,0.0,True,0,False
KO: EG10791,gene_knockout_3_round_test,EG10791_RNA,0.0,True,1,True
KO: EG10808,gene_knockout_3_round_test,EG10808_RNA,0.0,True,1,True
KO: EG10864,gene_knockout_p_list,EG10864_RNA,0.0,True,1,True
KO: EG10865,gene_knockout_p_list,EG10865_RNA,0.0,True,1,True
KO: EG10866,gene_knockout_p_list,EG10866_RNA,0.0,True,1,True
KO: EG10867,gene_knockout_p_list,EG10867_RNA,0.0,True,1,True
KO: EG10868,gene_knockout_p_list,EG10868_RNA,0.0,True,1,True
KO: EG10869,gene_knockout_p_list,EG10869_RNA,0.0,True,1,True
KO: EG10870,gene_knockout_p_list,EG10870_RNA,0.0,True,1,True
KO: EG10872,gene_knockout_p_list,EG10872_RNA,0.0,True,1,True
KO: EG10874,gene_knockout_p_list,EG10874_RNA,0.0,True,1,True
KO: EG10875,gene_knockout_p_list,EG10875_RNA,0.0,True,1,True
KO: EG10876,gene_knockout_p_list,EG10876_RNA,0.0,True,1,True
KO: EG10877,gene_knockout_p_list,EG10877_RNA,0.0,True,1,True
KO: EG10879,gene_knockout_p_list,EG10879_RNA,0.0,True,1,True
KO: EG10880,gene_knockout_p_list,EG10880_RNA,0.0,True,1,True
KO: EG10881,gene_knockout_p_list,EG10881_RNA,0.0,True,1,True
KO: EG10882,gene_knockout_p_list,EG10882_RNA,0.0,True,1,True
KO: EG10883,gene_knockout_p_list,EG10883_RNA,0.0,True,1,True
KO: EG10884,gene_knockout_p_list,EG10884_RNA,0.0,True,1,True
KO: EG10885,gene_knockout_p_list,EG10885_RNA,0.0,True,1,True
KO: EG10886,gene_knockout_p_list,EG10886_RNA,0.0,True,1,True
KO: EG10887,gene_knockout_p_list,EG10887_RNA,0.0,True,1,True
KO: EG10888,gene_knockout_p_list,EG10888_RNA,0.0,True,1,True
KO: EG10889,gene_knockout_p_list,EG10889_RNA,0.0,True,1,True
KO: EG10890,gene_knockout_p_list,EG10890_RNA,0.0,True,1,True
KO: EG10891,gene_knockout_p_list,EG10891_RNA,0.0,True,1,True
KO: EG10892,gene_knockout_p_list,EG10892_RNA,0.0,True,1,True
KO: EG10900,gene_knockout_p_list,EG10900_RNA,0.0,True,1,True
KO: EG10901,gene_knockout_p_list,EG10901_RNA,0.0,True,1,True
KO: EG10902,gene_knockout_p_list,EG10902_RNA,0.0,True,1,True
KO: EG10904,gene_knockout_p_list,EG10904_RNA,0.0,True,1,True
KO: EG10905,gene_knockout_p_list,EG10905_RNA,0.0,True,1,True
KO: EG10906,gene_knockout_p_list,EG10906_RNA,0.0,True,1,True
KO: EG10907,gene_knockout_p_list,EG10907_RNA,0.0,True,1,True
KO: EG10908,gene_knockout_p_list,EG10908_RNA,0.0,True,1,True
KO: EG10909,gene_knockout_p_list,EG10909_RNA,0.0,True,1,True
KO: EG10911,gene_knockout_p_list,EG10911_RNA,0.0,True,1,True
KO: EG10913,gene_knockout_p_list,EG10913_RNA,0.0,True,1,True
KO: EG10914,gene_knockout_p_list,EG10914_RNA,0.0,True,1,True
KO: EG10915,gene_knockout_p_list,EG10915_RNA,0.0,True,1,True
KO: EG10916,gene_knockout_p_list,EG10916_RNA,0.0,True,1,True
KO: EG10917,gene_knockout_p_list,EG10917_RNA,0.0,True,1,True
KO: EG10918,gene_knockout_p_list,EG10918_RNA,0.0,True,1,True
KO: EG10919,gene_knockout_p_list,EG10919_RNA,0.0,True,1,True
KO: EG10920,gene_knockout_p_list,EG10920_RNA,0.0,True,1,True
KO: EG10928,gene_knockout_3_round_test,EG10928_RNA,0.77547808845324,False,0,True
KO: EG11024,gene_knockout_p_list,EG11024_RNA,0.0,True,1,True
KO: EG11026,gene_knockout_p_list,EG11026_RNA,0.0,True,1,True
KO: EG11029,gene_knockout_3_round_test,EG11029_RNA,0.77095521514998,False,0,True
KO: EG11040,gene_knockout_3_round_test,EG11040_RNA,0.75993759732888,False,0,True
KO: EG11050,gene_knockout_3_round_test,EG11050_RNA,0.79600655682072,False,0,True
