go_term,gene_count,percentage
cytoplasm,63,67.02127659574468
cytosol,62,65.95744680851064
protein binding,33,35.1063829787234
identical protein binding,24,25.53191489361702
protein homodimerization activity,19,20.212765957446805
ATP binding,14,14.893617021276595
translation,14,14.893617021276595
structural constituent of ribosome,13,13.829787234042554
cytoplasmic translation,13,13.829787234042554
catalytic activity,11,11.702127659574469
magnesium ion binding,11,11.702127659574469
cytosolic large ribosomal subunit,10,10.638297872340425
ribosome,10,10.638297872340425
zinc ion binding,8,8.51063829787234
membrane,8,8.51063829787234
nucleotide binding,7,7.446808510638298
plasma membrane,7,7.446808510638298
L-lysine biosynthetic process,7,7.446808510638298
aminoacyl-tRNA ligase activity,6,6.382978723404255
tRNA aminoacylation for protein translation,6,6.382978723404255
hydrogen sulfide biosynthetic process,6,6.382978723404255
L-glutamine metabolic process,5,5.319148936170213
L-histidine biosynthetic process,5,5.319148936170213
L-arginine biosynthetic process,5,5.319148936170213
sulfate assimilation,5,5.319148936170213
'de novo' pyrimidine nucleobase biosynthetic process,5,5.319148936170213
'de novo' UMP biosynthetic process,5,5.319148936170213
NAD binding,4,4.25531914893617
peptidoglycan biosynthetic process,4,4.25531914893617
pyridoxal phosphate binding,4,4.25531914893617
L-tryptophan biosynthetic process,4,4.25531914893617
lipopolysaccharide transport,4,4.25531914893617
RNA binding,4,4.25531914893617
amino acid biosynthetic process,4,4.25531914893617
NADP binding,4,4.25531914893617
chorismate biosynthetic process,4,4.25531914893617
pentosyltransferase activity,3,3.1914893617021276
DNA damage response,3,3.1914893617021276
oxidoreductase activity,3,3.1914893617021276
sulfur compound metabolic process,3,3.1914893617021276
small ribosomal subunit,3,3.1914893617021276
transporter complex,3,3.1914893617021276
transmembrane transport,3,3.1914893617021276
transferase activity,3,3.1914893617021276
ATP-binding cassette (ABC) transporter complex,3,3.1914893617021276
rRNA binding,3,3.1914893617021276
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,3,3.1914893617021276
carboxylic acid metabolic process,3,3.1914893617021276
aromatic amino acid family biosynthetic process,3,3.1914893617021276
cytosolic small ribosomal subunit,3,3.1914893617021276
ribosomal large subunit assembly,3,3.1914893617021276
large ribosomal subunit,3,3.1914893617021276
glycosyltransferase activity,3,3.1914893617021276
lipid A biosynthetic process,3,3.1914893617021276
aminoacyl-tRNA metabolism involved in translational fidelity,3,3.1914893617021276
isoprenoid biosynthetic process,3,3.1914893617021276
aminoacyl-tRNA deacylase activity,3,3.1914893617021276
lyase activity,3,3.1914893617021276
amino acid metabolic process,3,3.1914893617021276
Gram-negative-bacterium-type cell outer membrane assembly,3,3.1914893617021276
L-phenylalanine biosynthetic process,3,3.1914893617021276
GTPase activity,3,3.1914893617021276
sulfite reductase (NADPH) activity,2,2.127659574468085
GTP binding,2,2.127659574468085
L-valine biosynthetic process,2,2.127659574468085
L-tryptophan metabolic process,2,2.127659574468085
L-tyrosine biosynthetic process,2,2.127659574468085
FMN binding,2,2.127659574468085
pyrimidine nucleobase biosynthetic process,2,2.127659574468085
ribosome binding,2,2.127659574468085
ribosomal small subunit assembly,2,2.127659574468085
pyridoxine biosynthetic process,2,2.127659574468085
protein-containing complex,2,2.127659574468085
sulfite reductase complex (NADPH),2,2.127659574468085
sulfate adenylyltransferase (ATP) activity,2,2.127659574468085
polyprenol biosynthetic process,2,2.127659574468085
prenyltransferase activity,2,2.127659574468085
ubiquinone biosynthetic process,2,2.127659574468085
L-serine biosynthetic process,2,2.127659574468085
NAD+ binding,2,2.127659574468085
iron-sulfur cluster binding,2,2.127659574468085
hydrolase activity,2,2.127659574468085
imidazoleglycerol-phosphate synthase complex,2,2.127659574468085
lipid translocation,2,2.127659574468085
"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",2,2.127659574468085
anthranilate synthase activity,2,2.127659574468085
"acyltransferase activity, transferring groups other than amino-acyl groups",2,2.127659574468085
metal ion binding,2,2.127659574468085
amino acid binding,2,2.127659574468085
large ribosomal subunit rRNA binding,2,2.127659574468085
hydro-lyase activity,2,2.127659574468085
fatty acid biosynthetic process,2,2.127659574468085
glutaminase activity,2,2.127659574468085
imidazoleglycerol-phosphate synthase activity,2,2.127659574468085
carbamoyl-phosphate synthase complex,2,2.127659574468085
chorismate mutase activity,2,2.127659574468085
chorismate metabolic process,2,2.127659574468085
carboxyl- or carbamoyltransferase activity,2,2.127659574468085
carboxy-lyase activity,2,2.127659574468085
response to radiation,2,2.127659574468085
L-leucine biosynthetic process,2,2.127659574468085
pyrimidine nucleotide biosynthetic process,2,2.127659574468085
response to antibiotic,2,2.127659574468085
L-cysteine biosynthetic process,2,2.127659574468085
tetrahydrofolate interconversion,2,2.127659574468085
tetrahydrofolate biosynthetic process,2,2.127659574468085
"4 iron, 4 sulfur cluster binding",2,2.127659574468085
3-dehydroquinate dehydratase activity,1,1.0638297872340425
