knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match,gene_symbol,mygene_found,mygene_name,entrezgene,n_go_terms,go_terms
EG10004,gene_knockout_TU_ID_rest_list_rerun,TU0-14356[c],False,True,False,dfp,True,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,949047,9,FMN binding; catalytic activity; coenzyme A biosynthetic process; cytosol; identical protein binding; pantothenate catabolic process; phosphopantothenate--cysteine ligase activity; phosphopantothenoylcysteine decarboxylase activity; protein binding
EG10017,gene_knockout_TU_ID_rest_list_rerun,TU0-13885[c],False,True,False,ispB,True,all-trans-octaprenyl-diphosphate synthase,947364,9,all-trans-octaprenyl-diphosphate synthase activity; cytosol; identical protein binding; isoprenoid biosynthetic process; polyprenol biosynthetic process; prenyltransferase activity; protein binding; protein homodimerization activity; ubiquinone biosynthetic process
EG10063,gene_knockout_TU_ID_rest_list_rerun2,TU0-8472[c],True,False,False,argA,True,N-acetylglutamate synthase,947289,5,"L-arginine biosynthetic process; L-glutamate N-acetyltransferase activity, acting on acetyl-CoA as donor; L-glutamate N-acetyltransferase activity, acting on acetyl-L-ornithine as donor; acyltransferase activity, transferring groups other than amino-acyl groups; cytoplasm"
EG10074,gene_knockout_TU_ID_rest_list_rerun2,TU872[c],False,True,False,aroB,True,3-dehydroquinate synthase,947927,8,"3-dehydroquinate synthase activity; NAD+ binding; aromatic amino acid family biosynthetic process; carbon-oxygen lyase activity, acting on phosphates; chorismate biosynthetic process; cytoplasm; protein binding; zinc ion binding"
EG10076,gene_knockout_TU_ID_rest_list_rerun,TU0-13373[c],False,True,False,aroD,True,3-dehydroquinate dehydratase,946210,5,"3,4-dihydroxybenzoate biosynthetic process; 3-dehydroquinate dehydratase activity; chorismate biosynthetic process; cytosol; protein homodimerization activity"
EG10078,gene_knockout_TU_ID_rest_list_rerun2,TU00008[c],True,False,False,aroF,True,"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",947084,5,3-deoxy-7-phosphoheptulonate synthase activity; aromatic amino acid family biosynthetic process; chorismate biosynthetic process; cytoplasm; identical protein binding
EG10081,gene_knockout_TU_ID_rest_list_rerun2,TU872[c],False,True,False,aroK,True,shikimate kinase 1,2847759,8,ATP binding; carboxylic acid metabolic process; chorismate biosynthetic process; cytoplasm; cytosol; magnesium ion binding; response to antibiotic; shikimate kinase activity
EG10088,gene_knockout_TU_ID_rest_list_rerun,TU0-13935[c],True,False,False,asd,True,aspartate-semialdehyde dehydrogenase,947939,14,"'de novo' L-methionine biosynthetic process; DNA damage response; L-homoserine biosynthetic process; L-lysine biosynthetic process; L-threonine biosynthetic process; NAD binding; NADP binding; amino acid biosynthetic process; amino acid metabolic process; aspartate family amino acid biosynthetic process; aspartate-semialdehyde dehydrogenase activity; cytosol; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; protein dimerization activity"
EG10091,gene_knockout_TU_ID_rest_list_rerun2,TU00112[c],True,False,False,asnA,True,asparagine synthetase A,948258,8,ATP binding; DNA damage response; L-asparagine biosynthetic process; aspartate-ammonia ligase activity; cytoplasm; cytosol; identical protein binding; protein homodimerization activity
EG10096,gene_knockout_TU_ID_rest_list_rerun2,TU0-6482[c],True,False,False,aspC,True,aspartate aminotransferase,945553,11,L-aspartate:2-oxoglutarate transaminase activity; L-phenylalanine biosynthetic process; L-tyrosine:2-oxoglutarate transaminase activity; amino acid metabolic process; catalytic activity; cytoplasm; cytosol; identical protein binding; protein homodimerization activity; pyridoxal phosphate binding; transaminase activity
EG10134,gene_knockout_TU_ID_rest_list_rerun2,TU00109[c],False,True,False,carA,True,carbamoyl-phosphate synthetase small subunit,949025,13,'de novo' UMP biosynthetic process; 'de novo' pyrimidine nucleobase biosynthetic process; ATP binding; L-arginine biosynthetic process; L-glutamine metabolic process; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity; carbamoyl-phosphate synthase complex; cytoplasm; cytosol; glutaminase activity; protein binding; protein heterodimerization activity; pyrimidine nucleobase biosynthetic process
EG10135,gene_knockout_TU_ID_rest_list_rerun2,TU0-6884[c],False,True,False,carB,True,carbamoyl-phosphate synthetase large subunit,944775,17,"'de novo' UMP biosynthetic process; ATP binding; L-arginine biosynthetic process; L-glutamine metabolic process; alpha-amino acid metabolic process; amino acid binding; amino acid biosynthetic process; carbamoyl-phosphate synthase (ammonia) activity; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity; carbamoyl-phosphate synthase complex; cytoplasm; cytosol; ligase activity, forming carbon-nitrogen bonds; metal ion binding; nucleotide binding; protein binding; pyrimidine nucleobase biosynthetic process"
EG10139,gene_knockout_TU_ID_rest_list_rerun,TU0-12831[c],False,True,False,cdsA,True,CDP-diglyceride synthetase,944876,5,"CDP-diacylglycerol biosynthetic process; membrane; phosphatidate cytidylyltransferase activity; plasma membrane; transferase activity, transferring phosphorus-containing groups"
EG10185,gene_knockout_TU_ID_rest_list_rerun2,TU00146[c],False,True,False,cysC,True,adenylyl-sulfate kinase,947221,6,ATP binding; adenylylsulfate kinase activity; hydrogen sulfide biosynthetic process; identical protein binding; phosphorylation; sulfate assimilation
EG10186,gene_knockout_TU_ID_rest_list_rerun2,TU00146[c],False,True,False,cysD,True,sulfate adenylyltransferase subunit 2,947217,9,catalytic activity; cellular response to oxidative stress; hydrogen sulfide biosynthetic process; protein binding; response to oxidative stress; sulfate adenylyltransferase (ATP) activity; sulfate adenylyltransferase complex (ATP); sulfate assimilation; sulfur compound metabolic process
EG10188,gene_knockout_3_round_test,EG10188,False,True,False,cysG,True,siroheme synthase,947880,11,NAD binding; cobalamin biosynthetic process; methyltransferase activity; porphyrin-containing compound biosynthetic process; precorrin-2 dehydrogenase activity; protein homodimerization activity; protoporphyrin ferrochelatase activity; response to osmotic stress; siroheme biosynthetic process; sirohydrochlorin ferrochelatase activity; uroporphyrin-III C-methyltransferase activity
