knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match,gene_symbol
EG10004,gene_knockout_TU_ID_rest_list_rerun,TU0-14356[c],False,True,False,dfp
EG10017,gene_knockout_TU_ID_rest_list_rerun,TU0-13885[c],False,True,False,ispB
EG10063,gene_knockout_TU_ID_rest_list_rerun2,TU0-8472[c],True,False,False,argA
EG10074,gene_knockout_TU_ID_rest_list_rerun2,TU872[c],False,True,False,aroB
EG10076,gene_knockout_TU_ID_rest_list_rerun,TU0-13373[c],False,True,False,aroD
EG10078,gene_knockout_TU_ID_rest_list_rerun2,TU00008[c],True,False,False,aroF
EG10081,gene_knockout_TU_ID_rest_list_rerun2,TU872[c],False,True,False,aroK
EG10088,gene_knockout_TU_ID_rest_list_rerun,TU0-13935[c],True,False,False,asd
EG10091,gene_knockout_TU_ID_rest_list_rerun2,TU00112[c],True,False,False,asnA
EG10096,gene_knockout_TU_ID_rest_list_rerun2,TU0-6482[c],True,False,False,aspC
EG10134,gene_knockout_TU_ID_rest_list_rerun2,TU00109[c],False,True,False,carA
EG10135,gene_knockout_TU_ID_rest_list_rerun2,TU0-6884[c],False,True,False,carB
EG10139,gene_knockout_TU_ID_rest_list_rerun,TU0-12831[c],False,True,False,cdsA
EG10185,gene_knockout_TU_ID_rest_list_rerun2,TU00146[c],False,True,False,cysC
EG10186,gene_knockout_TU_ID_rest_list_rerun2,TU00146[c],False,True,False,cysD
EG10188,gene_knockout_3_round_test,EG10188,False,True,False,cysG
EG10189,gene_knockout_TU_ID_rest_list_rerun,TU0-14511[c],False,True,False,cysH
EG10190,gene_knockout_TU_ID_rest_list_rerun2,TU00078[c],False,True,False,cysI
EG10191,gene_knockout_TU_ID_rest_list_rerun2,TU00078[c],False,True,False,cysJ
EG10194,gene_knockout_TU_ID_rest_list_rerun2,TU00146[c],False,True,False,cysN
EG10205,gene_knockout_TU_ID_rest_list_rerun2,TU00256[c],True,False,False,dapA
EG10206,gene_knockout_TU_ID_rest_list_rerun,TU0-14399[c],True,False,False,dapB
EG10207,gene_knockout_TU_ID_rest_list_rerun,TU0-12827[c],False,True,False,dapD
EG10209,gene_knockout_TU_ID_rest_list_rerun,TU0-14042[c],True,False,False,dapF
EG10214,gene_knockout_TU_ID_rest_list_rerun,EG10214_RNA[c],False,True,False,ddlB
EG10383,gene_knockout_TU_ID_rest_list_rerun,EG10383_RNA[c],True,False,False,glnA
EG10390,gene_knockout_TU_ID_rest_list_rerun,TU0-14467[c],True,False,False,glnS
EG10408,gene_knockout_TU_ID_rest_list_rerun2,TU00192[c],True,False,False,glyA
EG10444,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False,hisA
EG10448,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False,hisF
EG10449,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False,hisG
EG10450,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False,hisH
EG10451,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False,hisI
EG10492,gene_knockout_TU_ID_rest_list_rerun,TU0-14394[c],False,True,False,ileS
EG10496,gene_knockout_TU_ID_rest_list_rerun2,TU524[c],False,True,False,ilvD
EG10497,gene_knockout_TU_ID_rest_list_rerun2,TU524[c],False,True,False,ilvE
EG10520,gene_knockout_TU_ID_rest_list_rerun2,TU0-7163[c],False,True,False,waaA
EG10532,gene_knockout_TU_ID_rest_list_rerun,TU0-13010[c],False,True,False,leuS
EG10549,gene_knockout_3_round_test,EG10549,True,False,False,lysA
EG10581,gene_knockout_TU_ID_rest_list_rerun2,TU0-5061[c],True,False,False,metA
EG10585,gene_knockout_TU_ID_rest_list_rerun2,TU00218[c],False,True,False,metF
EG10613,gene_knockout_TU_ID_rest_list_rerun,TU0-13087[c],False,True,False,msbA
EG10650,gene_knockout_TU_ID_rest_list_rerun,TU0-13651[c],True,False,False,ndk
EG10707,gene_knockout_p_list,EG10707,True,False,False,pheA
EG10769,gene_knockout_TU_ID_rest_list_rerun2,TU0-8493[c],True,False,False,proC
EG10794,gene_knockout_TU_ID_rest_list_rerun2,TU00444[c],False,True,False,purF
EG10805,gene_knockout_TU_ID_rest_list_rerun2,TU00484[c],True,False,False,pyrB
EG10808,gene_knockout_3_round_test,EG10808,True,False,False,pyrE
EG10809,gene_knockout_TU_ID_rest_list_rerun,TU0-14472[c],False,True,False,pyrF
EG10811,gene_knockout_TU_ID_rest_list_rerun2,TU00484[c],True,False,False,pyrI
