knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match
EG10016,gene_knockout_leftover,EG10016,False,False,True
EG10027,gene_knockout_3_round_test,EG10027,False,False,True
EG10036,gene_knockout_3_round_test,EG10036,False,False,True
EG10052,gene_knockout_3_round_test,EG10052,False,False,True
EG10073,gene_knockout_3_round_test,EG10073,True,True,True
EG10095,gene_knockout_3_round_test,EG10095,False,False,True
EG10099,gene_knockout_3_round_test,EG10099,False,False,True
EG10100,gene_knockout_3_round_test,EG10100,False,False,True
EG10105,gene_knockout_3_round_test,EG10105,False,False,True
EG10109,gene_knockout_3_round_test,EG10109,False,False,True
EG10118,gene_knockout_3_round_test,EG10118,False,False,True
EG10120,gene_knockout_3_round_test,EG10120,False,False,True
EG10137,gene_knockout_3_round_test,EG10137,False,False,True
EG10182,gene_knockout_3_round_test,EG10182,False,False,True
EG10188,gene_knockout_3_round_test,EG10188,False,True,False
EG10196,gene_knockout_p_list,EG10196,True,True,True
EG10214,gene_knockout_TU_ID_rest_list_rerun,EG10214_RNA[c],False,True,False
EG10361,gene_knockout_3_round_test,EG10361,False,False,True
EG10383,gene_knockout_TU_ID_rest_list_rerun,EG10383_RNA[c],True,False,False
EG10420,gene_knockout_3_round_test,EG10420,True,True,True
EG10539,gene_knockout_3_round_test,EG10539,False,False,True
EG10549,gene_knockout_3_round_test,EG10549,True,False,False
EG10582,gene_knockout_3_round_test,EG10582,False,False,True
EG10707,gene_knockout_p_list,EG10707,True,False,False
EG10759,gene_knockout_3_round_test,EG10759,False,False,True
EG10774,gene_knockout_3_round_test,EG10774,True,True,True
EG10791,gene_knockout_3_round_test,EG10791,True,True,True
EG10808,gene_knockout_3_round_test,EG10808,True,False,False
EG10864,gene_knockout_p_list,EG10864,True,True,True
EG10865,gene_knockout_p_list,EG10865,True,True,True
EG10866,gene_knockout_p_list,EG10866,True,True,True
EG10867,gene_knockout_p_list,EG10867,True,True,True
EG10868,gene_knockout_p_list,EG10868,True,True,True
EG10869,gene_knockout_p_list,EG10869,True,True,True
EG10870,gene_knockout_p_list,EG10870,True,False,False
EG10872,gene_knockout_p_list,EG10872,True,True,True
EG10874,gene_knockout_p_list,EG10874,True,True,True
EG10875,gene_knockout_p_list,EG10875,True,True,True
EG10876,gene_knockout_p_list,EG10876,True,True,True
EG10877,gene_knockout_p_list,EG10877,True,True,True
EG10879,gene_knockout_p_list,EG10879,True,True,True
EG10880,gene_knockout_p_list,EG10880,True,True,True
EG10881,gene_knockout_p_list,EG10881,True,True,True
EG10882,gene_knockout_p_list,EG10882,True,True,True
EG10883,gene_knockout_p_list,EG10883,True,True,True
EG10884,gene_knockout_p_list,EG10884,True,True,True
EG10885,gene_knockout_p_list,EG10885,True,True,True
EG10886,gene_knockout_p_list,EG10886,True,True,True
EG10887,gene_knockout_p_list,EG10887,True,False,False
EG10888,gene_knockout_p_list,EG10888,True,True,True
EG10889,gene_knockout_p_list,EG10889,True,False,False
EG10890,gene_knockout_p_list,EG10890,True,False,False
EG10891,gene_knockout_p_list,EG10891,True,False,False
EG10892,gene_knockout_p_list,EG10892,True,True,True
EG10900,gene_knockout_p_list,EG10900,True,True,True
EG10901,gene_knockout_p_list,EG10901,True,True,True
EG10902,gene_knockout_p_list,EG10902,True,True,True
EG10904,gene_knockout_p_list,EG10904,True,True,True
EG10905,gene_knockout_p_list,EG10905,True,True,True
EG10906,gene_knockout_p_list,EG10906,True,True,True
EG10907,gene_knockout_p_list,EG10907,True,True,True
EG10908,gene_knockout_p_list,EG10908,True,False,False
EG10909,gene_knockout_p_list,EG10909,True,True,True
EG10911,gene_knockout_p_list,EG10911,True,True,True
EG10913,gene_knockout_p_list,EG10913,True,True,True
EG10914,gene_knockout_p_list,EG10914,True,True,True
EG10915,gene_knockout_p_list,EG10915,True,False,False
