gene_id,RNA ID,Essentiality_ML_surrogate,ml_surrogate_bool,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,Process,process_percent_of_mismatch
EG11647,EG11647_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10276,EG10276_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10217,EG10217_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10063,EG10063_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG11286,EG11286_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10077,EG10077_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10081,EG10081_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10088,EG10088_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10098,EG10098_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10099,EG10099_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10100,EG10100_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10101,EG10101_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10102,EG10102_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10103,EG10103_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10104,EG10104_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10105,EG10105_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG12319,EG12319_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10139,EG10139_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11190,EG11190_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10183,EG10183_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10188,EG10188_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10043,EG10043_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10197,EG10197_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10198,EG10198_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10205,EG10205_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10206,EG10206_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10209,EG10209_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG11418,EG11418_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10214,EG10214_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11440,EG11440_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10004,EG10004_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10235,EG10235_RNA,0,False,1,True,expected_essential,False,Transcription Regulation,0.6369426751592357
G6237,G6237_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10258,EG10258_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10274,EG10274_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11317,EG11317_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10277,EG10277_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11528,EG11528_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11284,EG11284_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10282,EG10282_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11080,EG11080_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10326,EG10326_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11673,EG11673_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
