gene_id,RNA ID,Essentiality_ML_surrogate,ml_surrogate_bool,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match
EG11679,EG11679_RNA,0,False,0,False,expected_nonessential,True
EG11112,EG11112_RNA,0,False,0,False,expected_nonessential,True
EG11647,EG11647_RNA,0,False,1,True,expected_essential,False
EG10276,EG10276_RNA,0,False,1,True,expected_essential,False
EG10217,EG10217_RNA,0,False,1,True,expected_essential,False
EG10022,EG10022_RNA,0,False,0,False,expected_nonessential,True
EG10023,EG10023_RNA,0,False,0,False,expected_nonessential,True
EG10024,EG10024_RNA,0,False,0,False,expected_nonessential,True
EG10025,EG10025_RNA,0,False,0,False,expected_nonessential,True
EG10027,EG10027_RNA,0,False,0,False,expected_nonessential,True
EG11325,EG11325_RNA,0,False,0,False,expected_nonessential,True
EG12316,EG12316_RNA,0,False,0,False,expected_nonessential,True
EG11095,EG11095_RNA,0,False,0,False,expected_nonessential,True
EG10247,EG10247_RNA,0,False,0,False,expected_nonessential,True
EG12221,EG12221_RNA,0,False,0,False,expected_nonessential,True
EG11703,EG11703_RNA,0,False,0,False,expected_nonessential,True
EG11704,EG11704_RNA,0,False,0,False,expected_nonessential,True
EG11448,EG11448_RNA,0,False,0,False,expected_nonessential,True
EG10030,EG10030_RNA,0,False,0,False,expected_nonessential,True
EG11692,EG11692_RNA,0,False,0,False,expected_nonessential,True
EG10031,EG10031_RNA,0,False,0,False,expected_nonessential,True
G6775,G6775_RNA,0,False,0,False,expected_nonessential,True
EG11501,EG11501_RNA,0,False,0,False,expected_nonessential,True
EG10032,EG10032_RNA,1,True,1,True,expected_essential,True
EG11436,EG11436_RNA,0,False,0,False,expected_nonessential,True
EG11811,EG11811_RNA,0,False,0,False,expected_nonessential,True
G7184,G7184_RNA,0,False,0,False,expected_nonessential,True
G7242,G7242_RNA,0,False,0,False,expected_nonessential,True
G7399,G7399_RNA,0,False,0,False,expected_nonessential,True
EG10034,EG10034_RNA,1,True,1,True,expected_essential,True
EG10035,EG10035_RNA,0,False,0,False,expected_nonessential,True
EG12292,EG12292_RNA,0,False,0,False,expected_nonessential,True
G6281,G6281_RNA,0,False,0,False,expected_nonessential,True
G6285,G6285_RNA,0,False,0,False,expected_nonessential,True
G6284,G6284_RNA,0,False,0,False,expected_nonessential,True
EG10001,EG10001_RNA,0,False,0,False,expected_nonessential,True
EG11959,EG11959_RNA,0,False,0,False,expected_nonessential,True
EG12458,EG12458_RNA,0,False,0,False,expected_nonessential,True
EG11958,EG11958_RNA,0,False,0,False,expected_nonessential,True
EG11957,EG11957_RNA,0,False,0,False,expected_nonessential,True
EG11956,EG11956_RNA,0,False,0,False,expected_nonessential,True
EG10039,EG10039_RNA,0,False,0,False,expected_nonessential,True
EG11821,EG11821_RNA,0,False,0,False,expected_nonessential,True
EG10045,EG10045_RNA,0,False,0,False,expected_nonessential,True
EG10046,EG10046_RNA,0,False,0,False,expected_nonessential,True
G6764,G6764_RNA,0,False,0,False,expected_nonessential,True
EG10048,EG10048_RNA,0,False,0,False,expected_nonessential,True
EG11934,EG11934_RNA,0,False,0,False,expected_nonessential,True
EG10049,EG10049_RNA,0,False,0,False,expected_nonessential,True
EG11379,EG11379_RNA,0,False,0,False,expected_nonessential,True
EG11380,EG11380_RNA,0,False,0,False,expected_nonessential,True
EG10051,EG10051_RNA,0,False,0,False,expected_nonessential,True
EG13270,EG13270_RNA,0,False,0,False,expected_nonessential,True
EG10052,EG10052_RNA,0,False,0,False,expected_nonessential,True
EG10053,EG10053_RNA,0,False,0,False,expected_nonessential,True
EG10054,EG10054_RNA,0,False,0,False,expected_nonessential,True
EG10055,EG10055_RNA,0,False,0,False,expected_nonessential,True
EG10056,EG10056_RNA,0,False,0,False,expected_nonessential,True
EG10057,EG10057_RNA,0,False,0,False,expected_nonessential,True
EG10058,EG10058_RNA,0,False,0,False,expected_nonessential,True
EG10059,EG10059_RNA,0,False,0,False,expected_nonessential,True
EG10061,EG10061_RNA,0,False,0,False,expected_nonessential,True
EG10063,EG10063_RNA,1,True,0,False,expected_nonessential,False
EG10064,EG10064_RNA,1,True,1,True,expected_essential,True
EG10065,EG10065_RNA,1,True,1,True,expected_essential,True
EG10066,EG10066_RNA,0,False,0,False,expected_nonessential,True
EG11286,EG11286_RNA,1,True,0,False,expected_nonessential,False
EG10067,EG10067_RNA,0,False,0,False,expected_nonessential,True
EG10068,EG10068_RNA,1,True,1,True,expected_essential,True
EG11223,EG11223_RNA,1,True,1,True,expected_essential,True
EG10069,EG10069_RNA,0,False,0,False,expected_nonessential,True
EG10490,EG10490_RNA,0,False,0,False,expected_nonessential,True
EG10070,EG10070_RNA,0,False,0,False,expected_nonessential,True
EG10071,EG10071_RNA,1,True,1,True,expected_essential,True
EG10072,EG10072_RNA,0,False,0,False,expected_nonessential,True
G7168,G7168_RNA,0,False,0,False,expected_nonessential,True
G7166,G7166_RNA,0,False,0,False,expected_nonessential,True
EG10073,EG10073_RNA,1,True,1,True,expected_essential,True
EG10074,EG10074_RNA,1,True,1,True,expected_essential,True
EG10075,EG10075_RNA,1,True,1,True,expected_essential,True
EG10076,EG10076_RNA,1,True,1,True,expected_essential,True
EG10077,EG10077_RNA,0,False,1,True,expected_essential,False
EG10078,EG10078_RNA,0,False,0,False,expected_nonessential,True
EG10079,EG10079_RNA,0,False,0,False,expected_nonessential,True
EG10080,EG10080_RNA,0,False,0,False,expected_nonessential,True
EG10081,EG10081_RNA,0,False,1,True,expected_essential,False
EG10082,EG10082_RNA,0,False,0,False,expected_nonessential,True
EG10084,EG10084_RNA,0,False,0,False,expected_nonessential,True
EG12236,EG12236_RNA,0,False,0,False,expected_nonessential,True
EG12237,EG12237_RNA,0,False,0,False,expected_nonessential,True
EG11628,EG11628_RNA,0,False,0,False,expected_nonessential,True
EG11627,EG11627_RNA,0,False,0,False,expected_nonessential,True
EG11624,EG11624_RNA,0,False,0,False,expected_nonessential,True
EG11626,EG11626_RNA,0,False,0,False,expected_nonessential,True
EG10088,EG10088_RNA,1,True,0,False,expected_nonessential,False
EG10091,EG10091_RNA,0,False,0,False,expected_nonessential,True
EG10092,EG10092_RNA,0,False,0,False,expected_nonessential,True
EG10094,EG10094_RNA,1,True,1,True,expected_essential,True
EG10095,EG10095_RNA,0,False,0,False,expected_nonessential,True
EG10096,EG10096_RNA,0,False,0,False,expected_nonessential,True
EG10097,EG10097_RNA,1,True,1,True,expected_essential,True
G6943,G6943_RNA,0,False,0,False,expected_nonessential,True
G6941,G6941_RNA,0,False,0,False,expected_nonessential,True
G6944,G6944_RNA,0,False,0,False,expected_nonessential,True
G6942,G6942_RNA,0,False,0,False,expected_nonessential,True
G6940,G6940_RNA,0,False,0,False,expected_nonessential,True
EG11670,EG11670_RNA,0,False,0,False,expected_nonessential,True
EG11672,EG11672_RNA,0,False,0,False,expected_nonessential,True
EG11669,EG11669_RNA,0,False,0,False,expected_nonessential,True
EG10098,EG10098_RNA,1,True,0,False,expected_nonessential,False
EG10099,EG10099_RNA,1,True,0,False,expected_nonessential,False
EG10100,EG10100_RNA,1,True,0,False,expected_nonessential,False
EG10101,EG10101_RNA,1,True,0,False,expected_nonessential,False
EG10102,EG10102_RNA,1,True,0,False,expected_nonessential,False
EG10103,EG10103_RNA,1,True,0,False,expected_nonessential,False
EG10104,EG10104_RNA,1,True,0,False,expected_nonessential,False
EG10105,EG10105_RNA,1,True,0,False,expected_nonessential,False
EG10107,EG10107_RNA,0,False,0,False,expected_nonessential,True
G6731,G6731_RNA,0,False,0,False,expected_nonessential,True
EG11618,EG11618_RNA,0,False,0,False,expected_nonessential,True
EG11615,EG11615_RNA,0,False,0,False,expected_nonessential,True
EG10109,EG10109_RNA,0,False,0,False,expected_nonessential,True
EG10110,EG10110_RNA,0,False,0,False,expected_nonessential,True
EG10112,EG10112_RNA,0,False,0,False,expected_nonessential,True
EG10115,EG10115_RNA,0,False,0,False,expected_nonessential,True
G7948,G7948_RNA,0,False,0,False,expected_nonessential,True
EG10117,EG10117_RNA,0,False,0,False,expected_nonessential,True
EG10118,EG10118_RNA,0,False,0,False,expected_nonessential,True
EG10119,EG10119_RNA,0,False,0,False,expected_nonessential,True
EG10120,EG10120_RNA,0,False,0,False,expected_nonessential,True
EG10121,EG10121_RNA,0,False,0,False,expected_nonessential,True
EG10122,EG10122_RNA,0,False,0,False,expected_nonessential,True
EG10123,EG10123_RNA,0,False,0,False,expected_nonessential,True
EG10124,EG10124_RNA,0,False,0,False,expected_nonessential,True
EG12168,EG12168_RNA,0,False,0,False,expected_nonessential,True
EG10129,EG10129_RNA,0,False,0,False,expected_nonessential,True
EG10131,EG10131_RNA,0,False,0,False,expected_nonessential,True
EG10132,EG10132_RNA,0,False,0,False,expected_nonessential,True
EG12319,EG12319_RNA,0,False,1,True,expected_essential,False
EG10134,EG10134_RNA,1,True,1,True,expected_essential,True
EG10135,EG10135_RNA,1,True,1,True,expected_essential,True
EG10137,EG10137_RNA,0,False,0,False,expected_nonessential,True
EG10138,EG10138_RNA,0,False,0,False,expected_nonessential,True
EG10139,EG10139_RNA,0,False,1,True,expected_essential,False
EG11753,EG11753_RNA,0,False,0,False,expected_nonessential,True
EG10148,EG10148_RNA,0,False,0,False,expected_nonessential,True
G6344,G6344_RNA,0,False,0,False,expected_nonessential,True
EG12331,EG12331_RNA,0,False,0,False,expected_nonessential,True
