gene_id,gene_name,gene_symbol,RNA ID,overall_label_death,label_death_bool,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations,Process,process_percent_of_mismatch
19,dfp,dfp,EG10004_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
30,ispB,ispb,EG10017_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
47,aldA,alda,EG10035_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
54,cysQ,cysq,EG10043_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
74,argA,arga,EG10063_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
92,aroK,arok,EG10081_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
95,aroP,arop,EG10084_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
99,asd,asd,EG10088_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
110,atpB,atpb,EG10099_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
111,atpC,atpc,EG10100_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
112,atpD,atpd,EG10101_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
115,atpG,atpg,EG10104_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
116,atpH,atph,EG10105_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
150,cdsA,cdsa,EG10139_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
192,cyoE,cyoe,EG10182_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
193,cysA,cysa,EG10183_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
198,cysG,cysg,EG10188_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
207,cysU,cysu,EG10197_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
208,cysW,cysw,EG10198_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
214,dapA,dapa,EG10205_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
215,dapB,dapb,EG10206_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
218,dapF,dapf,EG10209_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
223,ddlB,ddlb,EG10214_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
391,glnA,glna,EG10383_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
398,glnS,glns,EG10390_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
410,gltA,glta,EG10402_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
452,hisA,hisa,EG10444_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
456,hisF,hisf,EG10448_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
457,hisG,hisg,EG10449_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
458,hisH,hish,EG10450_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
459,hisI,hisi,EG10451_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
472,lpxL,lpxl,EG10464_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
473,ribB,ribb,EG10465_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
528,waaA,waaa,EG10520_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
545,livG,livg,EG10537_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
547,livJ,livj,EG10539_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
557,lysA,lysa,EG10549_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
589,metA,meta,EG10581_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
590,metB,metb,EG10582_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
621,msbA,msba,EG10613_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
637,emrE,emre,EG10629_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
658,ndk,ndk,EG10650_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
660,nhaA,nhaa,EG10652_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
707,pfkB,pfkb,EG10700_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
714,pheA,phea,EG10707_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
756,potB,potb,EG10750_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
775,proC,proc,EG10769_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
811,pyrB,pyrb,EG10805_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
814,pyrE,pyre,EG10808_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
817,pyrI,pyri,EG10811_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
844,rfaD,rfad,EG10838_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
876,rplI,rpli,EG10870_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Translation,11.881188118811881
893,rpmC,rpmc,EG10887_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Translation,11.881188118811881
895,rpmE,rpme,EG10889_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Translation,11.881188118811881
896,rpmF,rpmf,EG10890_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Translation,11.881188118811881
897,rpmG,rpmg,EG10891_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Translation,11.881188118811881
900,rpoB,rpob,EG10894_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Transcription,1.9801980198019802
901,rpoC,rpoc,EG10895_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Transcription,1.9801980198019802
909,rpsD,rpsd,EG10903_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Translation,11.881188118811881
914,rpsI,rpsi,EG10908_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Translation,11.881188118811881
921,rpsP,rpsp,EG10915_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Translation,11.881188118811881
950,serC,serc,EG10946_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
984,sucB,sucb,EG10980_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
1006,thyA,thya,EG11002_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
1028,trpA,trpa,EG11024_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
1030,trpC,trpc,EG11026_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
1031,trpD,trpd,EG11027_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
1032,trpE,trpe,EG11028_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
1036,trxB,trxb,EG11032_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
1043,tyrA,tyra,EG11039_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
1194,glmU,glmu,EG11198_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
1224,rpmI,rpmi,EG11231_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Translation,11.881188118811881
1225,rpmJ,rpmj,EG11232_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Translation,11.881188118811881
1273,argE,arge,EG11286_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
1303,fabG,fabg,EG11318_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
1357,folE,fole,EG11375_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
1421,rpiA,rpia,EG11443_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
1478,sra,sra,EG11508_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Translation,11.881188118811881
1514,nadC,nadc,EG11546_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
1541,leuD,leud,EG11575_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
1543,leuB,leub,EG11577_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
1605,accA,acca,EG11647_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
1630,folB,folb,EG11673_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
2210,can,can,EG12319_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
2367,lpxH,lpxh,EG12666_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
2466,rplU,rplu,EG50001_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Translation,11.881188118811881
2656,ispU,ispu,G6092_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
2786,thiL,thil,G6234_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
2788,dxs,dxs,G6237_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
3632,rcnA,rcna,G7138_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
3895,ispD,ispd,G7423_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
3924,csdA,csda,G7454_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
3970,xanQ,xanq,G7501_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
4000,mltC,mltc,G7533_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
4010,glcE,glce,G7544_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
4040,cpdA,cpda,G7579_RNA,deadly_gene,True,0,False,expected_nonessential,False,2,Metabolism,85.14851485148515
4114,kdsC,kdsc,G7663_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
4116,lptA,lpta,G7665_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
4238,orn,orn,G7842_RNA,not_deadly,False,1,True,expected_essential,False,2,RNA Decay,0.9900990099009901
4281,lptF,lptf,G7888_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
4282,lptG,lptg,G7889_RNA,not_deadly,False,1,True,expected_essential,False,2,Metabolism,85.14851485148515
