gene_symbol,Gene,RNA ID,failed_before_gen8,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations,Process,process_percent_of_mismatch
acca,accA,EG11647_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
alas,alaS,EG10034_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
argb,argB,EG10064_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
argc,argC,EG10065_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
argg,argG,EG10068_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
argh,argH,EG11223_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
args,argS,EG10071_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
aroe,aroE,EG10077_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
arok,aroK,EG10081_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
asns,asnS,EG10094_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
asps,aspS,EG10097_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
can,can,EG12319_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
cara,carA,EG10134_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
carb,carB,EG10135_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
cdsa,cdsA,EG10139_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
cpda,cpdA,G7579_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
csda,csdA,G7454_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
cysa,cysA,EG10183_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
cysg,cysG,EG10188_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
cysq,cysQ,EG10043_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
cyss,cysS,EG10196_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
cysu,cysU,EG10197_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
cysw,cysW,EG10198_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
dapd,dapD,EG10207_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
dape,dapE,EG10208_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
ddlb,ddlB,EG10214_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
dfp,dfp,EG10004_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
dxs,dxs,G6237_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
fabg,fabG,EG11318_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
folb,folB,EG11673_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
fole,folE,EG11375_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
glce,glcE,G7544_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
glmu,glmU,EG11198_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
glna,glnA,EG10383_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
gltx,gltX,EG10407_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
glyq,glyQ,EG10409_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
glys,glyS,EG10410_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
gmk,gmk,EG10965_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
guaa,guaA,EG10420_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
guab,guaB,EG10421_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
hisb,hisB,EG10445_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
hisc,hisC,EG10446_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
hisd,hisD,EG10447_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
hiss,hisS,EG10453_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
iles,ileS,EG10492_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
ilvc,ilvC,EG10495_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
ilve,ilvE,EG10497_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
ispb,ispB,EG10017_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
ispd,ispD,G7423_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
ispu,ispU,G6092_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
kdsc,kdsC,G7663_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
leua,leuA,EG11226_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
leub,leuB,EG11577_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
leuc,leuC,EG11576_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
leus,leuS,EG10532_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
lpta,lptA,G7665_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
lptf,lptF,G7888_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
lptg,lptG,G7889_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
lpxh,lpxH,EG12666_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
meta,metA,EG10581_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
metb,metB,EG10582_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
metg,metG,EG10586_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
mltc,mltC,G7533_RNA,True,0,False,expected_nonessential,False,2,Metabolism,86.53846153846155
msba,msbA,EG10613_RNA,False,1,True,expected_essential,False,2,Metabolism,86.53846153846155
