gene_symbol,Gene,RNA ID,failed_before_gen8,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
aat,aat,EG11112_RNA,False,0,False,expected_nonessential,True,2
acca,accA,EG11647_RNA,False,1,True,expected_essential,False,2
acea,aceA,EG10022_RNA,False,0,False,expected_nonessential,True,2
aceb,aceB,EG10023_RNA,False,0,False,expected_nonessential,True,2
acee,aceE,EG10024_RNA,False,0,False,expected_nonessential,True,2
acef,aceF,EG10025_RNA,False,0,False,expected_nonessential,True,2
acka,ackA,EG10027_RNA,False,0,False,expected_nonessential,True,2
add,add,EG10030_RNA,False,0,False,expected_nonessential,True,2
ade,ade,EG11692_RNA,False,0,False,expected_nonessential,True,2
adhe,adhE,EG10031_RNA,False,0,False,expected_nonessential,True,2
adhp,adhP,G6775_RNA,False,0,False,expected_nonessential,True,2
adk,adk,EG10032_RNA,True,1,True,expected_essential,True,2
alae,alaE,G7399_RNA,False,0,False,expected_nonessential,True,2
alas,alaS,EG10034_RNA,False,1,True,expected_essential,False,2
alda,aldA,EG10035_RNA,False,0,False,expected_nonessential,True,2
alr,alr,EG10001_RNA,False,0,False,expected_nonessential,True,2
alse,alsE,EG11957_RNA,False,0,False,expected_nonessential,True,2
amn,amn,EG10039_RNA,False,0,False,expected_nonessential,True,2
ansa,ansA,EG10045_RNA,False,0,False,expected_nonessential,True,2
ansb,ansB,EG10046_RNA,False,0,False,expected_nonessential,True,2
apah,apaH,EG10048_RNA,False,0,False,expected_nonessential,True,2
apha,aphA,EG11934_RNA,False,0,False,expected_nonessential,True,2
appa,appA,EG10049_RNA,False,0,False,expected_nonessential,True,2
appb,appB,EG11379_RNA,False,0,False,expected_nonessential,True,2
apt,apt,EG10051_RNA,False,0,False,expected_nonessential,True,2
araa,araA,EG10052_RNA,False,0,False,expected_nonessential,True,2
arab,araB,EG10053_RNA,False,0,False,expected_nonessential,True,2
arac,araC,EG10054_RNA,False,0,False,expected_nonessential,True,2
arad,araD,EG10055_RNA,False,0,False,expected_nonessential,True,2
arae,araE,EG10056_RNA,False,0,False,expected_nonessential,True,2
araf,araF,EG10057_RNA,False,0,False,expected_nonessential,True,2
arag,araG,EG10058_RNA,False,0,False,expected_nonessential,True,2
arah,araH,EG10059_RNA,False,0,False,expected_nonessential,True,2
arca,arcA,EG10061_RNA,False,0,False,expected_nonessential,True,2
arga,argA,EG10063_RNA,False,0,False,expected_nonessential,True,2
argb,argB,EG10064_RNA,False,1,True,expected_essential,False,2
argc,argC,EG10065_RNA,False,1,True,expected_essential,False,2
argd,argD,EG10066_RNA,False,0,False,expected_nonessential,True,2
arge,argE,EG11286_RNA,False,0,False,expected_nonessential,True,2
argg,argG,EG10068_RNA,False,1,True,expected_essential,False,2
argh,argH,EG11223_RNA,False,1,True,expected_essential,False,2
argi,argI,EG10069_RNA,False,0,False,expected_nonessential,True,2
argr,argR,EG10070_RNA,False,0,False,expected_nonessential,True,2
args,argS,EG10071_RNA,False,1,True,expected_essential,False,2
argt,argT,EG10072_RNA,False,0,False,expected_nonessential,True,2
aroa,aroA,EG10073_RNA,True,1,True,expected_essential,True,2
arob,aroB,EG10074_RNA,True,1,True,expected_essential,True,2
aroc,aroC,EG10075_RNA,True,1,True,expected_essential,True,2
arod,aroD,EG10076_RNA,True,1,True,expected_essential,True,2
aroe,aroE,EG10077_RNA,False,1,True,expected_essential,False,2
arof,aroF,EG10078_RNA,False,0,False,expected_nonessential,True,2
arog,aroG,EG10079_RNA,False,0,False,expected_nonessential,True,2
aroh,aroH,EG10080_RNA,False,0,False,expected_nonessential,True,2
arok,aroK,EG10081_RNA,False,1,True,expected_essential,False,2
arol,aroL,EG10082_RNA,False,0,False,expected_nonessential,True,2
arop,aroP,EG10084_RNA,False,0,False,expected_nonessential,True,2
asd,asd,EG10088_RNA,False,0,False,expected_nonessential,True,2
asna,asnA,EG10091_RNA,False,0,False,expected_nonessential,True,2
asnb,asnB,EG10092_RNA,False,0,False,expected_nonessential,True,2
asns,asnS,EG10094_RNA,False,1,True,expected_essential,False,2
aspa,aspA,EG10095_RNA,False,0,False,expected_nonessential,True,2
aspc,aspC,EG10096_RNA,False,0,False,expected_nonessential,True,2
asps,aspS,EG10097_RNA,False,1,True,expected_essential,False,2
asta,astA,G6943_RNA,False,0,False,expected_nonessential,True,2
astb,astB,G6941_RNA,False,0,False,expected_nonessential,True,2
atpa,atpA,EG10098_RNA,False,0,False,expected_nonessential,True,2
atpb,atpB,EG10099_RNA,False,0,False,expected_nonessential,True,2
atpc,atpC,EG10100_RNA,False,0,False,expected_nonessential,True,2
atpd,atpD,EG10101_RNA,False,0,False,expected_nonessential,True,2
atpe,atpE,EG10102_RNA,False,0,False,expected_nonessential,True,2
atpf,atpF,EG10103_RNA,False,0,False,expected_nonessential,True,2
atpg,atpG,EG10104_RNA,False,0,False,expected_nonessential,True,2
atph,atpH,EG10105_RNA,False,0,False,expected_nonessential,True,2
avta,avtA,EG10107_RNA,False,0,False,expected_nonessential,True,2
azor,azoR,G6731_RNA,False,0,False,expected_nonessential,True,2
beta,betA,EG10109_RNA,False,0,False,expected_nonessential,True,2
betb,betB,EG10110_RNA,False,0,False,expected_nonessential,True,2
bett,betT,EG10112_RNA,False,0,False,expected_nonessential,True,2
bglf,bglF,EG10115_RNA,False,0,False,expected_nonessential,True,2
bglj,bglJ,G7948_RNA,False,0,False,expected_nonessential,True,2
bioa,bioA,EG10117_RNA,False,0,False,expected_nonessential,True,2
biob,bioB,EG10118_RNA,False,0,False,expected_nonessential,True,2
bioc,bioC,EG10119_RNA,False,0,False,expected_nonessential,True,2
biod,bioD,EG10120_RNA,False,0,False,expected_nonessential,True,2
biof,bioF,EG10121_RNA,False,0,False,expected_nonessential,True,2
bioh,bioH,EG10122_RNA,False,0,False,expected_nonessential,True,2
bira,birA,EG10123_RNA,False,0,False,expected_nonessential,True,2
bisc,bisC,EG10124_RNA,False,0,False,expected_nonessential,True,2
cada,cadA,EG10131_RNA,False,0,False,expected_nonessential,True,2
cadb,cadB,EG10132_RNA,False,0,False,expected_nonessential,True,2
can,can,EG12319_RNA,False,1,True,expected_essential,False,2
cara,carA,EG10134_RNA,False,1,True,expected_essential,False,2
carb,carB,EG10135_RNA,False,1,True,expected_essential,False,2
cdd,cdd,EG10137_RNA,False,0,False,expected_nonessential,True,2
cdh,cdh,EG10138_RNA,False,0,False,expected_nonessential,True,2
cdsa,cdsA,EG10139_RNA,False,1,True,expected_essential,False,2
cher,cheR,EG10148_RNA,False,0,False,expected_nonessential,True,2
coae,coaE,EG12312_RNA,False,0,False,expected_nonessential,True,2
cora,corA,EG11463_RNA,False,0,False,expected_nonessential,True,2
cpda,cpdA,G7579_RNA,True,0,False,expected_nonessential,False,2
cpsb,cpsB,EG10161_RNA,False,0,False,expected_nonessential,True,2
cpsg,cpsG,EG10162_RNA,False,0,False,expected_nonessential,True,2
crp,crp,EG10164_RNA,False,0,False,expected_nonessential,True,2
csda,csdA,G7454_RNA,True,0,False,expected_nonessential,False,2
cyca,cycA,EG12504_RNA,False,0,False,expected_nonessential,True,2
cydc,cydC,EG10012_RNA,False,0,False,expected_nonessential,True,2
cyoa,cyoA,EG10178_RNA,False,0,False,expected_nonessential,True,2
cyoe,cyoE,EG10182_RNA,False,0,False,expected_nonessential,True,2
cysa,cysA,EG10183_RNA,True,0,False,expected_nonessential,False,2
cysc,cysC,EG10185_RNA,True,1,True,expected_essential,True,2
cysd,cysD,EG10186_RNA,True,1,True,expected_essential,True,2
cyse,cysE,EG10187_RNA,True,1,True,expected_essential,True,2
cysg,cysG,EG10188_RNA,False,1,True,expected_essential,False,2
cysh,cysH,EG10189_RNA,True,1,True,expected_essential,True,2
cysi,cysI,EG10190_RNA,True,1,True,expected_essential,True,2
cysj,cysJ,EG10191_RNA,True,1,True,expected_essential,True,2
cysk,cysK,EG10192_RNA,False,0,False,expected_nonessential,True,2
cysm,cysM,EG10193_RNA,False,0,False,expected_nonessential,True,2
cysn,cysN,EG10194_RNA,True,1,True,expected_essential,True,2
cysp,cysP,EG10195_RNA,False,0,False,expected_nonessential,True,2
cysq,cysQ,EG10043_RNA,True,0,False,expected_nonessential,False,2
cyss,cysS,EG10196_RNA,False,1,True,expected_essential,False,2
cysu,cysU,EG10197_RNA,True,0,False,expected_nonessential,False,2
cysw,cysW,EG10198_RNA,True,0,False,expected_nonessential,False,2
cytr,cytR,EG10200_RNA,False,0,False,expected_nonessential,True,2
dapa,dapA,EG10205_RNA,False,0,False,expected_nonessential,True,2
dapb,dapB,EG10206_RNA,False,0,False,expected_nonessential,True,2
dapd,dapD,EG10207_RNA,False,1,True,expected_essential,False,2
dape,dapE,EG10208_RNA,False,1,True,expected_essential,False,2
dapf,dapF,EG10209_RNA,False,0,False,expected_nonessential,True,2
dcub,dcuB,EG10006_RNA,False,0,False,expected_nonessential,True,2
