generation_reconstructed,start_time,end_time,n_points,growth_mean,dry_mass_start,dry_mass_end,fold_change_mass,log_fold_change_mass,project,variant,lineage_seed,label,gene_id,run_type,step_scale
1,0.0,4067.0,12,0.0002251184744752522,266.9828490349621,396.50323380112275,1.485126236514165,0.3954997763953551,gene_ko_441imported_2seeds,1,100,KO: EG10109,EG10109,KO,20.0
2,4467.0,6570.0,7,0.00022945478483866612,441.9194334651056,385.8183361942738,0.8730513007066896,-0.13576096117295977,gene_ko_441imported_2seeds,1,100,KO: EG10109,EG10109,KO,20.0
3,6970.0,9130.0,7,0.00020156547195966513,424.406654487659,351.8057255535755,0.8289354604448252,-0.18761297917564967,gene_ko_441imported_2seeds,1,100,KO: EG10109,EG10109,KO,20.0
4,9530.0,11901.0,7,0.00020641784204338426,383.268391693073,340.8581424346231,0.8893458208982372,-0.11726911922354122,gene_ko_441imported_2seeds,1,100,KO: EG10109,EG10109,KO,20.0
5,12301.0,14887.0,8,0.0001810867184122991,375.04857771758236,320.0186106829693,0.8532724284157891,-0.15867640567405594,gene_ko_441imported_2seeds,1,100,KO: EG10109,EG10109,KO,20.0
6,15287.0,18045.0,8,0.00016098841799448216,346.37122012303666,283.9991459173018,0.8199270881005087,-0.19853985962778375,gene_ko_441imported_2seeds,1,100,KO: EG10109,EG10109,KO,20.0
7,18445.0,21888.0,10,0.0001487030277280307,301.15362272044274,268.5066764873063,0.8915937124108841,-0.11474472952435562,gene_ko_441imported_2seeds,1,100,KO: EG10109,EG10109,KO,20.0
8,22288.0,25888.0,10,0.00016597321978868124,286.2508816165798,521.9248097262996,1.8233124969913435,0.6006549000906181,gene_ko_441imported_2seeds,1,100,KO: EG10109,EG10109,KO,20.0
1,0.0,4048.0,12,0.0001842886260866953,266.9493849022739,326.2922024839455,1.222299885063965,0.20073423576848543,gene_ko_441imported_2seeds,2,100,KO: EG10894,EG10894,KO,20.0
2,4448.0,7095.0,8,0.00016029668036247142,352.49165114266293,280.2663477677762,0.7951006693612293,-0.22928654421713732,gene_ko_441imported_2seeds,2,100,KO: EG10894,EG10894,KO,20.0
3,7495.0,10950.0,10,0.00017437174586154195,301.2702326301785,287.6012182338508,0.9546287255896702,-0.04643278310772499,gene_ko_441imported_2seeds,2,100,KO: EG10894,EG10894,KO,20.0
4,11350.0,14674.0,10,0.00012793925873389443,306.4926549476048,245.26463568251575,0.8002300600790708,-0.22285601755716425,gene_ko_441imported_2seeds,2,100,KO: EG10894,EG10894,KO,20.0
5,15074.0,19560.0,13,0.00012531624299782755,258.9620137901426,240.64801954692268,0.9292792252609636,-0.07334601992433372,gene_ko_441imported_2seeds,2,100,KO: EG10894,EG10894,KO,20.0
6,19960.0,20360.0,2,0.00010170665707479173,251.95967900833296,263.78134018387016,1.0469188610735856,0.04585143229855089,gene_ko_441imported_2seeds,2,100,KO: EG10894,EG10894,KO,20.0
1,0.0,4050.0,12,0.00020092765581080174,266.9764925372041,358.72535084755305,1.34365893955088,0.29539644468199827,gene_ko_441imported_2seeds,3,100,KO: EG11288,EG11288,KO,20.0
2,4450.0,6784.0,7,0.00020856856336282773,392.99025155953825,347.7329629169742,0.8848386481268542,-0.12234996909697547,gene_ko_441imported_2seeds,3,100,KO: EG11288,EG11288,KO,20.0
