project,variant,lineage_seed,label,gene_id,run_type,n_generations,mean_growth_over_generations,total_fold_change_mass,mean_log_fold_change_mass,step_scale
gene_ko_441imported_2seeds,1,100,KO: EG10109,EG10109,KO,8,0.0001899134946550576,1.0871402472088074,0.0104438277609534,20.0
gene_ko_441imported_2seeds,1,101,KO: EG10109,EG10109,KO,8,0.00020378807341505197,0.8094917665621543,-0.02641858461658235,20.0
gene_ko_441imported_2seeds,2,100,KO: EG10894,EG10894,KO,6,0.0001456532018528704,0.722284844272462,-0.05422261612322066,20.0
gene_ko_441imported_2seeds,2,101,KO: EG10894,EG10894,KO,6,0.00016066302973682356,0.5400601988044187,-0.10267911106162113,20.0
gene_ko_441imported_2seeds,3,100,KO: EG11288,EG11288,KO,8,0.0001923287613779979,1.2141296155215888,0.02425343178175668,20.0
gene_ko_441imported_2seeds,3,101,KO: EG11288,EG11288,KO,8,0.00019623556987525805,0.7622779101516556,-0.03393050978768075,20.0
gene_ko_441imported_2seeds,4,100,KO: EG10539,EG10539,KO,8,0.000191688298271802,2.567852911730553,0.11788376335297651,20.0
gene_ko_441imported_2seeds,4,101,KO: EG10539,EG10539,KO,8,0.00020821700181813686,0.8520594236218595,-0.020012376068739568,20.0
gene_ko_441imported_2seeds,5,100,KO: EG12087,EG12087,KO,8,0.00021081418059394627,1.1799998434660361,0.020689288227707867,20.0
gene_ko_441imported_2seeds,5,101,KO: EG12087,EG12087,KO,8,0.00020786329286644586,0.788387675349462,-0.02972066703874421,20.0
gene_ko_441imported_2seeds,6,100,KO: EG10878,EG10878,KO,4,0.00010151111758560297,1.0703068983573771,0.016986357060827656,20.0
gene_ko_441imported_2seeds,6,101,KO: EG10878,EG10878,KO,5,0.00010687721603875816,0.5789580833450283,-0.10930503978867505,20.0
gene_ko_441imported_2seeds,7,100,KO: EG10891,EG10891,KO,5,0.00040311902718100193,7.9359329975092185,0.4142801854185499,20.0
gene_ko_441imported_2seeds,7,101,KO: EG10891,EG10891,KO,6,0.0005243735434520557,6.086429316638546,0.3010102651104285,20.0
gene_ko_441imported_2seeds,8,100,KO: EG10796,EG10796,KO,6,0.000213421813725797,0.7675274250791869,-0.04409684452616589,20.0
gene_ko_441imported_2seeds,8,101,KO: EG10796,EG10796,KO,8,0.00017949205185698594,0.7357492716988976,-0.038358235218102624,20.0
gene_ko_441imported_2seeds,9,100,KO: G6561,G6561,KO,8,0.00020915855377623839,1.2205339854109554,0.024911056993167827,20.0
gene_ko_441imported_2seeds,9,101,KO: G6561,G6561,KO,8,0.00019438234061665006,0.7885906053067521,-0.02968849634227691,20.0
gene_ko_441imported_2seeds,10,100,KO: EG11050,EG11050,KO,8,0.000189786381973225,1.2857257673877156,0.031415419803934724,20.0
gene_ko_441imported_2seeds,10,101,KO: EG11050,EG11050,KO,8,0.00017909039496324323,0.7109464553763236,-0.04264477011360162,20.0
gene_ko_441imported_2seeds,11,100,KO: EG10887,EG10887,KO,6,0.0003559365487673948,4.698299834127871,0.2578667843089414,20.0
gene_ko_441imported_2seeds,11,101,KO: EG10887,EG10887,KO,6,0.0003611724141935147,5.035871026258838,0.2694310842500774,20.0
gene_ko_441imported_2seeds,12,100,KO: EG10582,EG10582,KO,8,0.00018507596941501114,1.0067356848855253,0.0008391376891277447,20.0
gene_ko_441imported_2seeds,12,101,KO: EG10582,EG10582,KO,8,0.00021459033652233167,0.9229662511753671,-0.010020326177685335,20.0
gene_ko_441imported_2seeds,13,100,KO: EG20248,EG20248,KO,8,0.00019956761478694346,1.4582686912756297,0.04715623802207719,20.0
gene_ko_441imported_2seeds,13,101,KO: EG20248,EG20248,KO,8,0.00021378961770318486,0.8419613826505937,-0.021502641203373432,20.0
gene_ko_441imported_2seeds,14,100,KO: EG12712,EG12712,KO,8,0.00020772011669916823,1.278905875207465,0.030750615925043266,20.0
gene_ko_441imported_2seeds,14,101,KO: EG12712,EG12712,KO,8,0.0002057728104792922,0.8808368793083656,-0.015860353026136975,20.0
gene_ko_441imported_2seeds,15,100,KO: EG10420,EG10420,KO,8,0.0001851269405493512,2.6014213297724686,0.11950724511968744,20.0
gene_ko_441imported_2seeds,15,101,KO: EG10420,EG10420,KO,8,0.00019572884006702283,0.8394016455710256,-0.02188324595889339,20.0
gene_ko_441imported_2seeds,16,100,KO: EG10120,EG10120,KO,8,0.00020175784654198538,1.2647678808239204,0.02936107649033505,20.0
gene_ko_441imported_2seeds,16,101,KO: EG10120,EG10120,KO,8,0.00021460913870219498,0.7524051435060221,-0.035560043180777795,20.0
gene_ko_441imported_2seeds,17,100,KO: EG11029,EG11029,KO,8,0.00019295139275896016,1.2965062752950745,0.03245914577077287,20.0
gene_ko_441imported_2seeds,17,101,KO: EG11029,EG11029,KO,8,0.00020955668093658718,0.7219589623809273,-0.04072337256403462,20.0
gene_ko_441imported_2seeds,18,100,KO: EG12293,EG12293,KO,8,0.00018232560429762277,1.297419736371995,0.032547184241277845,20.0
gene_ko_441imported_2seeds,18,101,KO: EG12293,EG12293,KO,8,0.00018907622088524677,0.6666177643033204,-0.05069230804296085,20.0
gene_ko_441imported_2seeds,19,100,KO: EG10410,EG10410,KO,6,0.0001139131330980616,1.057125046561249,0.009258833860902852,20.0
gene_ko_441imported_2seeds,19,101,KO: EG10410,EG10410,KO,7,0.0001200555092498758,0.49281039062071,-0.10109011173166514,20.0
gene_ko_441imported_2seeds,20,100,KO: EG10895,EG10895,KO,6,0.0001456532018528704,0.722284844272462,-0.05422261612322066,20.0
gene_ko_441imported_2seeds,20,101,KO: EG10895,EG10895,KO,6,0.00016066302973682356,0.5400601988044187,-0.10267911106162113,20.0
gene_ko_441imported_2seeds,21,100,KO: EG10549,EG10549,KO,8,0.00019575966992068538,2.453667509805822,0.11219798100407044,20.0
gene_ko_441imported_2seeds,21,101,KO: EG10549,EG10549,KO,8,0.00021080663414415707,0.7813080036765073,-0.03084822949769979,20.0
gene_ko_441imported_2seeds,22,100,KO: EG10099,EG10099,KO,8,0.00021909817001400513,1.1810426058875239,0.020799701584483042,20.0
gene_ko_441imported_2seeds,22,101,KO: EG10099,EG10099,KO,8,0.0002218542916572675,0.8096194040146383,-0.02639887666584556,20.0
gene_ko_441imported_2seeds,23,100,KO: EG10581,EG10581,KO,6,0.0001235211987438104,0.9458078435559665,-0.009285975961347817,20.0
gene_ko_441imported_2seeds,23,101,KO: EG10581,EG10581,KO,7,0.0001275954370371866,0.4976569657402769,-0.09969203758861618,20.0
gene_ko_441imported_2seeds,24,100,KO: EG10872,EG10872,KO,5,0.0004496519857867063,13.655759441396667,0.5228322739478399,20.0
