generation_reconstructed,start_time,end_time,n_points,growth_mean,dry_mass_start,dry_mass_end,fold_change_mass,log_fold_change_mass,project,variant,lineage_seed,label,gene_id,run_type,step_scale
1,0.0,4080.0,205,0.00024683337761573313,266.9493849022739,731.3535496399188,2.739671229838781,1.0078379240907758,all_media_conditions1_seed100,0,100,baseline,,baseline,1.0
2,4083.0,6803.0,137,0.0002471352030844023,365.6225274423889,721.0952506405931,1.9722396639091557,0.6791697822183483,all_media_conditions1_seed100,0,100,baseline,,baseline,1.0
3,6809.0,9589.0,140,0.0002444054332729048,362.25794283155574,719.4829588845421,1.9861067869506739,0.6861763340418212,all_media_conditions1_seed100,0,100,baseline,,baseline,1.0
4,9603.0,12323.0,137,0.0002215935768304681,359.1144833835899,658.5962174118047,1.8339450172170357,0.6064693936776948,all_media_conditions1_seed100,0,100,baseline,,baseline,1.0
5,12342.0,15402.0,154,0.00026544877551068984,329.8626721101417,748.6702429011941,2.2696422062912647,0.8196222006963377,all_media_conditions1_seed100,0,100,baseline,,baseline,1.0
6,15411.0,18051.0,133,0.000235649370282205,374.377331240359,699.1438333292558,1.8674844200980456,0.6245922953383862,all_media_conditions1_seed100,0,100,baseline,,baseline,1.0
7,18066.0,20886.0,142,0.00021561619340986876,349.2474614956275,645.4324274937205,1.8480661956129958,0.6141397927148691,all_media_conditions1_seed100,0,100,baseline,,baseline,1.0
8,20906.0,24009.0,157,0.00020150573009376769,648.2312514711646,608.8275505194365,0.9392135123656856,-0.06271244291034438,all_media_conditions1_seed100,0,100,baseline,,baseline,1.0
1,0.0,4040.0,203,0.00023648005224839928,266.96500744305945,702.0132509962816,2.6296077441760337,0.96683468836507,gene_ko_metabolic_seed100,4,100,KO: EG10030,EG10030,KO,1.0
2,4047.0,6807.0,139,0.00025734046560434214,350.8616096707675,717.6059764195895,2.0452678681288563,0.7155287677768118,gene_ko_metabolic_seed100,4,100,KO: EG10030,EG10030,KO,1.0
3,6819.0,9599.0,140,0.0002337282411392884,359.84685598059446,691.919918059901,1.9228177391585,0.6537916826860316,gene_ko_metabolic_seed100,4,100,KO: EG10030,EG10030,KO,1.0
4,9615.0,12455.0,143,0.00022951673986940723,346.9360507243872,667.5917040194056,1.9242500242494358,0.654536294034309,gene_ko_metabolic_seed100,4,100,KO: EG10030,EG10030,KO,1.0
5,12467.0,15447.0,150,0.00024154363529547122,332.95578539187613,687.8909529661908,2.0660129156685763,0.7256206222115829,gene_ko_metabolic_seed100,4,100,KO: EG10030,EG10030,KO,1.0
6,15459.0,18359.0,146,0.0002200105763271727,344.97213145348144,657.4654191980842,1.9058508188124224,0.6449285329203461,gene_ko_metabolic_seed100,4,100,KO: EG10030,EG10030,KO,1.0
7,18369.0,21449.0,155,0.00023659317391941864,330.6505158719142,691.9888266924463,2.0928103646464766,0.7385078347945093,gene_ko_metabolic_seed100,4,100,KO: EG10030,EG10030,KO,1.0
8,21456.0,24336.0,145,0.0002142665779150307,347.17705594867095,647.3692950921511,1.8646661235236197,0.623082014830039,gene_ko_metabolic_seed100,4,100,KO: EG10030,EG10030,KO,1.0
