project,variant,lineage_seed,label,gene_id,run_type,n_generations,mean_growth_over_generations,total_fold_change_mass,mean_log_fold_change_mass,step_scale
all_media_conditions1,0,0,baseline,,baseline,8,0.00022641904797924555,102.65233927963044,0.5789184915119976,1.0
all_media_conditions1_seed100,0,100,baseline,,baseline,8,0.00023477345751250496,144.79157287310844,0.6219119099834861,1.0
gene_knockout_metabolic1,4,0,KO: EG10030,EG10030,KO,8,0.0002218965101058657,47.44977134748154,0.482458963279333,1.0
gene_knockout_metabolic1,5,0,KO: EG10032,EG10032,KO,8,0.00023876057037423482,211.55404991178347,0.6693100651220171,1.0
gene_knockout_metabolic1,6,0,KO: EG10043,EG10043,KO,8,0.00024010748615675858,217.32669724499522,0.6726752173304464,1.0
gene_knockout_metabolic1,7,0,KO: EG10071,EG10071,KO,7,0.00015190529915684524,27.311198015946143,0.47247097168897917,1.0
gene_knockout_metabolic1,8,0,KO: EG10084,EG10084,KO,8,0.00022336365273591368,220.63255264666338,0.674562332507626,1.0
gene_knockout_metabolic1,10,0,KO: EG10107,EG10107,KO,8,0.00021578767965137885,171.13589872768216,0.6428072462842643,1.0
gene_knockout_metabolic1,12,0,KO: EG10112,EG10112,KO,8,0.00021722211545860225,93.7445794745229,0.5675717305300648,1.0
gene_knockout_metabolic1,13,0,KO: EG10122,EG10122,KO,8,0.00023668642123980446,249.04430179982643,0.6897038499392283,1.0
gene_knockout_metabolic1,14,0,KO: EG10124,EG10124,KO,8,0.00022429524829959424,110.08939711901756,0.5876615921014607,1.0
gene_knockout_metabolic1,16,0,KO: EG10138,EG10138,KO,8,0.0002253003662310853,92.84971611726905,0.5663727787950266,1.0
gene_knockout_non_metabolic1,1,0,KO: EG10001,EG10001,KO,8,0.00022153571240053575,201.9791483123928,0.6635205582370929,1.0
gene_knockout_non_metabolic1,2,0,KO: EG10004,EG10004,KO,8,0.00023664051073222464,226.26140089730785,0.6777113715020999,1.0
gene_knockout_non_metabolic1,6,0,KO: EG10016,EG10016,KO,8,0.00023874509818427105,224.07472622919056,0.6764974494325805,1.0
gene_knockout_non_metabolic1,7,0,KO: EG10017,EG10017,KO,8,0.0002406699948600585,115.38680657882367,0.5935362524747819,1.0
gene_knockout_non_metabolic1,10,0,KO: EG10031,EG10031,KO,8,0.0002250806077480014,94.38388328504004,0.5684212913328843,1.0
gene_knockout_non_metabolic1,12,0,KO: EG10034,EG10034,KO,7,0.00013546934290456692,12.09831374557924,0.3561522975745318,1.0
gene_knockout_non_metabolic1,13,0,KO: EG10035,EG10035,KO,8,0.00023417865402664193,224.4719176744079,0.6767188263810159,1.0
gene_knockout_non_metabolic1,14,0,KO: EG10039,EG10039,KO,8,0.00022623490644226182,113.08531685023203,0.5910178187755747,1.0
gene_knockout_non_metabolic1,17,0,KO: EG10046,EG10046,KO,8,0.00022339136246241962,95.95316718310941,0.5704825288239599,1.0
gene_knockout_non_metabolic1,19,0,KO: EG10051,EG10051,KO,8,0.00021741114294248606,223.62983045020033,0.6762490177834067,1.0
gene_knockout_non_metabolic1,20,0,KO: EG10054,EG10054,KO,8,0.00024262623105274783,108.38931202122846,0.5857161858192925,1.0
gene_ko_metabolic_seed100,4,100,KO: EG10030,EG10030,KO,8,0.0002336849327898163,305.7691598282715,0.7153538047023374,1.0
gene_ko_metabolic_seed100,5,100,KO: EG10032,EG10032,KO,8,0.00020334093440560694,286.7172602024051,0.7073120717606545,1.0
gene_ko_metabolic_seed100,6,100,KO: EG10043,EG10043,KO,8,0.00021110138742384647,265.9136292137436,0.6978964442313191,1.0
gene_ko_metabolic_seed100,7,100,KO: EG10071,EG10071,KO,6,0.0001361938823340773,16.856976441036,0.4707941005366149,1.0
gene_ko_metabolic_seed100,8,100,KO: EG10084,EG10084,KO,8,0.00024045047205146003,148.97359644493858,0.6254711356469075,1.0
gene_ko_metabolic_seed100,10,100,KO: EG10107,EG10107,KO,8,0.00022840488346544027,307.2255469169344,0.7159477697940959,1.0
gene_ko_metabolic_seed100,12,100,KO: EG10112,EG10112,KO,8,0.00023634118425462858,289.55484037225904,0.7085430888013602,1.0
gene_ko_metabolic_seed100,13,100,KO: EG10122,EG10122,KO,8,0.00022813991316449604,165.48385205738938,0.6386092024258221,1.0
gene_ko_metabolic_seed100,14,100,KO: EG10124,EG10124,KO,8,0.00022188446884907178,134.5524604489919,0.6127442704386021,1.0
gene_ko_metabolic_seed100,16,100,KO: EG10138,EG10138,KO,8,0.0002291858256163082,296.25736320029864,0.7114035683531276,1.0
