id	symbol	synonyms	left_end_pos	right_end_pos	direction	rna_ids	is_metabolic	is_single_gene_operon	operon_size	tu_id	other_genes_in_operon
EG10001	alr	"[""alr"", ""alr5"", ""b4053"", ""ECK4045""]"	4265782.0	4266861.0	+	"[""EG10001_RNA""]"	False	True	1.0	TU0-14120[c]	
EG10004	dfp	"[""dfp"", ""coaBC"", ""b3639"", ""ECK3629""]"	3812731.0	3813951.0	+	"[""EG10004_RNA""]"	False	True	1.0	TU0-14356[c]	
EG10011	yaaA	"[""yaaA"", ""b0006"", ""ECK0006""]"	5683.0	6459.0	-	"[""EG10011_RNA""]"	False	True	1.0	TU0-12788[c]	
EG10014	acrD	"[""acrD"", ""yffA"", ""b2470"", ""ECK2465""]"	2587595.0	2590708.0	+	"[""EG10014_RNA""]"	False	True	1.0	TU0-14793[c]	
EG10015	rodZ	"[""rodZ"", ""yfgA"", ""b2516"", ""ECK2512""]"	2641831.0	2642844.0	-	"[""EG10015_RNA""]"	False	True	1.0	TU0-14347[c]	
EG10016	garL	"[""garL"", ""yhaF"", ""b3126"", ""ECK3114""]"	3272787.0	3273557.0	-	"[""EG10016_RNA""]"	False	True	1.0	EG10016_RNA[c]	
EG10017	ispB	"[""ispB"", ""cel"", ""yhbD"", ""b3187"", ""ECK3176""]"	3333710.0	3334681.0	+	"[""EG10017_RNA""]"	False	True	1.0	TU0-13885[c]	
EG10018	csrD	"[""csrD"", ""yhdA"", ""b3252"", ""ECK3240""]"	3401392.0	3403332.0	-	"[""EG10018_RNA""]"	False	True	1.0	TU0-13904[c]	
EG10026	aceK	"[""aceK"", ""b4016"", ""ECK4008""]"	4218596.0	4220332.0	+	"[""EG10026_RNA""]"	False	True	1.0	TU0-14503[c]	
EG10031	adhE	"[""adhE"", ""adhC"", ""ana"", ""b1241"", ""ECK1235""]"	1295446.0	1298121.0	-	"[""EG10031_RNA""]"	False	True	1.0	TU0-45181[c]	
EG10033	agp	"[""agp"", ""b1002"", ""ECK0993""]"	1065585.0	1066826.0	+	"[""EG10033_RNA""]"	False	True	1.0	TU0-7401[c]	
EG10034	alaS	"[""alaS"", ""act"", ""ala-act"", ""lovB"", ""b2697"", ""ECK2692""]"	2819381.0	2822011.0	-	"[""EG10034_RNA""]"	False	True	1.0	TU0-6441[c]	
EG10035	aldA	"[""aldA"", ""ald"", ""b1415"", ""ECK1408""]"	1488232.0	1489671.0	+	"[""EG10035_RNA""]"	False	True	1.0	TU102[c]	
EG10039	amn	"[""amn"", ""b1982"", ""ECK1977""]"	2055061.0	2056515.0	+	"[""EG10039_RNA""]"	False	True	1.0	TU0-6422[c]	
EG10040	ampC	"[""ampC"", ""ampA"", ""b4150"", ""ECK4146""]"	4377811.0	4378944.0	-	"[""EG10040_RNA""]"	False	True	1.0	TU243[c]	
EG10044	osmE	"[""osmE"", ""anr"", ""b1739"", ""ECK1737""]"	1821918.0	1822256.0	-	"[""EG10044_RNA""]"	False	True	1.0	TU0-45283[c]	
EG10046	ansB	"[""ansB"", ""b2957"", ""ECK2952""]"	3099682.0	3100728.0	-	"[""EG10046_RNA""]"	False	True	1.0	TU0-6569[c]	
EG10050	appY	"[""appY"", ""b0564"", ""ECK0556""]"	583681.0	584430.0	+	"[""EG10050_RNA""]"	False	True	1.0	TU0-42454[c]	
EG10051	apt	"[""apt"", ""b0469"", ""ECK0463""]"	491412.0	491963.0	+	"[""EG10051_RNA""]"	False	True	1.0	TU0-12947[c]	
EG10054	araC	"[""araC"", ""b0064"", ""ECK0065""]"	70387.0	71265.0	+	"[""EG10054_RNA""]"	False	True	1.0	TU00003[c]	
EG10060	araJ	"[""araJ"", ""araT"", ""b0396"", ""ECK0390""]"	411297.0	412481.0	-	"[""EG10060_RNA""]"	False	True	1.0	TU00099[c]	
EG10061	arcA	"[""arcA"", ""sfrA"", ""cpxC"", ""dye"", ""fexA"", ""msp"", ""seg"", ""b4401"", ""ECK4393""]"	4639590.0	4640306.0	-	"[""EG10061_RNA""]"	False	True	1.0	TU344[c]	
EG10062	arcB	"[""arcB"", ""b3210"", ""ECK3200""]"	3350689.0	3353025.0	-	"[""EG10062_RNA""]"	False	True	1.0	TU0-5621[c]	
EG10063	argA	"[""argA"", ""Arg2"", ""Arg1"", ""b2818"", ""ECK2814""]"	2949242.0	2950573.0	+	"[""EG10063_RNA""]"	False	True	1.0	TU0-8472[c]	
EG10066	argD	"[""argD"", ""Arg1"", ""dapC"", ""dtu"", ""b3359"", ""ECK3347""]"	3488960.0	3490180.0	-	"[""EG10066_RNA""]"	False	True	1.0	TU00111[c]	
EG10068	argG	"[""argG"", ""b3172"", ""ECK3161""]"	3318637.0	3319980.0	+	"[""EG10068_RNA""]"	False	True	1.0	TU0-5501[c]	
EG10069	argI	"[""argI"", ""b4254"", ""ECK4247""]"	4477307.0	4478311.0	-	"[""EG10069_RNA""]"	False	True	1.0	TU00006[c]	
EG10070	argR	"[""argR"", ""Rarg"", ""xerA"", ""b3237"", ""ECK3226""]"	3384703.0	3385173.0	+	"[""EG10070_RNA""]"	False	True	1.0	TU0-3501[c]	
EG10079	aroG	"[""aroG"", ""b0754"", ""ECK0743""]"	785633.0	786685.0	+	"[""EG10079_RNA""]"	False	True	1.0	TU00009[c]	
EG10080	aroH	"[""aroH"", ""b1704"", ""ECK1702""]"	1788435.0	1789481.0	+	"[""EG10080_RNA""]"	False	True	1.0	TU0-14254[c]	
EG10087	ascG	"[""ascG"", ""sac"", ""b2714"", ""ECK2709""]"	2838254.0	2839264.0	-	"[""EG10087_RNA""]"	False	True	1.0	TU00242[c]	
EG10088	asd	"[""asd"", ""dap"", ""hom"", ""b3433"", ""ECK3419""]"	3573775.0	3574878.0	-	"[""EG10088_RNA""]"	False	True	1.0	TU0-13935[c]	
EG10089	aslA	"[""aslA"", ""gppB"", ""atsA"", ""b3801"", ""ECK3794""]"	3984352.0	3986007.0	-	"[""EG10089_RNA""]"	False	True	1.0	TU0-8769[c]	
EG10090	aslB	"[""aslB"", ""gppB"", ""atsB"", ""b3800"", ""ECK3793""]"	3982958.0	3984193.0	+	"[""EG10090_RNA""]"	False	True	1.0	TU0-8863[c]	
EG10091	asnA	"[""asnA"", ""b3744"", ""ECK3738""]"	3927155.0	3928147.0	+	"[""EG10091_RNA""]"	False	True	1.0	TU00112[c]	
EG10092	asnB	"[""asnB"", ""b0674"", ""ECK0662""]"	697513.0	699177.0	-	"[""EG10092_RNA""]"	False	True	1.0	TU0-4929[c]	
EG10094	asnS	"[""asnS"", ""lcs"", ""tss"", ""b0930"", ""ECK0921""]"	987585.0	988985.0	-	"[""EG10094_RNA""]"	False	True	1.0	TU0-13093[c]	
EG10096	aspC	"[""aspC"", ""b0928"", ""ECK0919""]"	984519.0	985709.0	-	"[""EG10096_RNA""]"	False	True	1.0	TU0-6482[c]	
EG10097	aspS	"[""aspS"", ""tls"", ""b1866"", ""ECK1867""]"	1948750.0	1950522.0	-	"[""EG10097_RNA""]"	False	True	1.0	TU0-14634[c]	
EG10116	bglG	"[""bglG"", ""bglC"", ""b3723"", ""ECK3716""]"	3905731.0	3906567.0	-	"[""EG10116_RNA""]"	False	True	1.0	TU0-42515[c]	
EG10117	bioA	"[""bioA"", ""b0774"", ""ECK0763""]"	807968.0	809257.0	-	"[""EG10117_RNA""]"	False	True	1.0	TU00013[c]	
EG10125	bolA	"[""bolA"", ""b0435"", ""ECK0429""]"	454472.0	454789.0	+	"[""EG10125_RNA""]"	False	True	1.0	TU0-14251[c]	
