gene_id,gene_symbol,synonyms,left_end_pos,right_end_pos,direction,rna_ids,rna_type,monomer_ids,is_single_gene_operon,operon_size,tu_id,other_genes_in_operon,operon_partner_count
EG10016,garL,"[""garL"", ""yhaF"", ""b3126"", ""ECK3114""]",3272787.0,3273557.0,-,"[""EG10016_RNA""]",mRNA,"[""KDGALDOL-MONOMER""]",True,1.0,EG10016_RNA[c],,0
EG10027,ackA,"[""ackA"", ""b2296"", ""ECK2290""]",2413470.0,2414672.0,+,"[""EG10027_RNA""]",mRNA,"[""ACETATEKINA-MONOMER""]",False,2.0,TU0-8301[c],EG20173,1
EG10036,puuC,"[""puuC"", ""aldH"", ""b1300"", ""ECK1295""]",1362743.0,1364230.0,+,"[""EG10036_RNA""]",mRNA,"[""ALDHDEHYDROG-MONOMER""]",False,5.0,TU0-13210[c],"EG11822,EG12431,G6645,G6646",4
EG10052,araA,"[""araA"", ""b0062"", ""ECK0063""]",66835.0,68337.0,-,"[""EG10052_RNA""]",mRNA,"[""ARABISOM-MONOMER""]",False,3.0,TU00214[c],"EG10053,EG10055",2
EG10073,aroA,"[""aroA"", ""b0908"", ""ECK0899""]",958812.0,960095.0,+,"[""EG10073_RNA""]",mRNA,"[""AROA-MONOMER""]",False,2.0,TU00357[c],EG10946,1
EG10095,aspA,"[""aspA"", ""b4139"", ""ECK4133""]",4366891.0,4368327.0,-,"[""EG10095_RNA""]",mRNA,"[""ASPARTASE-MONOMER""]",False,2.0,TU0-6021[c],EG11225,1
EG10099,atpB,"[""atpB"", ""papD"", ""uncB"", ""b3738"", ""ECK3731""]",3921236.0,3922051.0,-,"[""EG10099_RNA""]",mRNA,"[""ATPB-MONOMER""]",False,8.0,TU0-6635[c],"EG10098,EG10100,EG10101,EG10102,EG10103,EG10104,EG10105",7
EG10100,atpC,"[""atpC"", ""papG"", ""uncC"", ""b3731"", ""ECK3724""]",3915553.0,3915972.0,-,"[""EG10100_RNA""]",mRNA,"[""ATPC-MONOMER""]",False,8.0,TU0-6635[c],"EG10098,EG10099,EG10101,EG10102,EG10103,EG10104,EG10105",7
EG10105,atpH,"[""atpH"", ""papE"", ""uncH"", ""b3735"", ""ECK3728""]",3919870.0,3920403.0,-,"[""EG10105_RNA""]",mRNA,"[""ATPH-MONOMER""]",False,8.0,TU0-6635[c],"EG10098,EG10099,EG10100,EG10101,EG10102,EG10103,EG10104",7
EG10109,betA,"[""betA"", ""b0311"", ""ECK0309""]",325577.0,327247.0,-,"[""EG10109_RNA""]",mRNA,"[""CHD-MONOMER""]",False,3.0,TU00115[c],"EG10110,EG10111",2
EG10118,bioB,"[""bioB"", ""b0775"", ""ECK0764""]",809344.0,810384.0,+,"[""EG10118_RNA""]",mRNA,"[""BIOTIN-SYN-MONOMER""]",False,4.0,TU00117[c],"EG10119,EG10120,EG10121",3
EG10120,bioD,"[""bioD"", ""b0778"", ""ECK0767""]",812270.0,812947.0,+,"[""EG10120_RNA""]",mRNA,"[""DETHIOBIOTIN-SYN-MONOMER""]",False,4.0,TU00117[c],"EG10118,EG10119,EG10121",3
