id	symbol	synonyms	left_end_pos	right_end_pos	direction	rna_ids	is_metabolic_biocyc
EG10001	alr	"[""alr"", ""alr5"", ""b4053"", ""ECK4045""]"	4265782.0	4266861.0	+	"[""EG10001_RNA""]"	True
EG10002	modB	"[""modB"", ""chlJ"", ""tslJ"", ""b0764"", ""ECK0753""]"	795862.0	796551.0	+	"[""EG10002_RNA""]"	False
EG10003	cysZ	"[""cysZ"", ""b2413"", ""ECK2408""]"	2531463.0	2532224.0	+	"[""EG10003_RNA""]"	False
EG10004	dfp	"[""dfp"", ""coaBC"", ""b3639"", ""ECK3629""]"	3812731.0	3813951.0	+	"[""EG10004_RNA""]"	False
EG10006	dcuB	"[""dcuB"", ""genF"", ""b4123"", ""ECK4116""]"	4347404.0	4348744.0	-	"[""EG10006_RNA""]"	False
EG10007	hisM	"[""hisM"", ""b2307"", ""ECK2301""]"	2424517.0	2425233.0	-	"[""EG10007_RNA""]"	False
EG10008	zraS	"[""zraS"", ""hydH"", ""b4003"", ""ECK3995""]"	4201926.0	4203323.0	+	"[""EG10008_RNA""]"	False
EG10010	rhsE	"[""rhsE"", ""b1456"", ""ECK1450""]"	1527890.0	1529938.0	+	"[""EG10010_RNA""]"	False
EG10011	yaaA	"[""yaaA"", ""b0006"", ""ECK0006""]"	5683.0	6459.0	-	"[""EG10011_RNA""]"	False
EG10012	cydC	"[""cydC"", ""mdrA"", ""mdrH"", ""surB"", ""ycaB"", ""b0886"", ""ECK0877""]"	927474.0	929195.0	-	"[""EG10012_RNA""]"	False
EG10013	mepM	"[""mepM"", ""yebA"", ""b1856"", ""ECK1857""]"	1940313.0	1941635.0	-	"[""EG10013_RNA""]"	False
EG10014	acrD	"[""acrD"", ""yffA"", ""b2470"", ""ECK2465""]"	2587595.0	2590708.0	+	"[""EG10014_RNA""]"	False
EG10015	rodZ	"[""rodZ"", ""yfgA"", ""b2516"", ""ECK2512""]"	2641831.0	2642844.0	-	"[""EG10015_RNA""]"	False
EG10016	garL	"[""garL"", ""yhaF"", ""b3126"", ""ECK3114""]"	3272787.0	3273557.0	-	"[""EG10016_RNA""]"	False
EG10017	ispB	"[""ispB"", ""cel"", ""yhbD"", ""b3187"", ""ECK3176""]"	3333710.0	3334681.0	+	"[""EG10017_RNA""]"	False
EG10018	csrD	"[""csrD"", ""yhdA"", ""b3252"", ""ECK3240""]"	3401392.0	3403332.0	-	"[""EG10018_RNA""]"	False
