gene_id,variant,status,all_transcription_success,all_translation_success,max_mrna,max_protein,mean_mrna,mean_protein
EG10001,0,analyzed,12,0,4.0,3.0,0.3664252236898168,0.4218150830847891
EG10004,0,analyzed,10,0,5.0,13.0,0.8495952279505752,5.167873881550916
EG10011,0,analyzed,13,0,4.0,954.0,0.5244993608862377,577.6280357903706
EG10014,0,analyzed,0,197,2.0,56.0,0.06945036216446528,4.285044737963357
EG10015,0,analyzed,14,0,6.0,834.0,1.42011077971879,521.6195142735407
EG10016,0,analyzed,0,0,1.0,7.0,0.028547081380485728,1.7435023434171282
EG10017,0,analyzed,44,0,7.0,5.0,1.5249254367277376,0.6489135066041756
EG10018,0,analyzed,1,0,2.0,3.0,0.1406050276949297,1.524073285044738
EG10026,0,analyzed,0,0,0.0,2.0,0.0,0.31316574350234344
EG10031,0,analyzed,56,75,20.0,45.0,4.445249254367277,20.346399659139326
EG10033,0,analyzed,0,0,1.0,3.0,0.1891776736259054,0.2616105666808692
EG10034,0,analyzed,42,882,9.0,5.0,2.244141457179378,0.7942053685556029
EG10035,0,analyzed,4,0,6.0,6.0,1.1465700894759268,1.4593097571367704
EG10039,0,analyzed,9,14343,8.0,10.0,1.6293140178951853,2.729441840647635
EG10040,0,analyzed,1,0,1.0,440.0,0.20536855560289732,164.24371538133786
EG10044,0,analyzed,5,0,5.0,1854.0,1.0997017469109502,812.1397528760119
EG10046,0,analyzed,0,28127,1.0,4.0,0.02812100553898594,0.702172986791649
EG10050,0,analyzed,0,0,0.0,1.0,0.0,0.7490413293566255
EG10051,0,analyzed,32,44,9.0,7.0,1.9458883681295271,1.0903280783979548
EG10054,0,analyzed,1,0,2.0,3.0,0.2023860247123988,0.3238176395398381
EG10003,0,analyzed,4,0,3.0,483.0,0.25692373242437155,212.85385598636557
EG10013,0,analyzed,8,0,4.0,139.0,0.29356625479335324,89.1844908393694
EG10028,0,analyzed,3,0,3.0,467.0,0.19727311461440136,187.11759693225395
EG10030,0,analyzed,0,22,2.0,523.0,0.19855134213890072,219.24541968470388
EG10032,0,analyzed,33,272,12.0,9664.0,4.2300809544098845,6559.060502769493
EG10043,0,analyzed,4,0,3.0,742.0,0.45973583297827014,376.4686834256498
EG10071,0,analyzed,11,71,6.0,967.0,0.6565828717511717,533.5521942905838
EG10084,0,analyzed,2,219,3.0,363.0,0.3877290157648061,151.3847464848743
EG10085,0,analyzed,0,0,0.0,164.0,0.0,69.48317000426076
EG10107,0,analyzed,11,0,5.0,742.0,0.5325948018747337,305.33489561141886
EG10108,0,analyzed,47,0,19.0,20652.0,8.277801448657861,12435.072006817214
EG10112,0,analyzed,5,31,2.0,48.0,0.18406476352790796,22.106092884533446
EG10122,0,analyzed,5,0,2.0,284.0,0.1367703451214316,100.23860247123989
EG10124,0,analyzed,0,0,2.0,174.0,0.13975287601193012,67.3813378781423
EG10129,0,analyzed,0,81,2.0,601.0,0.4546229228802727,255.34938219002981
EG10138,0,analyzed,2,199,1.0,76.0,0.07371112057946315,41.226672347677884
EG10160,0,analyzed,4,0,3.0,556.0,0.30293992330634856,302.3114614401363
EG10167,0,analyzed,3,0,5.0,470.0,0.9002982530890499,253.5794631444397
EG10170,0,analyzed,76,999,9.0,172.0,1.709842351938645,81.94162760971453
EG10172,0,analyzed,18,0,6.0,1372.0,0.8721772475500639,841.2931401789518
