gene_id,gene_symbol,synonyms,left_end_pos,right_end_pos,direction,rna_ids,rna_type,monomer_ids,is_single_gene_operon,operon_size,tu_id,other_genes_in_operon,operon_partner_count
EG10001,alr,"[""alr"", ""alr5"", ""b4053"", ""ECK4045""]",4265782.0,4266861.0,+,"[""EG10001_RNA""]",mRNA,"[""ALARACEBIOSYN-MONOMER""]",True,1.0,TU0-14120[c],,0
EG10004,dfp,"[""dfp"", ""coaBC"", ""b3639"", ""ECK3629""]",3812731.0,3813951.0,+,"[""EG10004_RNA""]",mRNA,"[""EG10004-MONOMER""]",True,1.0,TU0-14356[c],,0
EG10006,dcuB,"[""dcuB"", ""genF"", ""b4123"", ""ECK4116""]",4347404.0,4348744.0,-,"[""EG10006_RNA""]",mRNA,"[""DCUB-MONOMER""]",False,2.0,TU0-4562[c],EG10357,1
EG10007,hisM,"[""hisM"", ""b2307"", ""ECK2301""]",2424517.0,2425233.0,-,"[""EG10007_RNA""]",mRNA,"[""HISM-MONOMER""]",False,4.0,TU0-14415[c],"EG10452,EG12124,EG12125",3
EG10012,cydC,"[""cydC"", ""mdrA"", ""mdrH"", ""surB"", ""ycaB"", ""b0886"", ""ECK0877""]",927474.0,929195.0,-,"[""EG10012_RNA""]",mRNA,"[""CYDC-MONOMER""]",False,2.0,TU00254[c],EG11405,1
EG10016,garL,"[""garL"", ""yhaF"", ""b3126"", ""ECK3114""]",3272787.0,3273557.0,-,"[""EG10016_RNA""]",mRNA,"[""KDGALDOL-MONOMER""]",True,1.0,EG10016_RNA[c],,0
EG10017,ispB,"[""ispB"", ""cel"", ""yhbD"", ""b3187"", ""ECK3176""]",3333710.0,3334681.0,+,"[""EG10017_RNA""]",mRNA,"[""OPPSYN-MONOMER""]",True,1.0,TU0-13885[c],,0
EG10022,aceA,"[""aceA"", ""icl"", ""b4015"", ""ECK4007""]",4217109.0,4218413.0,+,"[""EG10022_RNA""]",mRNA,"[""ISOCIT-LYASE-MONOMER""]",False,3.0,TU00001[c],"EG10023,EG10026",2
EG10023,aceB,"[""aceB"", ""mas"", ""b4014"", ""ECK4006""]",4215478.0,4217079.0,+,"[""EG10023_RNA""]",mRNA,"[""MALATE-SYNTHASE""]",False,3.0,TU00001[c],"EG10022,EG10026",2
EG10024,aceE,"[""aceE"", ""b0114"", ""ECK0113""]",123017.0,125680.0,+,"[""EG10024_RNA""]",mRNA,"[""E1P-MONOMER""]",False,4.0,TU0-45222[c],"EG10025,EG10543,EG11088",3
EG10025,aceF,"[""aceF"", ""b0115"", ""ECK0114""]",125695.0,127587.0,+,"[""EG10025_RNA""]",mRNA,"[""E2P-MONOMER""]",False,4.0,TU0-45222[c],"EG10024,EG10543,EG11088",3
EG10027,ackA,"[""ackA"", ""b2296"", ""ECK2290""]",2413470.0,2414672.0,+,"[""EG10027_RNA""]",mRNA,"[""ACETATEKINA-MONOMER""]",False,2.0,TU0-8301[c],EG20173,1
EG10030,add,"[""add"", ""b1623"", ""ECK1618""]",1702233.0,1703234.0,+,"[""EG10030_RNA""]",mRNA,"[""ADENODEAMIN-MONOMER""]",True,1.0,TU0-13350[c],,0
EG10031,adhE,"[""adhE"", ""adhC"", ""ana"", ""b1241"", ""ECK1235""]",1295446.0,1298121.0,-,"[""EG10031_RNA""]",mRNA,"[""ADHE-MONOMER""]",True,1.0,TU0-45181[c],,0
EG10032,adk,"[""adk"", ""dnaW"", ""plsA"", ""b0474"", ""ECK0468""]",497175.0,497819.0,+,"[""EG10032_RNA""]",mRNA,"[""ADENYL-KIN-MONOMER""]",True,1.0,TU0-6481[c],,0
EG10034,alaS,"[""alaS"", ""act"", ""ala-act"", ""lovB"", ""b2697"", ""ECK2692""]",2819381.0,2822011.0,-,"[""EG10034_RNA""]",mRNA,"[""ALAS-MONOMER""]",True,1.0,TU0-6441[c],,0
EG10035,aldA,"[""aldA"", ""ald"", ""b1415"", ""ECK1408""]",1488232.0,1489671.0,+,"[""EG10035_RNA""]",mRNA,"[""LACTALDDEHYDROG-MONOMER""]",True,1.0,TU102[c],,0
EG10036,puuC,"[""puuC"", ""aldH"", ""b1300"", ""ECK1295""]",1362743.0,1364230.0,+,"[""EG10036_RNA""]",mRNA,"[""ALDHDEHYDROG-MONOMER""]",False,5.0,TU0-13210[c],"EG11822,EG12431,G6645,G6646",4
EG10039,amn,"[""amn"", ""b1982"", ""ECK1977""]",2055061.0,2056515.0,+,"[""EG10039_RNA""]",mRNA,"[""AMP-NUCLEOSID-MONOMER""]",True,1.0,TU0-6422[c],,0
EG10043,cysQ,"[""cysQ"", ""amt"", ""amtA"", ""b4214"", ""ECK4210""]",4436755.0,4437495.0,+,"[""EG10043_RNA""]",mRNA,"[""EG10043-MONOMER""]",True,1.0,TU0-14162[c],,0
EG10045,ansA,"[""ansA"", ""b1767"", ""ECK1765""]",1850860.0,1851876.0,+,"[""EG10045_RNA""]",mRNA,"[""ANSA-MONOMER""]",False,2.0,TU00238[c],EG11135,1
EG10046,ansB,"[""ansB"", ""b2957"", ""ECK2952""]",3099682.0,3100728.0,-,"[""EG10046_RNA""]",mRNA,"[""ANSB-MONOMER""]",True,1.0,TU0-6569[c],,0
EG10048,apaH,"[""apaH"", ""cfcB"", ""b0049"", ""ECK0050""]",50380.0,51222.0,-,"[""EG10048_RNA""]",mRNA,"[""EG10048-MONOMER""]",False,3.0,TU0-5186[c],"EG10047,EG10523",2
EG10049,appA,"[""appA"", ""b0980"", ""ECK0971""]",1040617.0,1041915.0,+,"[""EG10049_RNA""]",mRNA,"[""APPA-MONOMER""]",False,4.0,TU0-45265[c],"EG11379,EG11380,G0-10588",3
EG10051,apt,"[""apt"", ""b0469"", ""ECK0463""]",491412.0,491963.0,+,"[""EG10051_RNA""]",mRNA,"[""ADENPRIBOSYLTRAN-MONOMER""]",True,1.0,TU0-12947[c],,0
EG10052,araA,"[""araA"", ""b0062"", ""ECK0063""]",66835.0,68337.0,-,"[""EG10052_RNA""]",mRNA,"[""ARABISOM-MONOMER""]",False,3.0,TU00214[c],"EG10053,EG10055",2
EG10053,araB,"[""araB"", ""b0063"", ""ECK0064""]",68348.0,70048.0,-,"[""EG10053_RNA""]",mRNA,"[""RIBULOKIN-MONOMER""]",False,3.0,TU00214[c],"EG10052,EG10055",2
EG10054,araC,"[""araC"", ""b0064"", ""ECK0065""]",70387.0,71265.0,+,"[""EG10054_RNA""]",mRNA,"[""PD00242""]",True,1.0,TU00003[c],,0
EG10055,araD,"[""araD"", ""b0061"", ""ECK0062""]",65855.0,66550.0,-,"[""EG10055_RNA""]",mRNA,"[""RIBULPEPIM-MONOMER""]",False,3.0,TU00214[c],"EG10052,EG10053",2
EG10056,araE,"[""araE"", ""b2841"", ""ECK2839""]",2980764.0,2982182.0,-,"[""EG10056_RNA""]",mRNA,"[""ARAE-MONOMER""]",False,2.0,TU0-42571[c],EG11157,1
EG10057,araF,"[""araF"", ""b1901"", ""ECK1899""]",1985139.0,1986128.0,-,"[""EG10057_RNA""]",mRNA,"[""ARAF-MONOMER""]",False,3.0,TU0-42451[c],"EG10058,EG10059",2
EG10058,araG,"[""araG"", ""b1900"", ""ECK1898""]",1983555.0,1985069.0,-,"[""EG10058_RNA""]",mRNA,"[""ARAG-MONOMER""]",False,3.0,TU0-42451[c],"EG10057,EG10059",2
EG10059,araH,"[""araH"", ""b1898"", ""b1899"", ""b4460"", ""ECK1897""]",1982554.0,1983540.0,-,"[""EG10059_RNA""]",mRNA,"[""ARAH-MONOMER""]",False,3.0,TU0-42451[c],"EG10057,EG10058",2
EG10061,arcA,"[""arcA"", ""sfrA"", ""cpxC"", ""dye"", ""fexA"", ""msp"", ""seg"", ""b4401"", ""ECK4393""]",4639590.0,4640306.0,-,"[""EG10061_RNA""]",mRNA,"[""ARCA-MONOMER""]",True,1.0,TU344[c],,0
EG10063,argA,"[""argA"", ""Arg2"", ""Arg1"", ""b2818"", ""ECK2814""]",2949242.0,2950573.0,+,"[""EG10063_RNA""]",mRNA,"[""N-ACETYLTRANSFER-MONOMER""]",True,1.0,TU0-8472[c],,0
EG10064,argB,"[""argB"", ""b3959"", ""ECK3950""]",4156013.0,4156789.0,+,"[""EG10064_RNA""]",mRNA,"[""ACETYLGLUTKIN-MONOMER""]",False,3.0,TU00004[c],"EG10065,EG11223",2
